	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ces	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	啊	tr=à	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	啊哈	tr=ahā	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	嗯	tr=ǹg	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	deu	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ell	αχά	sc=Grek
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	epo	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	epo	ha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fin	ahaa
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fra	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fra	tiens donc
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hbs	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hbs	аха
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hun	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ina	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	jpn	ああ	tr=ā	sc=Jpan
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	jpn	なるほど	tr=naruhodo	sc=Jpan
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	kor	아하
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nep	ए
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nld	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nor	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	pol	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	por	ahá
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	rus	а
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	rus	ага́
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	slk	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	spa	ajá
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	swe	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	swe	jaha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ukr	ага́	sc=Cyrl
eng	ahamkara	Noun	tr	attachment to the ego in Hinduism	por	ahamkara	m
eng	aha moment	Noun	tr	instance of becoming clear	cmn	頓悟時刻
eng	aha moment	Noun	tr	instance of becoming clear	cmn	顿悟时刻	tr=dùnwù shíkè
eng	aha moment	Noun	tr	instance of becoming clear	dan	aha-oplevelse	c
eng	aha moment	Noun	tr	instance of becoming clear	deu	Aha-Erlebnis	n
eng	aha moment	Noun	tr	instance of becoming clear	fin	ahaa-elämys
eng	aha moment	Noun	tr	instance of becoming clear	fra	illumination
eng	aha moment	Noun	tr	instance of becoming clear	swe	aha-upplevelse	c
eng	ahead	Adverb	tr	at an earlier time	fin	etuajassa
eng	ahead	Adverb	tr	at an earlier time	ita	antecedentemente
eng	ahead	Adverb	tr	at an earlier time	ita	in anticipo
eng	ahead	Adverb	tr	having progressed more	fin	edellä
eng	ahead	Adverb	tr	having progressed more	ita	avanti
eng	ahead	Adverb	tr	in or for the future	fin	edessä
eng	ahead	Adverb	tr	in or for the future	fin	ennalta
eng	ahead	Adverb	tr	in or for the future	ita	al futuro
eng	ahead	Adverb	tr	in or for the future	ita	anticipatamente
eng	ahead	Adverb	tr	in or for the future	ita	anzitempo
eng	ahead	Adverb	tr	in or to the front	bul	напред
eng	ahead	Adverb	tr	in or to the front	bul	отпред
eng	ahead	Adverb	tr	in or to the front	cat	al davant de
eng	ahead	Adverb	tr	in or to the front	cat	davant
eng	ahead	Adverb	tr	in or to the front	cat	en front de
eng	ahead	Adverb	tr	in or to the front	cic	ímmayya
eng	ahead	Adverb	tr	in or to the front	fin	edellä
eng	ahead	Adverb	tr	in or to the front	fin	edessä
eng	ahead	Adverb	tr	in or to the front	fra	devant
eng	ahead	Adverb	tr	in or to the front	ita	avanti
eng	ahead	Adverb	tr	in or to the front	jpn	先に	tr=さきに, saki ni
eng	ahead	Adverb	tr	in or to the front	mwl	alantre
eng	ahead	Adverb	tr	in or to the front	nav	alą́ąjįʼ
eng	ahead	Adverb	tr	in or to the front	nld	voor ons
eng	ahead	Adverb	tr	in or to the front	nld	voorop
eng	ahead	Adverb	tr	in or to the front	nld	vooruit
eng	ahead	Adverb	tr	in or to the front	nmn	ǂhàã
eng	ahead	Adverb	tr	in or to the front	pol	z przodu
eng	ahead	Adverb	tr	in or to the front	por	à frente
eng	ahead	Adverb	tr	in or to the front	por	para frente
eng	ahead	Adverb	tr	in or to the front	ron	înainte
eng	ahead	Adverb	tr	in or to the front	ron	în fața
eng	ahead	Adverb	tr	in or to the front	rus	вперёд
eng	ahead	Adverb	tr	in or to the front	rus	впереди́
eng	ahead	Adverb	tr	in or to the front	spa	adelante
eng	ahead	Adverb	tr	in or to the front	spa	al frente de
eng	ahead	Adverb	tr	in or to the front	spa	delante de
eng	ahead	Adverb	tr	in or to the front	ukr	впере́д
eng	ahead	Adverb	tr	in or to the front	ukr	попе́реду
eng	ahead	Adverb	tr	in or to the front	zza	raver
eng	ahead	Adverb	tr	in the direction one is facing or moving	fin	edessä
eng	ahead	Adverb	tr	in the direction one is facing or moving	ita	davanti
