	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ajapsandali	Noun	tr	Georgian dish	hye	աջաբսանդալ
eng	ajapsandali	Noun	tr	Georgian dish	kat	აჯაფსანდალი	sc=Geor
eng	ajapsandali	Noun	tr	Georgian dish	rus	аджапсанда́ли	f	n
eng	ajar	Adjective	tr	slightly turned or opened	bul	открехнат
eng	ajar	Adjective	tr	slightly turned or opened	ces	pootevřený
eng	ajar	Adjective	tr	slightly turned or opened	dan	på klem
eng	ajar	Adjective	tr	slightly turned or opened	deu	angelehnt
eng	ajar	Adjective	tr	slightly turned or opened	fas	نیمه‌باز	tr=nime-bâz	sc=fa-Arab
eng	ajar	Adjective	tr	slightly turned or opened	fin	raollaan
eng	ajar	Adjective	tr	slightly turned or opened	fra	entrebâillé
eng	ajar	Adjective	tr	slightly turned or opened	fra	entrouvert
eng	ajar	Adjective	tr	slightly turned or opened	hbs	odškrinut	m
eng	ajar	Adjective	tr	slightly turned or opened	hbs	odškrinuto
eng	ajar	Adjective	tr	slightly turned or opened	hbs	одшкринут	m
eng	ajar	Adjective	tr	slightly turned or opened	isl	opinn í hálfa gátt
eng	ajar	Adjective	tr	slightly turned or opened	isl	opinn til hálfs
eng	ajar	Adjective	tr	slightly turned or opened	mri	matata
eng	ajar	Adjective	tr	slightly turned or opened	nld	op een kier
eng	ajar	Adjective	tr	slightly turned or opened	nor	på gløtt
eng	ajar	Adjective	tr	slightly turned or opened	por	entreaberto
eng	ajar	Adjective	tr	slightly turned or opened	rus	приоткры́тый
eng	ajar	Adjective	tr	slightly turned or opened	slk	odchýlený
eng	ajar	Adjective	tr	slightly turned or opened	slk	pootvorený
eng	ajar	Adjective	tr	slightly turned or opened	spa	entornado
eng	ajar	Adjective	tr	slightly turned or opened	spa	entreabierto
eng	ajar	Adjective	tr	slightly turned or opened	swe	på glänt
eng	ajar	Adverb	tr	Being at variance or in contradiction to something	isl	í ósamræmi
eng	ajar	Adverb	tr	Being at variance or in contradiction to something	isl	úr samræmi
eng	ajar	Adverb	tr	Being at variance or in contradiction to something	isl	úr takti
eng	ajar	Adverb	tr	slightly turned or opened	bul	открехнат
eng	ajar	Adverb	tr	slightly turned or opened	dan	klem
eng	ajar	Adverb	tr	slightly turned or opened	dan	på klem
eng	ajar	Adverb	tr	slightly turned or opened	fas	نیمه‌لا	tr=nime-lā
eng	ajar	Adverb	tr	slightly turned or opened	fin	raollaan
eng	ajar	Adverb	tr	slightly turned or opened	fra	entrebâillé
eng	ajar	Adverb	tr	slightly turned or opened	fra	entrouvert
eng	ajar	Adverb	tr	slightly turned or opened	hbs	odškrinut
eng	ajar	Adverb	tr	slightly turned or opened	isl	í hálfa gátt
eng	ajar	Adverb	tr	slightly turned or opened	ita	socchiuso
eng	ajar	Adverb	tr	slightly turned or opened	jpn	少し開いて	tr=すこしあいて, sukoshi aite	sc=Jpan
eng	ajar	Adverb	tr	slightly turned or opened	mri	matata
eng	ajar	Adverb	tr	slightly turned or opened	nld	op een kier
eng	ajar	Adverb	tr	slightly turned or opened	oci	entrebadat
eng	ajar	Adverb	tr	slightly turned or opened	oci	entredobèrt
eng	ajar	Adverb	tr	slightly turned or opened	por	entreaberto
eng	ajar	Adverb	tr	slightly turned or opened	rus	приоткры́тый
eng	ajar	Adverb	tr	slightly turned or opened	spa	entornado
eng	ajar	Adverb	tr	slightly turned or opened	spa	entreabierto
eng	ajar	Adverb	tr	slightly turned or opened	swe	på glänt
eng	ajaxification	Noun	tr	use of AJAX	fra	ajaxification
eng	ajmalicine	Noun	tr	an antihypertensive drug	por	ajmalicina	f
eng	ajmaline	Noun	tr	drug	fin	aimaliini
eng	ajmaline	Noun	tr	drug	por	ajmalina	f
eng	ajvar	Noun	tr	a kind of relish	hbs	àjvār	m
eng	ajvar	Noun	tr	a kind of relish	hbs	а̀јва̄р	m	sc=Cyrl
eng	ajvar	Noun	tr	a kind of relish	hun	ajvár
eng	ajvar	Noun	tr	a kind of relish	mkd	ајвар	m
eng	ajvar	Noun	tr	a kind of relish	pol	ajwar	m
eng	ajwain	Noun	tr	thyme-flavored seed	ara	نَانَخَة	f
eng	ajwain	Noun	tr	thyme-flavored seed	ces	adžvan	m
eng	ajwain	Noun	tr	thyme-flavored seed	ces	ajowan	m
eng	ajwain	Noun	tr	thyme-flavored seed	ces	kmín koptský	m
eng	ajwain	Noun	tr	thyme-flavored seed	ces	koptský kmín	m
eng	ajwain	Noun	tr	thyme-flavored seed	deu	Ajowan	m
eng	ajwain	Noun	tr	thyme-flavored seed	fas	اجوان	tr=ajvān
eng	ajwain	Noun	tr	thyme-flavored seed	fas	نانخواه	tr=nānaxwāh
eng	ajwain	Noun	tr	thyme-flavored seed	fin	intiankumina
eng	ajwain	Noun	tr	thyme-flavored seed	grc	ἄμῐ	n
eng	ajwain	Noun	tr	thyme-flavored seed	hin	अजवाइन
eng	ajwain	Noun	tr	thyme-flavored seed	hin	अजवायन	m
eng	ajwain	Noun	tr	thyme-flavored seed	pol	ajowan	m
eng	ajwain	Noun	tr	thyme-flavored seed	pol	chropawiec wonny	m
eng	ajwain	Noun	tr	thyme-flavored seed	rus	ажго́н	m
eng	ajwain	Noun	tr	thyme-flavored seed	swe	ajovan
eng	ajwain	Noun	tr	thyme-flavored seed	tam	அசமடம்
