	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	anabantid	Noun	tr	any member of the Anabantidae	por	anabantídeo	m
eng	anabasine	Noun	tr	pyridine alkaloid	por	anabasina	f
eng	anabasine	Noun	tr	pyridine alkaloid	spa	anabasina	f
eng	anabasis	Noun	tr	military march up-country	ces	anabáze	f
eng	anabasis	Noun	tr	military march up-country	deu	Anabasis	f
eng	anabasis	Noun	tr	military march up-country	hbs	anabaza	f
eng	anabasis	Noun	tr	military march up-country	jpn	アナバシス	tr=anabashisu
eng	anabasis	Noun	tr	military march up-country	oci	anabasi	f
eng	anabasis	Noun	tr	military march up-country	por	anábase	f
eng	anabasis	Noun	tr	military march up-country	rus	ана́басис	m
eng	anabasis	Noun	tr	military march up-country	rus	марш	m
eng	anabasis	Noun	tr	military march up-country	rus	похо́д	m
eng	anabasis	Noun	tr	military march up-country	spa	anábasis	f
eng	anabatic	Adjective	tr	of an air current: rising	bul	възходящ
eng	anabatic	Adjective	tr	of an air current: rising	fin	anabaattinen
eng	anabatic	Adjective	tr	of an air current: rising	ita	anabatico
eng	anabatic	Adjective	tr	of an air current: rising	por	anabático
eng	anabatic wind	Noun	tr	upslope wind	cmn	上坡風	sc=Hani
eng	anabatic wind	Noun	tr	upslope wind	cmn	上坡风	tr=shàngpōfēng	sc=Hani
eng	anabatic wind	Noun	tr	upslope wind	fin	nousutuuli
eng	anabelian geometry	Noun	tr	theory in algebraic geometry	deu	anabelsche Geometrie	f
eng	anabiosis	Noun	tr	state of suspended animation	cat	anabiosi	f
eng	anabiosis	Noun	tr	state of suspended animation	ces	anabioze	f
eng	anabiosis	Noun	tr	state of suspended animation	cmn	暂时休眠	tr=zànshí xiūmián
eng	anabiosis	Noun	tr	state of suspended animation	ell	αναβίωση	f
eng	anabiosis	Noun	tr	state of suspended animation	fin	anabioosi
eng	anabiosis	Noun	tr	state of suspended animation	ido	anabioso
eng	anabiosis	Noun	tr	state of suspended animation	ita	anabiosi	f
eng	anabiosis	Noun	tr	state of suspended animation	lav	anabioze	f
eng	anabiosis	Noun	tr	state of suspended animation	por	anabiose	f
eng	anabiosis	Noun	tr	state of suspended animation	rus	анабио́з	m
eng	anabiosis	Noun	tr	state of suspended animation	spa	anabiosis	f
eng	anabolic	Adjective	tr	relating to anabolism	cat	anabòlic	m
eng	anabolic	Adjective	tr	relating to anabolism	ces	anabolický
eng	anabolic	Adjective	tr	relating to anabolism	cym	anabolig
eng	anabolic	Adjective	tr	relating to anabolism	deu	anabol
eng	anabolic	Adjective	tr	relating to anabolism	ell	αναβολικός
eng	anabolic	Adjective	tr	relating to anabolism	fin	anabolinen
eng	anabolic	Adjective	tr	relating to anabolism	fra	anabolique
eng	anabolic	Adjective	tr	relating to anabolism	gle	anabalach
eng	anabolic	Adjective	tr	relating to anabolism	ita	anabolico
eng	anabolic	Adjective	tr	relating to anabolism	por	anabólico
eng	anabolic	Adjective	tr	relating to anabolism	spa	anabólico
eng	anabolic	Noun	tr	anabolic steroid	ces	anabolikum	n
eng	anabolic	Noun	tr	anabolic steroid	fin	anaboli
eng	anabolic	Noun	tr	anabolic steroid	hbs	anabòlik	m
eng	anabolic	Noun	tr	anabolic steroid	hbs	анабо̀лик	m
eng	anabolic	Noun	tr	anabolic steroid	por	anabólico	m
eng	anabolic	Noun	tr	anabolic steroid	por	anabolizante	m
eng	anabolic	Noun	tr	anabolic steroid	por	esteroide	m
eng	anabolic steroid	Noun	tr	class of steroid	cmn	促蛋白合成类固醇	tr=cùdànbái héchéng lèigùchún	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	促蛋白合成類固醇	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	合成代謝類固醇	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	合成代谢类固醇	tr=héchéng dàixiè lèigùchún	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	同化激素	tr=tónghuà jīsù	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	同化类固醇	tr=tónghuà lèigùchún	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	cmn	同化類固醇	sc=Hani
eng	anabolic steroid	Noun	tr	class of steroid	fin	anabolinen steroidi
