	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	apace	Adverb	tr	Quickly, rapidly, with speed	aze	tezbazar
eng	apace	Adverb	tr	Quickly, rapidly, with speed	fin	rapsakasti
eng	apace	Adverb	tr	Quickly, rapidly, with speed	fin	ripeästi
eng	apace	Adverb	tr	Quickly, rapidly, with speed	fin	rivakasti
eng	apace	Adverb	tr	Quickly, rapidly, with speed	fra	aller bon train
eng	apace	Adverb	tr	Quickly, rapidly, with speed	fra	rapidement
eng	apace	Adverb	tr	Quickly, rapidly, with speed	rus	быстро
eng	apace	Adverb	tr	Quickly, rapidly, with speed	rus	ско́ро
eng	apace	Adverb	tr	Quickly, rapidly, with speed	rus	спе́шно
eng	apace	Adverb	tr	Quickly, rapidly, with speed	yue	急速	tr=gap1 cuk1
eng	apace	Adverb	tr	Quickly, rapidly, with speed	yue	飛快	tr=fei1 faai3
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	akk	𒀊𒉺𒁕𒀭	tr=ap-pa-da-an	sc=Xsux
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	fas	آپادانا	tr=âpâdânâ	sc=fa-Arab
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	peo	𐎠𐎱𐎭𐎠𐎴	ts=apadāna	sc=Xpeo
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	por	apadana	f
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	rus	апада́на	f
eng	apadana	Noun	tr	a large hypostyle hall in ancient Persian palaces	syc	ܐܦܕܢܐ	tr=ʾāppaḏnāʾ	sc=Syrc
eng	apadravya	Noun	tr	apadravya piercing	ces	Apadravya
eng	apadravya	Noun	tr	apadravya piercing	deu	Apadravya	m
eng	apadravya	Noun	tr	apadravya piercing	fra	Apadravya
eng	apagoge	Noun	tr	an indirect argument which proves a thing by showing the impossibility or absurdity of the contrary	fra	apagogie	f
eng	apagoge	Noun	tr	an indirect argument which proves a thing by showing the impossibility or absurdity of the contrary	por	apagoge	f
eng	apagoge	Noun	tr	an indirect argument which proves a thing by showing the impossibility or absurdity of the contrary	por	apagogia	f
eng	apagogic	Adjective	tr	proving indirectly, by showing the impossibility, or absurdity of the contrary	por	apagógico
eng	apallic	Adjective	tr	of or relating to a persistent vegetative state	por	apálico
eng	apamin	Noun	tr	a neurotoxin found in the Western honey bee	por	apamina	f
eng	apanage	Noun	tr	grant as a birthright	dan	apanage	c
eng	apanage	Noun	tr	grant as a birthright	deu	Apanage	f
eng	apanage	Noun	tr	grant as a birthright	fin	apanaasi
eng	apanage	Noun	tr	grant as a birthright	fra	apanage	m
eng	apanage	Noun	tr	grant as a birthright	hbs	apanáža	f
eng	apanage	Noun	tr	grant as a birthright	hbs	апана́жа	f
