	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	atabeg	Noun	tr	title	hye	աթաբեկ
eng	at a glance	Prepositional phrase	tr	on cursory examination	fin	ensivilkaisulla
eng	at a glance	Prepositional phrase	tr	on cursory examination	fin	yhdellä silmäyksellä
eng	at a glance	Prepositional phrase	tr	on cursory examination	fra	à première vue
eng	at a glance	Prepositional phrase	tr	on cursory examination	fra	au doigt mouillé
eng	at a glance	Prepositional phrase	tr	on cursory examination	fra	au jugé
eng	at a glance	Prepositional phrase	tr	on cursory examination	fra	à vue de nez
eng	at a glance	Prepositional phrase	tr	on cursory examination	lav	no pirmā acu uzmetiena
eng	at a glance	Prepositional phrase	tr	on cursory examination	pol	na pierwszy rzut oka
eng	at a glance	Prepositional phrase	tr	on cursory examination	por	de relance
eng	at a glance	Prepositional phrase	tr	on cursory examination	por	num primeiro olhar
eng	at a glance	Prepositional phrase	tr	on cursory examination	por	por alto
eng	at a glance	Prepositional phrase	tr	on cursory examination	rus	на пе́рвый взгля́д
eng	at a glance	Prepositional phrase	tr	on cursory examination	rus	с пе́рвого взгля́да
eng	at a glance	Prepositional phrase	tr	on cursory examination	rus	сра́зу
eng	at a glance	Prepositional phrase	tr	on cursory examination	swe	på ytan
eng	at a glance	Prepositional phrase	tr	on cursory examination	swe	vid första anblick
eng	at all costs	Prepositional phrase	tr	sparing no effort	bre	kousto pe gousto
eng	at all costs	Prepositional phrase	tr	sparing no effort	bul	на всяка цена	sc=Cyrl
eng	at all costs	Prepositional phrase	tr	sparing no effort	cmn	不惜一切代价	tr=bùxī yīqiè dàijià
eng	at all costs	Prepositional phrase	tr	sparing no effort	cmn	不惜一切代價
eng	at all costs	Prepositional phrase	tr	sparing no effort	cmn	无论如何	tr=wúlùnrúhé	sc=Hani
eng	at all costs	Prepositional phrase	tr	sparing no effort	cmn	無論如何	sc=Hani
eng	at all costs	Prepositional phrase	tr	sparing no effort	dan	for enhver pris
eng	at all costs	Prepositional phrase	tr	sparing no effort	deu	koste es, was es wolle
eng	at all costs	Prepositional phrase	tr	sparing no effort	deu	um jeden Preis
eng	at all costs	Prepositional phrase	tr	sparing no effort	deu	was es auch koste
eng	at all costs	Prepositional phrase	tr	sparing no effort	ell	με κάθε κόστος
eng	at all costs	Prepositional phrase	tr	sparing no effort	ell	πάση θυσία
eng	at all costs	Prepositional phrase	tr	sparing no effort	epo	ĉiakoste
eng	at all costs	Prepositional phrase	tr	sparing no effort	fas	به هر قیمتی	tr=be har qeymati	sc=fa-Arab
eng	at all costs	Prepositional phrase	tr	sparing no effort	fas	به هر قیمتی که شده	tr=be har qeymati ke šode	sc=fa-Arab
eng	at all costs	Prepositional phrase	tr	sparing no effort	fin	hinnalla millä hyvänsä
eng	at all costs	Prepositional phrase	tr	sparing no effort	fin	maksoi mitä maksoi
eng	at all costs	Prepositional phrase	tr	sparing no effort	fin	välttämättä
eng	at all costs	Prepositional phrase	tr	sparing no effort	fra	à tout prix
eng	at all costs	Prepositional phrase	tr	sparing no effort	fra	coûte que coûte
eng	at all costs	Prepositional phrase	tr	sparing no effort	gla	air a h-uile cor
eng	at all costs	Prepositional phrase	tr	sparing no effort	gle	cóir máireach
eng	at all costs	Prepositional phrase	tr	sparing no effort	hbs	pod svaku cenu
eng	at all costs	Prepositional phrase	tr	sparing no effort	hbs	pod svaku cijenu
eng	at all costs	Prepositional phrase	tr	sparing no effort	hbs	под сваку цену
eng	at all costs	Prepositional phrase	tr	sparing no effort	hbs	под сваку цијену
eng	at all costs	Prepositional phrase	tr	sparing no effort	ita	ad ogni costo
eng	at all costs	Prepositional phrase	tr	sparing no effort	ita	a ogni costo
eng	at all costs	Prepositional phrase	tr	sparing no effort	ita	a tutti i costi
eng	at all costs	Prepositional phrase	tr	sparing no effort	jpn	万難を排して	tr=ばんなんをはいして, bannan o hai shite	sc=Jpan
eng	at all costs	Prepositional phrase	tr	sparing no effort	jpn	何が何でも	tr=nani ga nan demo	sc=Jpan
eng	at all costs	Prepositional phrase	tr	sparing no effort	kat	მნიშვნელობა
eng	at all costs	Prepositional phrase	tr	sparing no effort	kmr	bi çi awayî be jî
eng	at all costs	Prepositional phrase	tr	sparing no effort	kmr	çawa be jî
eng	at all costs	Prepositional phrase	tr	sparing no effort	lav	par katru cenu
eng	at all costs	Prepositional phrase	tr	sparing no effort	nld	coûte que coûte
eng	at all costs	Prepositional phrase	tr	sparing no effort	nld	koste wat kost
eng	at all costs	Prepositional phrase	tr	sparing no effort	nld	tegen elke prijs
eng	at all costs	Prepositional phrase	tr	sparing no effort	pol	za wszelką cenę
