	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	axe	Noun	tr	tool	chy	hohkȯxe
eng	axe	Noun	tr	tool	kik	ithanwa	c5
eng	axe	Noun	tr	tool	mal	മഴു
eng	axe	Noun	tr	tool	mon	балт
eng	axe	Noun	tr	tool	xal	балт
eng	axe	Noun	tr	tool	zza	tewerzin	m
eng	axe	Noun	tr	tool	zza	torzin	m
eng	axe	Noun	tr	weapon	zza	tewerzin	m
eng	axe	Verb	tr	fell or chop	aze	baltalamaq
eng	axe	Verb	tr	fell or chop	bul	отсичам с брадва
eng	axe	Verb	tr	fell or chop	ces	osekávat
eng	axe	Verb	tr	fell or chop	ces	otesávat
eng	axe	Verb	tr	fell or chop	ces	porazit
eng	axe	Verb	tr	fell or chop	ell	κόβω
eng	axe	Verb	tr	fell or chop	ell	πελεκώ
eng	axe	Verb	tr	fell or chop	ell	τσεκουρώνω
eng	axe	Verb	tr	fell or chop	est	raiuma
eng	axe	Verb	tr	fell or chop	lav	cirst
eng	axe	Verb	tr	fell or chop	mon	сүхдэх
eng	axe	Verb	tr	fell or chop	rus	поруби́ть	pf
eng	axe	Verb	tr	fell or chop	rus	руби́ть	impf
eng	axe	Verb	tr	fell or chop	swa	shoka
eng	axe	Verb	tr	fell or chop	swe	fälla
eng	axe	Verb	tr	fell or chop	swe	hugga
eng	axe	Verb	tr	fell or chop	swe	yxa
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	cmn	腰斩	tr=yāozhǎn
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	ell	περικόπτω
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	ell	τσεκουρώνω
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	jpn	打ち切る	tr=uchikiru
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	swa	shoka
eng	axe	Verb	tr	terminate or reduce tremendously in a rough or ruthless manner	yid	אונטערהאַקן
eng	axhandle	Noun	tr	the handle of an ax	mhn	helb	m
eng	axhandle	Noun	tr	the handle of an ax	swe	yxskaft	n
eng	axhandle	Noun	tr	the handle of an ax	tgl	landa
eng	axial	Adjective	tr	belonging to the axis of the body	fin	aksiaalinen
eng	axial	Adjective	tr	belonging to the axis of the body	fra	axial
eng	axial	Adjective	tr	belonging to the axis of the body	gle	aiseach
eng	axial	Adjective	tr	belonging to the axis of the body	pol	osiowy	m
eng	axial	Adjective	tr	botany: in the same direction as the axis	fin	aksiaalinen
eng	axial	Adjective	tr	botany: in the same direction as the axis	fra	axial
eng	axial	Adjective	tr	botany: in the same direction as the axis	gle	aiseach
eng	axial	Adjective	tr	of or pertaining to an axis	bul	аксиален
eng	axial	Adjective	tr	of or pertaining to an axis	bul	осов
eng	axial	Adjective	tr	of or pertaining to an axis	cat	axial
eng	axial	Adjective	tr	of or pertaining to an axis	dan	aksial
eng	axial	Adjective	tr	of or pertaining to an axis	deu	axial
eng	axial	Adjective	tr	of or pertaining to an axis	ell	αξονικός
eng	axial	Adjective	tr	of or pertaining to an axis	epo	aksa
