	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	be able to	Verb	tr	have ability to	amh	መቻል
eng	be able to	Verb	tr	have ability to	ara	اِسْتَطَاعَ
eng	be able to	Verb	tr	have ability to	ara	قَدَرَ
eng	be able to	Verb	tr	have ability to	arg	poder
eng	be able to	Verb	tr	have ability to	arz	قدر	tr=ʾidir
eng	be able to	Verb	tr	have ability to	ase	S@Sternumhigh-PalmDown-S@Sternumhigh-PalmDown S@Chesthigh-PalmDown-S@Chesthigh-PalmDown
eng	be able to	Verb	tr	have ability to	ast	poder
eng	be able to	Verb	tr	have ability to	bel	змагчы́	pf
eng	be able to	Verb	tr	have ability to	bel	магчы́	impf
eng	be able to	Verb	tr	have ability to	bel	суме́ць	pf
eng	be able to	Verb	tr	have ability to	bel	уме́ць	impf
eng	be able to	Verb	tr	have ability to	bel	ўмець	impf
eng	be able to	Verb	tr	have ability to	bul	мо́га	impf
eng	be able to	Verb	tr	have ability to	cat	poder
eng	be able to	Verb	tr	have ability to	ces	moci	impf
eng	be able to	Verb	tr	have ability to	ces	umět	impf
eng	be able to	Verb	tr	have ability to	chk	tongeni
eng	be able to	Verb	tr	have ability to	ckb	tiwanîn
eng	be able to	Verb	tr	have ability to	cmn	会	tr=huì	sc=Hani
eng	be able to	Verb	tr	have ability to	cmn	會	sc=Hani
eng	be able to	Verb	tr	have ability to	cmn	能	tr=néng	sc=Hani
eng	be able to	Verb	tr	have ability to	cmn	能够	tr=nénggòu	sc=Hani
eng	be able to	Verb	tr	have ability to	cmn	能夠	sc=Hani
eng	be able to	Verb	tr	have ability to	cym	gallu
eng	be able to	Verb	tr	have ability to	dan	kunne
eng	be able to	Verb	tr	have ability to	deu	in der Lage sein
eng	be able to	Verb	tr	have ability to	deu	können
eng	be able to	Verb	tr	have ability to	dlm	potar
eng	be able to	Verb	tr	have ability to	dsb	móc	impf
eng	be able to	Verb	tr	have ability to	ell	μπορώ
eng	be able to	Verb	tr	have ability to	epo	povi
eng	be able to	Verb	tr	have ability to	est	saama
eng	be able to	Verb	tr	have ability to	ext	poel
eng	be able to	Verb	tr	have ability to	ext	puel
eng	be able to	Verb	tr	have ability to	fao	kunna
eng	be able to	Verb	tr	have ability to	fas	توانستن	tr=fa
eng	be able to	Verb	tr	have ability to	fin	kyetä
eng	be able to	Verb	tr	have ability to	fin	osata
eng	be able to	Verb	tr	have ability to	fin	pystyä
eng	be able to	Verb	tr	have ability to	fin	saada
eng	be able to	Verb	tr	have ability to	fin	voida
eng	be able to	Verb	tr	have ability to	fra	être capable de
eng	be able to	Verb	tr	have ability to	fra	pouvoir
eng	be able to	Verb	tr	have ability to	fra	savoir
eng	be able to	Verb	tr	have ability to	fur	podê
eng	be able to	Verb	tr	have ability to	gle	is féidir le
eng	be able to	Verb	tr	have ability to	gle	tar le
eng	be able to	Verb	tr	have ability to	glg	poder
eng	be able to	Verb	tr	have ability to	glg	ser quen
eng	be able to	Verb	tr	have ability to	got	𐌺𐌿𐌽𐌽𐌰𐌽
eng	be able to	Verb	tr	have ability to	got	𐌼𐌰𐌲𐌰𐌽
eng	be able to	Verb	tr	have ability to	grc	δύναμαι
eng	be able to	Verb	tr	have ability to	hat	ka
eng	be able to	Verb	tr	have ability to	hat	kab
eng	be able to	Verb	tr	have ability to	hat	kapab
eng	be able to	Verb	tr	have ability to	hbs	moći	impf
eng	be able to	Verb	tr	have ability to	hbs	umeti	impf
eng	be able to	Verb	tr	have ability to	hbs	umjeti	impf
eng	be able to	Verb	tr	have ability to	hbs	моћи	impf
eng	be able to	Verb	tr	have ability to	hbs	умети	impf
eng	be able to	Verb	tr	have ability to	hbs	умјети	impf
eng	be able to	Verb	tr	have ability to	heb	יָכוֹל	m	tr=yakhól
eng	be able to	Verb	tr	have ability to	hin	सकना
eng	be able to	Verb	tr	have ability to	hun	képes
eng	be able to	Verb	tr	have ability to	hun	tud
eng	be able to	Verb	tr	have ability to	hye	ի վիճակի լինել
eng	be able to	Verb	tr	have ability to	hye	կարողանալ
eng	be able to	Verb	tr	have ability to	ido	povar
eng	be able to	Verb	tr	have ability to	ina	poter
eng	be able to	Verb	tr	have ability to	ita	potere
eng	be able to	Verb	tr	have ability to	ita	sapere
eng	be able to	Verb	tr	have ability to	jpn	出来る	tr=できる, dekiru
eng	be able to	Verb	tr	have ability to	kab	issin
eng	be able to	Verb	tr	have ability to	kab	zmer
eng	be able to	Verb	tr	have ability to	kat	შეუძლია	sc=Geor
eng	be able to	Verb	tr	have ability to	khb	ᦡᦺᧉ
eng	be able to	Verb	tr	have ability to	kmr	kanîn
eng	be able to	Verb	tr	have ability to	kmr	karîn
eng	be able to	Verb	tr	have ability to	kmr	şiyan
eng	be able to	Verb	tr	have ability to	kmr	tiwanîn
eng	be able to	Verb	tr	have ability to	kor	할 수 있다	alt=...할 수 있다
eng	be able to	Verb	tr	have ability to	lao	ສາມາດ
eng	be able to	Verb	tr	have ability to	lao	ໄດ້
eng	be able to	Verb	tr	have ability to	lat	possum
eng	be able to	Verb	tr	have ability to	lat	queo
eng	be able to	Verb	tr	have ability to	lat	scio
eng	be able to	Verb	tr	have ability to	lav	prast
eng	be able to	Verb	tr	have ability to	lav	varēt
eng	be able to	Verb	tr	have ability to	lij	poéi
eng	be able to	Verb	tr	have ability to	lit	galėti
eng	be able to	Verb	tr	have ability to	lmo	podè
eng	be able to	Verb	tr	have ability to	mkd	може	impf
eng	be able to	Verb	tr	have ability to	mlt	sata
eng	be able to	Verb	tr	have ability to	msa	boleh
eng	be able to	Verb	tr	have ability to	mya	တတ်
eng	be able to	Verb	tr	have ability to	mya	နိုင်
eng	be able to	Verb	tr	have ability to	nap	se firà
eng	be able to	Verb	tr	have ability to	nld	in staat zijn te
eng	be able to	Verb	tr	have ability to	nld	kunnen
eng	be able to	Verb	tr	have ability to	nld	vermogen
eng	be able to	Verb	tr	have ability to	nob	greie
eng	be able to	Verb	tr	have ability to	nob	være i stand til
eng	be able to	Verb	tr	have ability to	nor	kunne
eng	be able to	Verb	tr	have ability to	nrf	pouver
eng	be able to	Verb	tr	have ability to	oci	pòder
eng	be able to	Verb	tr	have ability to	oci	podre
eng	be able to	Verb	tr	have ability to	pdt	kjennen
eng	be able to	Verb	tr	have ability to	pol	być w stanie	impf
eng	be able to	Verb	tr	have ability to	pol	móc	impf
eng	be able to	Verb	tr	have ability to	pol	umieć	impf
eng	be able to	Verb	tr	have ability to	por	conseguir
eng	be able to	Verb	tr	have ability to	por	poder
eng	be able to	Verb	tr	have ability to	por	saber
eng	be able to	Verb	tr	have ability to	roh	pudair
eng	be able to	Verb	tr	have ability to	roh	pudeir
eng	be able to	Verb	tr	have ability to	roh	puder
eng	be able to	Verb	tr	have ability to	ron	putea
eng	be able to	Verb	tr	have ability to	rup	pot
eng	be able to	Verb	tr	have ability to	rus	быть в состоя́нии
eng	be able to	Verb	tr	have ability to	rus	мочь	impf
eng	be able to	Verb	tr	have ability to	rus	смочь	pf
eng	be able to	Verb	tr	have ability to	rus	суме́ть	pf
eng	be able to	Verb	tr	have ability to	rus	уме́ть
eng	be able to	Verb	tr	have ability to	scn	putiri
eng	be able to	Verb	tr	have ability to	sga	con·icc
