	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	bhaji	Noun	tr	Indian dish	asm	ভাজি
eng	bhaji	Noun	tr	Indian dish	hin	भाजी	f	sc=Deva
eng	bhaji	Noun	tr	Indian dish	mar	भाजी
eng	bhavacakra	Noun	tr	bhavacakra	bod	སྲིད་པའི་འཁོར་ལོ་་
eng	bhavacakra	Noun	tr	bhavacakra	pli	bhavachakka
eng	bhavacakra	Noun	tr	bhavacakra	san	भवचक्र
eng	bhikkhuni	Noun	tr	Buddhist nun	cmn	比丘尼	tr=bǐqiūní
eng	bhikkhuni	Noun	tr	Buddhist nun	fin	buddhalainen nunna
eng	bhikkhuni	Noun	tr	Buddhist nun	ita	monaca buddista	f
eng	bhikkhuni	Noun	tr	Buddhist nun	jpn	比丘尼	tr=びくに, bikuni
eng	bhikkhuni	Noun	tr	Buddhist nun	kor	비구니
eng	bhikkhuni	Noun	tr	Buddhist nun	kor	比丘尼
eng	bhikkhuni	Noun	tr	Buddhist nun	mon	гэлэнмаа
eng	bhikkhuni	Noun	tr	Buddhist nun	mon	ᠭᠡᠯᠣᠩᠮ ᠠ
eng	bhikkhuni	Noun	tr	Buddhist nun	mya	ဘိက္ခုနီ
eng	bhikkhuni	Noun	tr	Buddhist nun	shn	ၽိၵ်ႈၶူႇၼီႇ
eng	bhikkhuni	Noun	tr	Buddhist nun	vie	tỉ-khâu-ni
eng	bhikkhuni	Noun	tr	Buddhist nun	vie	比丘尼
eng	bhikkhuni	Noun	tr	Buddhist nun	yue	比丘尼	tr=bei2 jau1 nei4
eng	bhikkhu	Noun	tr	Buddhist monk	bod	དགེ་སློང	sc=Tibt
eng	bhikkhu	Noun	tr	Buddhist monk	cmn	僧侣	tr=sēnglǚ
eng	bhikkhu	Noun	tr	Buddhist monk	cmn	僧侶
eng	bhikkhu	Noun	tr	Buddhist monk	cmn	和尚	tr=héshang
eng	bhikkhu	Noun	tr	Buddhist monk	cmn	比丘	tr=bǐqiū
eng	bhikkhu	Noun	tr	Buddhist monk	fin	buddhalainen munkki
eng	bhikkhu	Noun	tr	Buddhist monk	fin	buddhalaismunkki
eng	bhikkhu	Noun	tr	Buddhist monk	fra	bhikshu	m
eng	bhikkhu	Noun	tr	Buddhist monk	hin	भिक्षु	sc=Deva
eng	bhikkhu	Noun	tr	Buddhist monk	ind	biksu
eng	bhikkhu	Noun	tr	Buddhist monk	ind	biku
eng	bhikkhu	Noun	tr	Buddhist monk	ita	monaco buddista	m
eng	bhikkhu	Noun	tr	Buddhist monk	jpn	比丘	tr=びく, biku
eng	bhikkhu	Noun	tr	Buddhist monk	jpn	苾芻	tr=びっしゅ, bisshu
eng	bhikkhu	Noun	tr	Buddhist monk	jpn	苾蒭	tr=びっしゅ, bisshu, ひっすう, hissū
eng	bhikkhu	Noun	tr	Buddhist monk	khm	ភិក្ខុ	tr=pʰikkʰo’	sc=Khmr
eng	bhikkhu	Noun	tr	Buddhist monk	khm	ឧបសម្បន្ន	tr=u’pa’sɑmban	sc=Khmr
eng	bhikkhu	Noun	tr	Buddhist monk	kor	비구
eng	bhikkhu	Noun	tr	Buddhist monk	mon	гэлэн
eng	bhikkhu	Noun	tr	Buddhist monk	mon	ᠭᠡᠯᠦᠩ
eng	bhikkhu	Noun	tr	Buddhist monk	msa	biksu
eng	bhikkhu	Noun	tr	Buddhist monk	msa	biku
eng	bhikkhu	Noun	tr	Buddhist monk	msa	sami
eng	bhikkhu	Noun	tr	Buddhist monk	mya	ဘိက္ခု
eng	bhikkhu	Noun	tr	Buddhist monk	nep	भिक्षु
eng	bhikkhu	Noun	tr	Buddhist monk	pan	bhikkhu	m
eng	bhikkhu	Noun	tr	Buddhist monk	pli	bhikkhu	m
eng	bhikkhu	Noun	tr	Buddhist monk	por	bico
eng	bhikkhu	Noun	tr	Buddhist monk	rus	бхи́кшу	m
eng	bhikkhu	Noun	tr	Buddhist monk	san	भिक्षु	m
eng	bhikkhu	Noun	tr	Buddhist monk	shn	ၽိၵ်ႈၶူႇ
eng	bhikkhu	Noun	tr	Buddhist monk	sin	භික්‍ෂූහූ	sc=Sinh
eng	bhikkhu	Noun	tr	Buddhist monk	spa	bhikkhu	m
eng	bhikkhu	Noun	tr	Buddhist monk	tam	துறவி
eng	bhikkhu	Noun	tr	Buddhist monk	tha	พระภิกษุ
eng	bhikkhu	Noun	tr	Buddhist monk	tha	ภิกขุ
eng	bhikkhu	Noun	tr	Buddhist monk	tha	ภิกษุ
eng	bhikkhu	Noun	tr	Buddhist monk	vie	Tỉ-khâu
eng	bhikkhu	Noun	tr	Buddhist monk	vie	Tỉ-khưu
eng	bhut jolokia	Noun	tr		fra	jolokia
eng	bhut jolokia	Noun	tr		fra	piment jolokia
