	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	bi	Adjective	tr	bisexual	deu	bi
eng	bi	Adjective	tr	bisexual	fin	bi
eng	bi	Adjective	tr	bisexual	fin	bisse
eng	bi	Adjective	tr	bisexual	fra	bi
eng	bi	Adjective	tr	bisexual	ita	bisex
eng	bi	Adjective	tr	bisexual	jpn	バイ	tr=bai
eng	bi	Adjective	tr	bisexual	nld	bi
eng	bi	Adjective	tr	bisexual	por	bi
eng	bi	Adjective	tr	bisexual	por	gilete
eng	bi	Adjective	tr	bisexual	spa	bi
eng	bi	Adjective	tr	bisexual	swe	bi
eng	bialy	Noun	tr	flat bread roll	bul	лучник	m
eng	bialy	Noun	tr	flat bread roll	jpn	ビアリ	tr=biari
eng	bialy	Noun	tr	flat bread roll	yid	ביאַלי
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	𰻝𰻝儿面	tr=biángbiángrmiàn
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	𰻞𰻞兒麵
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	油泼扯面	tr=yóupō chěmiàn
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	油潑扯麵
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	𰻝𰻝面	tr=biángbiángmiàn
eng	biangbiang noodles	Noun	tr	type of noodle	cmn	𰻞𰻞麵
eng	biangbiang noodles	Noun	tr	type of noodle	deu	Biángbiang-Nudeln
eng	biangbiang noodles	Noun	tr	type of noodle	fra	nouilles biang biang
eng	biangbiang noodles	Noun	tr	type of noodle	jpn	ビャンビャン麺	tr=byanbyan-men	sc=Jpan
eng	biangbiang noodles	Noun	tr	type of noodle	kor	뱡뱡면	tr=byangbyang-myeon	sc=Kore
eng	biangbiang noodles	Noun	tr	type of noodle	nor	biangbiangnudler
eng	biangbiang noodles	Noun	tr	type of noodle	swe	biangbiangnudlar
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	deu	halbjährlich
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	ell	διετής
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	ell	εξαμηνιαίος
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	fin	puolivuosittainen
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	gle	leathbhliantúil
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	glg	bianual
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	hun	félévenkénti
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	ita	semestrale
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	nld	halfjaarlijks
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	nor	halvårlig
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	nor	halvårs-
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	por	bianual
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	rus	полугоди́чный
eng	biannual	Adjective	tr	occurring twice a year; semi-annual	spa	bianual
eng	bianqing	Noun	tr	sounding stones	cmn	編磬	sc=Hani
eng	bianqing	Noun	tr	sounding stones	cmn	编磬	tr=biānqìng	sc=Hani
eng	bianqing	Noun	tr	sounding stones	jpn	編磬	tr=へんけい, henkei
eng	bianqing	Noun	tr	sounding stones	kor	편경	sc=Kore
eng	bianqing	Noun	tr	sounding stones	kor	編磬	sc=Hani
eng	bianqing	Noun	tr	sounding stones	vie	biên khánh
eng	bianzhong	Noun	tr	bells	cmn	編鐘	sc=Hani
eng	bianzhong	Noun	tr	bells	cmn	编钟	tr=biānzhōng	sc=Hani
eng	bianzhong	Noun	tr	bells	jpn	編鐘	tr=へんしょう, henshō	sc=Jpan
eng	bianzhong	Noun	tr	bells	kor	편종	sc=Kore
eng	bianzhong	Noun	tr	bells	kor	編鐘	sc=Hani
eng	bianzhong	Noun	tr	bells	vie	biên chung
eng	bias	Adjective	tr	cut slanting or diagonally	fin	vino
eng	bias	Adjective	tr	cut slanting or diagonally	ita	di sbieco	m
eng	bias	Adjective	tr	inclined to or swelled on one side	fin	vino
eng	bias	Adjective	tr	inclined to or swelled on one side	ita	inclinato
eng	bias	Adjective	tr	inclined to or swelled on one side	ita	penzolante
eng	bias	Adverb	tr	in a slanting manner	fin	vinoon
eng	bias	Adverb	tr	in a slanting manner	fin	vinosti
eng	bias	Adverb	tr	in a slanting manner	ita	diagonalmente
eng	bias	Adverb	tr	in a slanting manner	ita	di sbieco
eng	biased	Adjective	tr	angled at a slant	deu	gekippt
eng	biased	Adjective	tr	angled at a slant	deu	geneigt
eng	biased	Adjective	tr	angled at a slant	fin	kalteva
eng	biased	Adjective	tr	angled at a slant	fin	vino
eng	biased	Adjective	tr	angled at a slant	ita	inclinato
eng	biased	Adjective	tr	angled at a slant	ita	obliquo
eng	biased	Adjective	tr	angled at a slant	mri	haukume
eng	biased	Adjective	tr	angled at a slant	por	enviesado
eng	biased	Adjective	tr	angled at a slant	por	oblíquo
eng	biased	Adjective	tr	angled at a slant	rus	отклонённый
eng	biased	Adjective	tr	angled at a slant	rus	смещённый
eng	biased	Adjective	tr	angled at a slant	spa	en declive
eng	biased	Adjective	tr	angled at a slant	spa	inclinado
eng	biased	Adjective	tr	angled at a slant	spa	ladeado
eng	biased	Adjective	tr	angled at a slant	spa	oblicuo
eng	biased	Adjective	tr	angled at a slant	spa	sesgado
eng	biased	Adjective	tr	exhibiting bias; prejudiced	bul	предубеде́н
eng	biased	Adjective	tr	exhibiting bias; prejudiced	bul	пристра́стен
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cat	esbiaixat
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cat	parcial
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cat	tendenciós
eng	biased	Adjective	tr	exhibiting bias; prejudiced	ces	zaujatý	m
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cmn	怀偏见的	tr=huái piānjiàn de
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cmn	懷偏見的
eng	biased	Adjective	tr	exhibiting bias; prejudiced	cmn	有偏心的	tr=yǒu piānxīn de
eng	biased	Adjective	tr	exhibiting bias; prejudiced	dan	tilbøjelig
eng	biased	Adjective	tr	exhibiting bias; prejudiced	deu	befangen
eng	biased	Adjective	tr	exhibiting bias; prejudiced	deu	parteiisch
eng	biased	Adjective	tr	exhibiting bias; prejudiced	deu	tendenziös
eng	biased	Adjective	tr	exhibiting bias; prejudiced	deu	voreingenommen
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fas	جانب‌دارانه	tr=jâneb-dârâne
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fin	puolueellinen
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fin	vääristynyt
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fin	väritetty
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fra	partial
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fra	qui a du parti pris
eng	biased	Adjective	tr	exhibiting bias; prejudiced	fra	qui n'est pas impartial
eng	biased	Adjective	tr	exhibiting bias; prejudiced	gle	claonta
eng	biased	Adjective	tr	exhibiting bias; prejudiced	gle	laofa
eng	biased	Adjective	tr	exhibiting bias; prejudiced	gle	leataobhach
eng	biased	Adjective	tr	exhibiting bias; prejudiced	hun	elfogult
eng	biased	Adjective	tr	exhibiting bias; prejudiced	hun	részrehajló
eng	biased	Adjective	tr	exhibiting bias; prejudiced	ita	parziale
eng	biased	Adjective	tr	exhibiting bias; prejudiced	ita	pregiudizievole
eng	biased	Adjective	tr	exhibiting bias; prejudiced	ita	tendenzioso
eng	biased	Adjective	tr	exhibiting bias; prejudiced	mkd	при́страсен
eng	biased	Adjective	tr	exhibiting bias; prejudiced	mri	ngākaukino
eng	biased	Adjective	tr	exhibiting bias; prejudiced	nld	partijdig
eng	biased	Adjective	tr	exhibiting bias; prejudiced	por	tendencioso
eng	biased	Adjective	tr	exhibiting bias; prejudiced	rus	предубеждённый
eng	biased	Adjective	tr	exhibiting bias; prejudiced	rus	пристра́стный
eng	biased	Adjective	tr	exhibiting bias; prejudiced	spa	parcial
eng	biased	Adjective	tr	exhibiting bias; prejudiced	spa	sesgado
eng	biased	Adjective	tr	exhibiting bias; prejudiced	spa	tendencioso
eng	biased	Adjective	tr	exhibiting bias; prejudiced	swe	partisk
eng	biased	Adjective	tr	exhibiting bias; prejudiced	swe	snedvriden
eng	biased	Adjective	tr	exhibiting bias; prejudiced	vie	thiên vị
eng	biased	Adjective	tr	of statistics - showing an imbalance of a result	ita	distorto
eng	biased	Adjective	tr	of statistics - showing an imbalance of a result	mri	haukume
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	deu	Bias	m
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	deu	Vorspannung	f
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	fin	esijännite
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	fin	esivirta
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	ita	polarizzazione	f
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	nld	voormagnetisatie	f
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	nld	voorspanning	f
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	rus	смеще́ние	n
eng	bias	Noun	tr	electronics: voltage or current applied to electronic device	tur	önyargı
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ara	تَحَيُّز	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	cat	biaix	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ces	předpojatost	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ces	zaujetí	n
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	cmn	偏见
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	dan	forudindtagethed	c
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	dan	partiskhed	c
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	dan	slagside	c
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	deu	Ausrichtung	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	deu	Neigung	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	deu	Verzerrung	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	deu	Voreingenommenheit	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	deu	Vorliebe	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ell	προκατάληψη	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	epo	biaso
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	epo	emo
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	epo	inklino
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	epo	partieco
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	eus	isuri
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	alttius
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	ennakkoasenne
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	ennakkoluulo
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	mieltymys
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	puolueellisuus
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	taipumus
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	vinouma
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fin	vinous
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fra	parti-pris	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	fra	préjugé	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	got	𐍅𐌹𐌻𐌾𐌰𐌷𐌰𐌻𐌸𐌴𐌹	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	heb	דעה קדומה	f	tr=deá kdumá
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	heb	הטיה	f	tr=hatayá
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	heb	נטאי	m	tr=netáy
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	heb	נטייה	f	tr=netiyá
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	hun	elfogultság
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	hun	részrehajlás
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	hye	կողմնակալություն	sc=Armn
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	hye	կողմնապահություն	sc=Armn
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	inclinazione	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	influenza	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	predilezione
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	predisposizione	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	preferenza	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	pregiudizio	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ita	tendenza	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	mri	mariutanga
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	mri	ngākaukino
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	nld	neiging
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	nld	vooringenomenheid	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	nld	vooroordeel	n
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	nor	fordom
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	nor	partiskhet
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	pol	inklinacja	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	pol	stronniczość	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	pol	ukos	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	pol	uprzedzenie	n
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	por	distorção	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	por	tendência	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	por	tendenciosidade	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	por	viés	m
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ron	înclinație	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	ron	preferință	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	rus	предубежде́ние
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	inclinación	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	parcialidad	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	predilección	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	predisposición	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	preferencia	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	prejuicio	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	sesgo
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	spa	tendencia	f
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	swe	partiskhet	c
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	tgl	ayo
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	vie	thiên về
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	vie	thiên vị
eng	bias	Noun	tr	inclination towards something; predisposition, partiality	yue	偏見	sc=Hani
eng	bias	Noun	tr	statistics: difference between expectation and true value	cat	predisposició	f
eng	bias	Noun	tr	statistics: difference between expectation and true value	cat	prejudici	m
eng	bias	Noun	tr	statistics: difference between expectation and true value	cat	tendència	f
eng	bias	Noun	tr	statistics: difference between expectation and true value	deu	Verzerrung	f
eng	bias	Noun	tr	statistics: difference between expectation and true value	fin	harha
eng	bias	Noun	tr	statistics: difference between expectation and true value	fra	biais
eng	bias	Noun	tr	statistics: difference between expectation and true value	fra	parti-pris	m
eng	bias	Noun	tr	statistics: difference between expectation and true value	fra	préjugé	m
eng	bias	Noun	tr	statistics: difference between expectation and true value	ind	bias
eng	bias	Noun	tr	statistics: difference between expectation and true value	ita	distorsione
eng	bias	Noun	tr	statistics: difference between expectation and true value	mri	haukume
eng	bias	Noun	tr	statistics: difference between expectation and true value	nor	partisk
eng	bias	Noun	tr	statistics: difference between expectation and true value	por	enviesamento
eng	bias	Noun	tr	statistics: difference between expectation and true value	spa	sesgo
eng	biaspectual	Adjective	tr	of verbs: having two grammatical aspects	fin	kaksiaspektinen
eng	biaspectual	Adjective	tr	of verbs: having two grammatical aspects	hbs	dvòvidan
eng	biaspectual	Adjective	tr	of verbs: having two grammatical aspects	hbs	дво̀видан
eng	biaspectual	Adjective	tr	of verbs: having two grammatical aspects	rus	двувидово́й
eng	bias	Verb	tr	to place bias upon	fin	vääristää
eng	bias	Verb	tr	to place bias upon	fin	vaikuttaa
eng	bias	Verb	tr	to place bias upon	fin	vinouttaa
eng	bias	Verb	tr	to place bias upon	ita	condizionare
eng	bias	Verb	tr	to place bias upon	ita	distorcere
eng	bias	Verb	tr	to place bias upon	ita	influenzare
eng	bias	Verb	tr	to place bias upon	ita	influire
eng	bias	Verb	tr	to place bias upon	ita	orientare
eng	biathlete	Noun	tr	athlete in biathlon	deu	Biathletin	f
eng	biathlete	Noun	tr	athlete in biathlon	deu	Biathlet	m
eng	biathlete	Noun	tr	athlete in biathlon	fin	ampumahiihtäjä
eng	biathlete	Noun	tr	athlete in biathlon	fra	biathlète	m	f
