	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	by	Adverb	tr	along a path	dan	forbi
eng	by	Adverb	tr	along a path	deu	längs
eng	by	Adverb	tr	along a path	fin	ohi
eng	by	Adverb	tr	along a path	gla	seachad
eng	by	Adverb	tr	along a path	jpn	沿う	alt=道に沿って	tr=みちにそって, michi ni sotte
eng	by	Adverb	tr	along a path	kmr	di ber re
eng	by	Adverb	tr	along a path	kmr	tê re
eng	by	Adverb	tr	along a path	msa	di sepanjang
eng	by	Adverb	tr	along a path	nld	langs
eng	by	Adverb	tr	along a path	por	por mim	s
eng	by	Adverb	tr	along a path	por	por nós	p
eng	by	Adverb	tr	along a path	slk	okolo
eng	by	Adverb	tr	along a path	spa	por
eng	by	Adverb	tr	along a path	swe	längs
eng	by	Adverb	tr	along a path	swe	längs med
eng	by	Adverb	tr	along a path	ukr	повз
eng	by	Adverb	tr	along a path	vie	qua
eng	by a hair's breadth	Prepositional phrase	tr		deu	um ein Haar
eng	by a hair's breadth	Prepositional phrase	tr		deu	um Haaresbreite
eng	by a hair's breadth	Prepositional phrase	tr		fin	karvan verran
eng	by a hair's breadth	Prepositional phrase	tr		fra	à deux doigts
eng	by a hair's breadth	Prepositional phrase	tr		fra	à un cheveu
eng	by a hair's breadth	Prepositional phrase	tr		fra	à un poil
eng	by a hair's breadth	Prepositional phrase	tr		pol	o włos
eng	by a hair's breadth	Prepositional phrase	tr		spa	por un pelo
eng	by a landslide	Adverb	tr	with big marginals	fra	dans les grandes largeurs
eng	by a landslide	Adverb	tr	with big marginals	fra	largement
eng	by a landslide	Adverb	tr	with big marginals	spa	de goleada
eng	by a landslide	Adverb	tr	with big marginals	spa	por goleada
eng	by a landslide	Adverb	tr	with big marginals	swe	med marginal
eng	by a landslide	Adverb	tr	with big marginals	swe	med råge
eng	by all accounts	Prepositional phrase	tr	According to everything that people have said	fra	de l'avis général
eng	by all accounts	Prepositional phrase	tr	According to everything that people have said	fra	de toute évidence
eng	by all accounts	Prepositional phrase	tr	According to everything that people have said	pol	podobno
eng	by all accounts	Prepositional phrase	tr	According to everything that people have said	pol	ponoć
eng	by all accounts	Prepositional phrase	tr	According to everything that people have said	pol	rzekomo
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	cmn	千万	tr=qiānwàn
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	cmn	千萬
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	deu	unbedingt
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	fin	ihmeessä
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	fin	kaikin mokomin
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	gla	air a h-uile cor
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	gmq-bot	val djära väl
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	hbs	náravno
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	hbs	на́равно
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	isl	endilega
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	isl	fyrir alla muni
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	ita	pure
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	jpn	きっと	tr=kitto
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	jpn	どうしても	tr=dōshitemo
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	lat	quam maxime
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	lat	quoquomodo
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	mkd	се́како
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	pol	jak najbardziej
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	pol	zdecydowanie
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	pol	ze wszech miar
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	por	absolutamente
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	por	com certeza
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	por	sem dúvida
eng	by all means	Prepositional phrase	tr	emphatically yes, definitely	rus	во что́ бы то ни ста́ло
