	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	c'mon	Contraction	tr	come on	ara	يَااللّٰه	tr=ya-llāh
eng	c'mon	Contraction	tr	come on	deu	auf geht's
eng	c'mon	Contraction	tr	come on	fas	ای بابا	sc=fa-Arab
eng	c'mon	Contraction	tr	come on	fra	allez
eng	c'mon	Contraction	tr	come on	fra	envoye
eng	c'mon	Contraction	tr	come on	fra	enweye
eng	c'mon	Contraction	tr	come on	fra	vas-y
eng	c'mon	Contraction	tr	come on	hbs	ajde
eng	c'mon	Contraction	tr	come on	hbs	ајде	sc=Cyrl
eng	c'mon	Contraction	tr	come on	hye	եկեք սկսենք
eng	c'mon	Contraction	tr	come on	ita	andiamo
eng	c'mon	Contraction	tr	come on	ita	suvvia
eng	c'mon	Contraction	tr	come on	kor	와봐
eng	c'mon	Contraction	tr	come on	lat	adhortamini	p
eng	c'mon	Contraction	tr	come on	lat	adhortare
eng	c'mon	Contraction	tr	come on	lat	anima
eng	c'mon	Contraction	tr	come on	lat	animate
eng	c'mon	Contraction	tr	come on	lat	aude
eng	c'mon	Contraction	tr	come on	lat	audete	p
eng	c'mon	Contraction	tr	come on	lat	eamus
eng	c'mon	Contraction	tr	come on	lat	excita
eng	c'mon	Contraction	tr	come on	lat	excitate	p
eng	c'mon	Contraction	tr	come on	lat	gradimur
eng	c'mon	Contraction	tr	come on	lat	hortamini	p
eng	c'mon	Contraction	tr	come on	lat	hortare
eng	c'mon	Contraction	tr	come on	lat	incita
eng	c'mon	Contraction	tr	come on	lat	incitate	p
eng	c'mon	Contraction	tr	come on	lat	vadamus
eng	c'mon	Contraction	tr	come on	mkd	ајде	sc=Cyrl
eng	c'mon	Contraction	tr	come on	msa	ayuh
eng	c'mon	Contraction	tr	come on	msa	mari
eng	c'mon	Contraction	tr	come on	pol	cho
eng	c'mon	Contraction	tr	come on	pol	dalej
eng	c'mon	Contraction	tr	come on	pol	dalejże
eng	c'mon	Contraction	tr	come on	pol	dawaj
eng	c'mon	Contraction	tr	come on	pol	hajda
eng	c'mon	Contraction	tr	come on	pol	hajże
eng	c'mon	Contraction	tr	come on	pol	huzia
eng	c'mon	Contraction	tr	come on	pol	jazda
eng	c'mon	Contraction	tr	come on	pol	nuże
eng	c'mon	Contraction	tr	come on	pol	weź
eng	c'mon	Contraction	tr	come on	por	vamos
eng	c'mon	Contraction	tr	come on	rus	айда́
eng	c'mon	Contraction	tr	come on	rus	дава́й
eng	c'mon	Contraction	tr	come on	rus	дава́йте
eng	c'mon	Contraction	tr	come on	spa	dale
eng	c'mon	Contraction	tr	come on	spa	vamos
eng	c'mon	Contraction	tr	come on	swe	kom nu
eng	c'mon	Contraction	tr	come on	urd	چلو	tr=chalo
