	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	ces	žahavec	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	cmn	刺丝胞动物	tr=cìsībāo dòngwù	sc=Hani
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	cmn	刺絲胞動物	sc=Hani
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	cmn	刺胞动物	tr=cìbāo dòngwù	sc=Hani
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	cmn	刺胞動物	sc=Hani
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	deu	Nesseltier	n
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	fin	polttiaiseläin
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	fra	cnidaire	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	guj	શૂલપ્રાણી
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	hin	शूलप्राणी
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	hun	csalánozó
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	ita	cnidario	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	mar	शूलप्राणी
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	nep	शूलप्राणी
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	nor	nesledyr	n
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	pol	parzydełkowiec	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	por	cnidário	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	rus	книда́рий	m
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	rus	стрека́ющее	n
eng	cnidarian	Noun	tr	any of various invertebrate animals that belong to the phylum ''Cnidaria''	spa	cnidario	m
eng	cnidoblastic	Adjective	tr		fra	cnidoblastique
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	cmn	刺胞	tr=cìbāo
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	deu	Nesselzelle	f
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	fin	poltinsolu
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	pol	parzydełko	n
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	por	cnidoblasto	m
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	por	cnidócito	m
eng	cnidocyte	Noun	tr	stinging capsule found in cnidarians	spa	cnidocito	m
