	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	csardas	Noun	tr	Hungarian folk dance	aze	çardaş
eng	csardas	Noun	tr	Hungarian folk dance	ces	čardáš	m
eng	csardas	Noun	tr	Hungarian folk dance	cmn	夏德西	tr=xiàdéxī	sc=Hani
eng	csardas	Noun	tr	Hungarian folk dance	cmn	恰尔达什	tr=qià'ěrdáshén	sc=Hani
eng	csardas	Noun	tr	Hungarian folk dance	cmn	恰爾達什	sc=Hani
eng	csardas	Noun	tr	Hungarian folk dance	cmn	查达斯	tr=chádásī	sc=Hani
eng	csardas	Noun	tr	Hungarian folk dance	cmn	查達斯	sc=Hani
eng	csardas	Noun	tr	Hungarian folk dance	deu	Csardas	m
eng	csardas	Noun	tr	Hungarian folk dance	deu	Csárdás	m
eng	csardas	Noun	tr	Hungarian folk dance	deu	Tschardasch	m
eng	csardas	Noun	tr	Hungarian folk dance	egl	csárdás	f
eng	csardas	Noun	tr	Hungarian folk dance	egl	cśèrda	f
eng	csardas	Noun	tr	Hungarian folk dance	ell	τσάρντας	n
eng	csardas	Noun	tr	Hungarian folk dance	epo	ĉardaŝo
eng	csardas	Noun	tr	Hungarian folk dance	est	tšaardaš
eng	csardas	Noun	tr	Hungarian folk dance	fas	چارداش	tr=čârdâš
eng	csardas	Noun	tr	Hungarian folk dance	fin	csárdás
eng	csardas	Noun	tr	Hungarian folk dance	fra	csardas	f
eng	csardas	Noun	tr	Hungarian folk dance	fra	czardas	f
eng	csardas	Noun	tr	Hungarian folk dance	hbs	čȁrdāš	m	sc=Cyrl
eng	csardas	Noun	tr	Hungarian folk dance	hbs	ча̏рда̄ш	m	sc=Cyrl
eng	csardas	Noun	tr	Hungarian folk dance	heb	צ׳רדש
eng	csardas	Noun	tr	Hungarian folk dance	hun	csárdás
eng	csardas	Noun	tr	Hungarian folk dance	hye	չարդաշ	sc=Armn
eng	csardas	Noun	tr	Hungarian folk dance	ita	ciarda	f
eng	csardas	Noun	tr	Hungarian folk dance	ita	czarda	f
eng	csardas	Noun	tr	Hungarian folk dance	jpn	チャールダーシュ	tr=chārudāshu	sc=Jpan
eng	csardas	Noun	tr	Hungarian folk dance	jpn	チャルダッシュ	tr=charudasshu	sc=Jpan
eng	csardas	Noun	tr	Hungarian folk dance	kor	차르다시	sc=Kore
eng	csardas	Noun	tr	Hungarian folk dance	lit	čardašas	m
eng	csardas	Noun	tr	Hungarian folk dance	pol	czardasz	m
eng	csardas	Noun	tr	Hungarian folk dance	ron	ceardaș	n
eng	csardas	Noun	tr	Hungarian folk dance	rus	ча́рдаш	m	sc=Cyrl
eng	csardas	Noun	tr	Hungarian folk dance	slv	čardaš	m
eng	csardas	Noun	tr	Hungarian folk dance	swe	csardas	c
eng	csardas	Noun	tr	Hungarian folk dance	swe	csárdás	c
eng	csardas	Noun	tr	Hungarian folk dance	swe	czardas	c
eng	csardas	Noun	tr	Hungarian folk dance	tur	çardaş
eng	csardas	Noun	tr	Hungarian folk dance	yid	טשאַרדאַש	m
