	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	d'Amour	Proper noun	tr		fra	d'Amour
eng	d'oh	Interjection	tr	expression of frustration	cmn	該死	alt=該死！	sc=Hani
eng	d'oh	Interjection	tr	expression of frustration	cmn	该死	alt=该死！	tr=gāisǐ	sc=Hani
eng	d'oh	Interjection	tr	expression of frustration	deu	hmm
eng	d'oh	Interjection	tr	expression of frustration	deu	nein
eng	d'oh	Interjection	tr	expression of frustration	deu	uh
eng	d'oh	Interjection	tr	expression of frustration	fin	voi helvetti
eng	d'oh	Interjection	tr	expression of frustration	fin	voi hemmetti
eng	d'oh	Interjection	tr	expression of frustration	fin	voi hitto
eng	d'oh	Interjection	tr	expression of frustration	fin	voi pahus
eng	d'oh	Interjection	tr	expression of frustration	fin	voi paska
eng	d'oh	Interjection	tr	expression of frustration	fra	t’oh
eng	d'oh	Interjection	tr	expression of frustration	ita	d'oh!
eng	d'oh	Interjection	tr	expression of frustration	jpn	畜生	tr=ちくしょう, chikushō	sc=Jpan
eng	d'oh	Interjection	tr	expression of frustration	nld	o nee
eng	d'oh	Interjection	tr	expression of frustration	pol	wrr
eng	d'oh	Interjection	tr	expression of frustration	por	droga
eng	d'oh	Interjection	tr	expression of frustration	por	não
eng	d'oh	Interjection	tr	expression of frustration	por	porcaria
eng	d'oh	Interjection	tr	expression of frustration	rus	блин!
eng	d'oh	Interjection	tr	expression of frustration	rus	чёрт!
eng	d'oh	Interjection	tr	expression of frustration	rus	чёрт побери́!
eng	d'oh	Interjection	tr	expression of frustration	spa	ouh
eng	d'oh	Interjection	tr	expression of frustration	swe	d'oh
eng	d'oh	Interjection	tr	expression of frustration	yue	頂	alt=頂！	tr=deng²	sc=Hani
