	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	d100	Noun	tr		fin	d100
eng	d100	Noun	tr		fra	d%
eng	d100	Noun	tr		fra	D100
eng	d100	Noun	tr		swe	d100
eng	d10	Noun	tr		cat	d10
eng	d10	Noun	tr		deu	W10
eng	d10	Noun	tr		fra	D10	m
eng	d10	Noun	tr		heb	ק10
eng	d10	Noun	tr		ita	d10
eng	d10	Noun	tr		jpn	10面	sc=Jpan
eng	d10	Noun	tr		lit	d10
eng	d10	Noun	tr		nld	d10
eng	d10	Noun	tr		pol	k10
eng	d10	Noun	tr		por	d10
eng	d10	Noun	tr		rus	d10
eng	d10	Noun	tr		spa	d10
eng	d10	Noun	tr		swe	T10
eng	d10	Noun	tr		tha	d10
eng	d10	Noun	tr		ukr	D10	sc=Cyrl
eng	d12	Noun	tr		cat	d12
eng	d12	Noun	tr		deu	W12
eng	d12	Noun	tr		fra	D12	m
eng	d12	Noun	tr		heb	ק12
eng	d12	Noun	tr		ita	d12
eng	d12	Noun	tr		jpn	12面	sc=Jpan
eng	d12	Noun	tr		lit	d12
eng	d12	Noun	tr		nld	d12
eng	d12	Noun	tr		pol	k12
eng	d12	Noun	tr		por	d12
eng	d12	Noun	tr		rus	d12
eng	d12	Noun	tr		spa	d12
eng	d12	Noun	tr		swe	T12
eng	d12	Noun	tr		tha	d12
eng	d12	Noun	tr		ukr	D12	sc=Cyrl
