	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	dhabihah	Noun	tr	dhabihah	dan	halalslagtning	c
eng	dharmachakra	Noun	tr	wheel of dharma	asm	ধৰ্মচক্ৰ
eng	dharmachakra	Noun	tr	wheel of dharma	bod	ཆོས་ཀྱི་འཁོར་ལོ
eng	dharmachakra	Noun	tr	wheel of dharma	cmn	法輪
eng	dharmachakra	Noun	tr	wheel of dharma	cmn	法轮	tr=fǎlún
eng	dharmachakra	Noun	tr	wheel of dharma	hin	धर्मचक्र
eng	dharmachakra	Noun	tr	wheel of dharma	jpn	法輪	tr=ほうりん, hōrin
eng	dharmachakra	Noun	tr	wheel of dharma	kor	법륜
eng	dharmachakra	Noun	tr	wheel of dharma	pli	dhammacakka
eng	dharmachakra	Noun	tr	wheel of dharma	rus	дхармачакра	f
eng	dharmachakra	Noun	tr	wheel of dharma	san	धर्मचक्र
eng	dharmachakra	Noun	tr	wheel of dharma	tel	ధర్మచక్రం
eng	dharmachakra	Noun	tr	wheel of dharma	tel	ధర్మచక్రము
eng	dharmachakra	Noun	tr	wheel of dharma	tha	ธรรมจักร
eng	dharmachakra	Noun	tr	wheel of dharma	vie	pháp luân
eng	dharma	Noun	tr	principle that orders the universe	ara	دَارْمَا
eng	dharma	Noun	tr	principle that orders the universe	ban	ᬥᬃᬫ	tr=dharma	sc=Bali
eng	dharma	Noun	tr	principle that orders the universe	ben	ধর্ম
eng	dharma	Noun	tr	principle that orders the universe	ben	নিরঁজন	sc=Beng
eng	dharma	Noun	tr	principle that orders the universe	bho	धर्म
eng	dharma	Noun	tr	principle that orders the universe	bod	ལྷ་ཆོས	sc=Tibt
eng	dharma	Noun	tr	principle that orders the universe	ces	dharma	f
eng	dharma	Noun	tr	principle that orders the universe	cmn	法	tr=fǎ	sc=Hani
eng	dharma	Noun	tr	principle that orders the universe	deu	Dharma
eng	dharma	Noun	tr	principle that orders the universe	dty	धर्म
eng	dharma	Noun	tr	principle that orders the universe	ell	ντάρμα
eng	dharma	Noun	tr	principle that orders the universe	epo	darmo
eng	dharma	Noun	tr	principle that orders the universe	fin	dharma
eng	dharma	Noun	tr	principle that orders the universe	fra	dharma	m
eng	dharma	Noun	tr	principle that orders the universe	grc	εὐσέβειᾰ
eng	dharma	Noun	tr	principle that orders the universe	guj	ધર્મ
eng	dharma	Noun	tr	principle that orders the universe	hin	कर्तव्य	m
eng	dharma	Noun	tr	principle that orders the universe	hin	धर्म	m	sc=Deva
eng	dharma	Noun	tr	principle that orders the universe	hin	निरंजन	m
eng	dharma	Noun	tr	principle that orders the universe	inc-ash	𑀥𑀁𑀫
eng	dharma	Noun	tr	principle that orders the universe	jpn	法	tr=ほう, hō
eng	dharma	Noun	tr	principle that orders the universe	kan	ಧರ್ಮ
eng	dharma	Noun	tr	principle that orders the universe	kfr	ધર્મ
eng	dharma	Noun	tr	principle that orders the universe	khb	ᦒᧄ
eng	dharma	Noun	tr	principle that orders the universe	khm	ធម៌
eng	dharma	Noun	tr	principle that orders the universe	khm	ធម្ម
eng	dharma	Noun	tr	principle that orders the universe	kok	धर्म
eng	dharma	Noun	tr	principle that orders the universe	kor	법
eng	dharma	Noun	tr	principle that orders the universe	kor	法
eng	dharma	Noun	tr	principle that orders the universe	lao	ທັມ
eng	dharma	Noun	tr	principle that orders the universe	lao	ທຳ
eng	dharma	Noun	tr	principle that orders the universe	mai	धर्म
eng	dharma	Noun	tr	principle that orders the universe	mar	धर्म	m	sc=Deva
eng	dharma	Noun	tr	principle that orders the universe	msa	darma
eng	dharma	Noun	tr	principle that orders the universe	mya	တရား
eng	dharma	Noun	tr	principle that orders the universe	mya	ဓမ္မ	sc=Mymr
eng	dharma	Noun	tr	principle that orders the universe	nep	धर्म
eng	dharma	Noun	tr	principle that orders the universe	nld	dharma
eng	dharma	Noun	tr	principle that orders the universe	pli	dhamma
eng	dharma	Noun	tr	principle that orders the universe	pol	dharma	f
eng	dharma	Noun	tr	principle that orders the universe	por	darma	m
eng	dharma	Noun	tr	principle that orders the universe	psu	𑀥𑀫𑁆𑀫
eng	dharma	Noun	tr	principle that orders the universe	rus	дха́рма	f
