	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	e caudata	Noun	tr	letter ''e'' with a diacritical tail	lat	ē caudāta	f
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	ces	z mnohých jeden
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	cmn	合众为一	tr=hé zhòng wéi yī	sc=Hani
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	cmn	合眾為一	sc=Hani
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	deu	aus vielen eines
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fin	monesta yksi
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fra	de plusieurs, un
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fra	un à partir de plusieurs
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	hbs	iz mnogih jedan
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	jpn	多数から一つへ	tr=たすうからひとつへ, tasū-kara hitotsu-e	sc=Jpan
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	lat	e pluribus unum
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	lat	ē plūribus ūnum
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	pol	z wielu jeden
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	ron	una din multe
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	rus	еди́нственный из мно́гих	m
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	rus	из мно́гих — еди́ное	n
