	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	ara	إِيبَاي	m
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	cmn	电子港湾	tr=diànzǐ-gǎngwān	sc=Hani
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	cmn	电子湾	tr=diànzǐ-wān	sc=Hani
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	cmn	電子港灣	sc=Hani
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	cmn	電子灣	sc=Hani
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	ell	ημπεη
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	fas	ای‌بی	tr=i-bey
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	heb	איביי	m	m-p	f	tr=íbey
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	hin	ईबे
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	jpn	イーベイ	tr=ībei
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	kor	이베이
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	rus	ибэ́й	m
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	rus	иБэ́й	m
eng	eBay	Proper noun	tr	eBay (alternative non-romanised names)	tha	อีเบย์	tr=ii-bee
