	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	elaborate	Adjective	tr	detailed	bul	подробен
eng	elaborate	Adjective	tr	detailed	bul	сложен
eng	elaborate	Adjective	tr	detailed	cmn	复杂的
eng	elaborate	Adjective	tr	detailed	cmn	详尽的
eng	elaborate	Adjective	tr	detailed	dan	detaljeret
eng	elaborate	Adjective	tr	detailed	deu	ausführlich
eng	elaborate	Adjective	tr	detailed	deu	durchdacht
eng	elaborate	Adjective	tr	detailed	est	detailne
eng	elaborate	Adjective	tr	detailed	est	üksikasjalik
eng	elaborate	Adjective	tr	detailed	fin	perusteellinen
eng	elaborate	Adjective	tr	detailed	fin	yksityiskohtainen
eng	elaborate	Adjective	tr	detailed	glg	detallado
eng	elaborate	Adjective	tr	detailed	glv	yl-chast
eng	elaborate	Adjective	tr	detailed	hun	alaposan kidolgozott
eng	elaborate	Adjective	tr	detailed	hun	mélyreható
eng	elaborate	Adjective	tr	detailed	isl	ítarlegur
eng	elaborate	Adjective	tr	detailed	ita	dettagliato
eng	elaborate	Adjective	tr	detailed	ita	elaborato
eng	elaborate	Adjective	tr	detailed	nld	diepgaand
eng	elaborate	Adjective	tr	detailed	nld	gedetailleerd
eng	elaborate	Adjective	tr	detailed	pol	drobiazgowy
eng	elaborate	Adjective	tr	detailed	por	detalhado
eng	elaborate	Adjective	tr	detailed	rus	доскона́льный
eng	elaborate	Adjective	tr	detailed	rus	подро́бный
eng	elaborate	Adjective	tr	detailed	rus	проду́манный
eng	elaborate	Adjective	tr	detailed	rus	скрупулёзный
eng	elaborate	Adjective	tr	detailed	rus	тща́тельно сде́ланный
eng	elaborate	Adjective	tr	detailed	swe	detaljerad
eng	elaborate	Adjective	tr	detailed	tur	ayrıntılı
eng	elaborate	Adjective	tr	detailed	tur	detaylı
eng	elaborate	Adjective	tr	detailed	tur	mufassal
eng	elaborate	Adjective	tr	detailed	tur	tafsilatlı
eng	elaborate	Adjective	tr	detailed	tur	teferruatlı
