	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	dadurch
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	darum
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	deshalb
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	deswegen
eng	eolic	Adjective	tr	referring to the action or power of wind	fin	eolinen
eng	eolithic	Adjective	tr	of or relating to the early period of the Stone Age marked by the use of eoliths	gle	eoiliteach
eng	eonism	Noun	tr		fra	éonisme	m
eng	eonism	Noun	tr		ita	eonismo	m
eng	eon	Noun	tr	a being emanating from the Godhead	ces	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	ita	eone	m
eng	eon	Noun	tr	a being emanating from the Godhead	jpn	アイオーン	tr=aiōn
eng	eon	Noun	tr	a being emanating from the Godhead	nor	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	pol	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	por	éon	m
eng	eon	Noun	tr	a being emanating from the Godhead	rus	эо́н	m
eng	eon	Noun	tr	eternity	bul	вечност
eng	eon	Noun	tr	eternity	ces	věčnost	f
eng	eon	Noun	tr	eternity	fin	iäisyys
eng	eon	Noun	tr	eternity	fin	iänkaikkisuus
eng	eon	Noun	tr	eternity	fin	ikuisuus
eng	eon	Noun	tr	eternity	fra	éternité	f
eng	eon	Noun	tr	eternity	hbs	eon	m
eng	eon	Noun	tr	eternity	hbs	vječnost	f
eng	eon	Noun	tr	eternity	nld	eeuwigheid	f
eng	eon	Noun	tr	eternity	nld	eterniteit	f
eng	eon	Noun	tr	eternity	nld	sempiterniteit	f
eng	eon	Noun	tr	eternity	nor	eon	m
eng	eon	Noun	tr	eternity	pol	wieczność	f
eng	eon	Noun	tr	eternity	por	eternidade	f
eng	eon	Noun	tr	eternity	rus	ве́чность	f
eng	eon	Noun	tr	eternity	spa	eón	m
eng	eon	Noun	tr	eternity	spa	eternidad	f
eng	eon	Noun	tr	eternity	swe	evighet	c
eng	eon	Noun	tr	eternity	tur	sonsuzluk
eng	eon	Noun	tr	geological time period	ces	věk	m
eng	eon	Noun	tr	geological time period	cmn	宙	tr=zhòu
eng	eon	Noun	tr	geological time period	deu	Äon	m
eng	eon	Noun	tr	geological time period	fin	aioni
eng	eon	Noun	tr	geological time period	fra	éon	m
eng	eon	Noun	tr	geological time period	hbs	eon	m
eng	eon	Noun	tr	geological time period	heb	עידן	m	tr=idán	alt=עִדָּן
eng	eon	Noun	tr	geological time period	ita	eone	m
eng	eon	Noun	tr	geological time period	jpn	累代	tr=るいだい, ruidai
eng	eon	Noun	tr	geological time period	kaz	эон
eng	eon	Noun	tr	geological time period	kor	누대	sc=Kore
eng	eon	Noun	tr	geological time period	kor	이언	sc=Kore
eng	eon	Noun	tr	geological time period	kor	累代	sc=Hani
eng	eon	Noun	tr	geological time period	nld	eon	n
eng	eon	Noun	tr	geological time period	nor	eon	m
eng	eon	Noun	tr	geological time period	pol	eon	m
