	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	evacuate	Verb	tr	to cause to leave or withdraw from	ara	أخْلَا
eng	evacuate	Verb	tr	to cause to leave or withdraw from	ara	جَلَا
eng	evacuate	Verb	tr	to cause to leave or withdraw from	nob	evakuere
eng	evacuate	Verb	tr	to make empty; to deprive	ara	أفْرَغَ
eng	evacuate	Verb	tr	to make empty; to empty out; to remove the contents of, including to create a vacuum	ara	خَلَّى
eng	evacuate	Verb	tr	to make empty; to empty out; to remove the contents of, including to create a vacuum	ara	فَرَّغَ
eng	evacuate	Verb	tr	to make empty; to empty out; to remove the contents of, including to create a vacuum	nob	evakuere
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	ara	جَلَا عَن
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	aze	köçürmək
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	bel	эвакуіраваць
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	bul	евакуирам	sc=Cyrl
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cat	evacuar
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	ces	evakuovat
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cmn	后送	tr=hòusòng	sc=Hani
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cmn	後送	sc=Hani
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cmn	撤离	tr=chèlí	sc=Hani
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cmn	撤離	sc=Hani
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	cmn	疏散	tr=shūsàn	sc=Hani
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	dan	evakuere
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	deu	annullieren
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	deu	entleeren
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	deu	evakuieren
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	ell	εκκενώνω
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	epo	evakui
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	fin	evakuoida
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	fin	tyhjentää
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	fra	évacuer
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hbs	evakuírati
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hbs	isprázniti
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hun	evakuál
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hun	kimenekít
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hun	kitelepít
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	hun	kiürít
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	isl	rýma
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	ita	evacuare
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	jpn	避難	tr=ひなんする, hinan-suru	alt=避難する
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	kor	비우다
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	mri	whakatahi
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	nld	evacueren
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	pol	ewakuować
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	por	evacuar
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	rus	эвакуи́ровать	impf	pf
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	spa	evacuar
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	swe	evakuera
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	swe	utrymma
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	tha	อพยพ
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	ukr	евакуюва́ти	impf	pf
eng	evacuate	Verb	tr	to move out of an unsafe location into safety	vie	di tản
eng	evacuation	Noun	tr	act of emptying	ara	تَخْلِيَة
eng	evacuation	Noun	tr	act of emptying	ara	تَفْرِيْغ
eng	evacuation	Noun	tr	act of emptying	cat	evacuació	f
eng	evacuation	Noun	tr	act of emptying	ces	vyprázdnění	n
eng	evacuation	Noun	tr	act of emptying	cmn	搬空	tr=bānkōng	sc=Hani
eng	evacuation	Noun	tr	act of emptying	deu	Evakuierung	f
eng	evacuation	Noun	tr	act of emptying	ell	εκκένωση	f
eng	evacuation	Noun	tr	act of emptying	fin	tyhjentäminen
eng	evacuation	Noun	tr	act of emptying	fra	évacuation	f
eng	evacuation	Noun	tr	act of emptying	hun	kiürítés
eng	evacuation	Noun	tr	act of emptying	ita	evacuamento	m
eng	evacuation	Noun	tr	act of emptying	jpn	避難	tr=hinan
eng	evacuation	Noun	tr	act of emptying	kor	철수
eng	evacuation	Noun	tr	act of emptying	nld	evacuatie	f
eng	evacuation	Noun	tr	act of emptying	nor	evakuering	m
eng	evacuation	Noun	tr	act of emptying	por	evacuação	f
eng	evacuation	Noun	tr	act of emptying	rus	опорожне́ние	n
eng	evacuation	Noun	tr	act of emptying	spa	evacuación	f
eng	evacuation	Noun	tr	act of evacuating; leaving a place in an orderly fashion, especially for safety.	ara	إجْلَاء
eng	evacuation	Noun	tr	act of evacuating; leaving a place in an orderly fashion, especially for safety.	nob	evakuering	f
eng	evacuation	Noun	tr	act of leaving a place for protection	ara	إخْلَاء	m
eng	evacuation	Noun	tr	act of leaving a place for protection	cat	evacuació	f
eng	evacuation	Noun	tr	act of leaving a place for protection	ces	evakuace
eng	evacuation	Noun	tr	act of leaving a place for protection	cmn	后送	tr=hòusòng	sc=Hani
eng	evacuation	Noun	tr	act of leaving a place for protection	cmn	後送	sc=Hani
eng	evacuation	Noun	tr	act of leaving a place for protection	cmn	撤离	tr=chèlí	sc=Hani
eng	evacuation	Noun	tr	act of leaving a place for protection	cmn	撤離	sc=Hani
