	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	gearbox	Noun	tr	train of gears	aze	ötürmələr qutusu
eng	gearbox	Noun	tr	train of gears	aze	sürətlər qutusu
eng	gearbox	Noun	tr	train of gears	bul	скоростна кутия	f	sc=Cyrl
eng	gearbox	Noun	tr	train of gears	ces	převodovka	f
eng	gearbox	Noun	tr	train of gears	cmn	变速器	tr=biànsùqì	sc=Hani
eng	gearbox	Noun	tr	train of gears	cmn	變速器	sc=Hani
eng	gearbox	Noun	tr	train of gears	dan	gearkasse	c
eng	gearbox	Noun	tr	train of gears	deu	Getriebe	n
eng	gearbox	Noun	tr	train of gears	ell	κιβώτιο ταχυτήτων	n
eng	gearbox	Noun	tr	train of gears	epo	rapidumujo
eng	gearbox	Noun	tr	train of gears	fao	gervikassi
eng	gearbox	Noun	tr	train of gears	fao	girkassi
eng	gearbox	Noun	tr	train of gears	fin	vaihdelaatikko
eng	gearbox	Noun	tr	train of gears	fin	vaihteisto
eng	gearbox	Noun	tr	train of gears	fra	boite de vitesse
eng	gearbox	Noun	tr	train of gears	hbs	mjenjač brzine	m
eng	gearbox	Noun	tr	train of gears	hbs	мењач брзине	m
eng	gearbox	Noun	tr	train of gears	heb	תיבת הילוכים	f	tr=tevát hilukhím
eng	gearbox	Noun	tr	train of gears	hun	sebességváltó
eng	gearbox	Noun	tr	train of gears	hun	sebváltó
eng	gearbox	Noun	tr	train of gears	hun	váltó
eng	gearbox	Noun	tr	train of gears	isl	gírkassi	m
eng	gearbox	Noun	tr	train of gears	ita	scatola del cambio
eng	gearbox	Noun	tr	train of gears	jpn	ギアボックス	tr=giabokkusu	sc=Jpan
eng	gearbox	Noun	tr	train of gears	jpn	変速機	tr=へんそくき, hensokuki	sc=Jpan
eng	gearbox	Noun	tr	train of gears	kat	გადაცემათა კოლოფი
eng	gearbox	Noun	tr	train of gears	kat	კოლოფი
eng	gearbox	Noun	tr	train of gears	kat	სიჩქარეთა კოლოფი
eng	gearbox	Noun	tr	train of gears	nld	versnellingsbak
eng	gearbox	Noun	tr	train of gears	nor	girkasse	m	f
eng	gearbox	Noun	tr	train of gears	pol	skrzynia biegów	f
eng	gearbox	Noun	tr	train of gears	por	caixa de câmbio
eng	gearbox	Noun	tr	train of gears	ron	cutie de viteze	f
eng	gearbox	Noun	tr	train of gears	rus	коро́бка переда́ч	f
eng	gearbox	Noun	tr	train of gears	rus	коро́бка переключе́ния переда́ч	f
eng	gearbox	Noun	tr	train of gears	rus	коро́бка скоросте́й	f
eng	gearbox	Noun	tr	train of gears	spa	caja de cambios	f
eng	gearbox	Noun	tr	train of gears	spa	caja de velocidades	f
eng	gearbox	Noun	tr	train of gears	swe	växellåda	c
eng	gearbox	Noun	tr	train of gears	ukr	коро́бка переда́ч	f
eng	gear change	Noun	tr	mechanism which changes gears in a car	cmn	变速杆	tr=biànsùgān
eng	gear change	Noun	tr	mechanism which changes gears in a car	cmn	變速桿
eng	gear change	Noun	tr	mechanism which changes gears in a car	fin	vaihteenvalitsin
eng	gear change	Noun	tr	mechanism which changes gears in a car	ita	cambio	m
eng	gear change	Noun	tr	mechanism which changes gears in a car	nno	girskifte	n
eng	gear change	Noun	tr	mechanism which changes gears in a car	nno	girskift	n
eng	gear change	Noun	tr	mechanism which changes gears in a car	nob	girskifte	n
eng	gear change	Noun	tr	mechanism which changes gears in a car	nob	girskift	n
eng	gear down	Verb	tr	arrangement of gears	ces	podřadit
eng	gear down	Verb	tr	arrangement of gears	ita	demoltiplicare
eng	gear lever	Noun	tr	lever used to change gears	afr	rathefboom
eng	gear lever	Noun	tr	lever used to change gears	dan	gearstang	c
eng	gear lever	Noun	tr	lever used to change gears	deu	Schalthebel	m
eng	gear lever	Noun	tr	lever used to change gears	deu	Schaltknüppel	m
eng	gear lever	Noun	tr	lever used to change gears	fao	gervisstong	f
eng	gear lever	Noun	tr	lever used to change gears	fao	girstong	f
eng	gear lever	Noun	tr	lever used to change gears	fin	vaihdekeppi
eng	gear lever	Noun	tr	lever used to change gears	fra	levier de vitesses	m
eng	gear lever	Noun	tr	lever used to change gears	isl	gírstöng	f
eng	gear lever	Noun	tr	lever used to change gears	ita	leva del cambio
eng	gear lever	Noun	tr	lever used to change gears	nld	versnellingspook	m
eng	gear lever	Noun	tr	lever used to change gears	nno	girspak	m
eng	gear lever	Noun	tr	lever used to change gears	nno	girstang
eng	gear lever	Noun	tr	lever used to change gears	nob	girspak	m
eng	gear lever	Noun	tr	lever used to change gears	nob	girstang
