	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	go about	Verb	tr	to circulate (in)	nld	de ronde doen
eng	go about	Verb	tr	to circulate (in)	nld	rondgaan
eng	go about	Verb	tr	to circulate (in)	nld	rondlopen
eng	go about	Verb	tr	to circulate (in)	rus	циркули́ровать	n
eng	go about	Verb	tr	to tackle	deu	anpacken
eng	go about	Verb	tr	to tackle	nld	aanpakken
eng	go about	Verb	tr	to tackle	spa	abordar
eng	go about	Verb	tr	to tackle	spa	encarar
eng	go abroad	Verb	tr		cmn	出国	tr=chūguó
eng	go abroad	Verb	tr		cmn	出國
eng	go abroad	Verb	tr		fin	mennä ulkomaille
eng	go abroad	Verb	tr		fra	partir à l'étranger
eng	go abroad	Verb	tr		hun	külföldre megy/utazik
eng	go abroad	Verb	tr		jpn	出国する	tr=しゅっこくする, shukkoku suru
eng	go abroad	Verb	tr		jpn	外国へ行く	tr=がいこくへ いく, gaikoku e iku
eng	go abroad	Verb	tr		kor	출국하다
eng	go abroad	Verb	tr		kor	외국에 가다
eng	go abroad	Verb	tr		vie	đi ra nước ngoài
eng	goad	Noun	tr	pointed stick used to prod animals	ara	مَنْخَس
eng	goad	Noun	tr	pointed stick used to prod animals	arc	זקתא	m
eng	goad	Noun	tr	pointed stick used to prod animals	bel	страка́ла	n
eng	goad	Noun	tr	pointed stick used to prod animals	bul	копраля	f
eng	goad	Noun	tr	pointed stick used to prod animals	bul	остен	m
eng	goad	Noun	tr	pointed stick used to prod animals	cat	agullada	f
eng	goad	Noun	tr	pointed stick used to prod animals	cat	gullada	f
eng	goad	Noun	tr	pointed stick used to prod animals	cat	tocadora	f
eng	goad	Noun	tr	pointed stick used to prod animals	chu	стрѣкало	n
eng	goad	Noun	tr	pointed stick used to prod animals	ckb	نەقیزە
eng	goad	Noun	tr	pointed stick used to prod animals	csb	òsce
eng	goad	Noun	tr	pointed stick used to prod animals	deu	Stachelstock	m
eng	goad	Noun	tr	pointed stick used to prod animals	ell	βουκέντρα	f
eng	goad	Noun	tr	pointed stick used to prod animals	fas	سک	tr=sok
eng	goad	Noun	tr	pointed stick used to prod animals	fin	tutkain
eng	goad	Noun	tr	pointed stick used to prod animals	fra	aiguillon	m
eng	goad	Noun	tr	pointed stick used to prod animals	gla	brod	m
eng	goad	Noun	tr	pointed stick used to prod animals	gle	brod	m
eng	goad	Noun	tr	pointed stick used to prod animals	glg	aguillada	f
eng	goad	Noun	tr	pointed stick used to prod animals	glg	aguillón	m
eng	goad	Noun	tr	pointed stick used to prod animals	grc	κέντρον	n
eng	goad	Noun	tr	pointed stick used to prod animals	hbs	badalo
eng	goad	Noun	tr	pointed stick used to prod animals	heb	מַלְמַד	tr=malmád
eng	goad	Noun	tr	pointed stick used to prod animals	hun	ösztöke
eng	goad	Noun	tr	pointed stick used to prod animals	ido	pikobastono
eng	goad	Noun	tr	pointed stick used to prod animals	ind	gancu
eng	goad	Noun	tr	pointed stick used to prod animals	ita	pungolo	m
eng	goad	Noun	tr	pointed stick used to prod animals	jav	gancu
eng	goad	Noun	tr	pointed stick used to prod animals	kmr	misas
eng	goad	Noun	tr	pointed stick used to prod animals	lat	stimulus
eng	goad	Noun	tr	pointed stick used to prod animals	mkd	остен	m
eng	goad	Noun	tr	pointed stick used to prod animals	msa	angkus
eng	goad	Noun	tr	pointed stick used to prod animals	nld	staak	m
eng	goad	Noun	tr	pointed stick used to prod animals	pol	oścień	m
eng	goad	Noun	tr	pointed stick used to prod animals	ron	strămurare
eng	goad	Noun	tr	pointed stick used to prod animals	rup	strimburari	f
eng	goad	Noun	tr	pointed stick used to prod animals	rus	прут	m
eng	goad	Noun	tr	pointed stick used to prod animals	rus	стрека́ло	n
eng	goad	Noun	tr	pointed stick used to prod animals	san	अष्ट्रा	f
eng	goad	Noun	tr	pointed stick used to prod animals	spa	aguijada	f
eng	goad	Noun	tr	pointed stick used to prod animals	spa	picana	f
eng	goad	Noun	tr	pointed stick used to prod animals	spa	puya	f
eng	goad	Noun	tr	pointed stick used to prod animals	tha	ปฏัก	tr=bpà-dtàk
eng	goad	Noun	tr	pointed stick used to prod animals	tha	ประตัก	tr=bprà-dtàk
eng	goad	Noun	tr	pointed stick used to prod animals	tur	üvendire
eng	goad	Noun	tr	pointed stick used to prod animals	ukr	стрека́ло	n
eng	goad	Noun	tr	pointed stick used to prod animals	ukr	стріка́ло	n
eng	goad	Noun	tr	pointed stick used to prod animals	urd	آنکس	tr=ānkas
eng	goad	Noun	tr	pointed stick used to prod animals	xcl	գաւազան
eng	goad	Verb	tr	to encourage or stimulate	bul	подтиквам
eng	goad	Verb	tr	to encourage or stimulate	deu	anspornen
eng	goad	Verb	tr	to encourage or stimulate	deu	anstacheln
eng	goad	Verb	tr	to encourage or stimulate	ell	ενθαρρύνω
eng	goad	Verb	tr	to encourage or stimulate	ell	παροτρύνω
eng	goad	Verb	tr	to encourage or stimulate	fin	kannustaa
eng	goad	Verb	tr	to encourage or stimulate	glg	afalar
eng	goad	Verb	tr	to encourage or stimulate	hbs	podbosti
eng	goad	Verb	tr	to encourage or stimulate	nld	aanmoedigen
eng	goad	Verb	tr	to encourage or stimulate	nld	stimuleren
eng	goad	Verb	tr	to encourage or stimulate	ron	îndemna
eng	goad	Verb	tr	to encourage or stimulate	rus	подгоня́ть
eng	goad	Verb	tr	to encourage or stimulate	swe	sporra
eng	goad	Verb	tr	to incite or provoke	bul	подстрекавам
eng	goad	Verb	tr	to incite or provoke	bul	поощрявам
eng	goad	Verb	tr	to incite or provoke	deu	anstacheln
eng	goad	Verb	tr	to incite or provoke	deu	anstacheln
eng	goad	Verb	tr	to incite or provoke	deu	antreiben
eng	goad	Verb	tr	to incite or provoke	deu	aufreizen
eng	goad	Verb	tr	to incite or provoke	deu	reizen
eng	goad	Verb	tr	to incite or provoke	ell	κεντώ
eng	goad	Verb	tr	to incite or provoke	fin	yllyttää
eng	goad	Verb	tr	to incite or provoke	fra	provoquer
eng	goad	Verb	tr	to incite or provoke	gle	broid
eng	goad	Verb	tr	to incite or provoke	gle	griog
eng	goad	Verb	tr	to incite or provoke	gle	prioc
eng	goad	Verb	tr	to incite or provoke	gle	saighid
eng	goad	Verb	tr	to incite or provoke	hbs	podbosti
eng	goad	Verb	tr	to incite or provoke	hun	felbujt
eng	goad	Verb	tr	to incite or provoke	hun	felpiszkál
eng	goad	Verb	tr	to incite or provoke	hun	ösztökél
eng	goad	Verb	tr	to incite or provoke	mri	whakaongaonga
eng	goad	Verb	tr	to incite or provoke	nld	aanporren
eng	goad	Verb	tr	to incite or provoke	nld	aansporen
eng	goad	Verb	tr	to incite or provoke	nld	aanzetten
eng	goad	Verb	tr	to incite or provoke	nld	provoceren
eng	goad	Verb	tr	to incite or provoke	pol	podpuszczać
eng	goad	Verb	tr	to incite or provoke	pol	prowadzić
eng	goad	Verb	tr	to incite or provoke	pol	wodzić
eng	goad	Verb	tr	to incite or provoke	rus	подгоня́ть
eng	goad	Verb	tr	to incite or provoke	rus	подстрека́ть
eng	goad	Verb	tr	to incite or provoke	rus	подстрека́ть
eng	goad	Verb	tr	to incite or provoke	rus	поощря́ть
eng	goad	Verb	tr	to incite or provoke	swe	egga
eng	goad	Verb	tr	to prod with a goad	deu	anstacheln
eng	goad	Verb	tr	to prod with a goad	deu	antreiben
eng	goad	Verb	tr	to prod with a goad	ell	κεντώ
eng	goad	Verb	tr	to prod with a goad	fra	aiguillonner
eng	goad	Verb	tr	to prod with a goad	glg	aferretar
eng	goad	Verb	tr	to prod with a goad	glg	aguillar
eng	goad	Verb	tr	to prod with a goad	glg	aguilloar
eng	goad	Verb	tr	to prod with a goad	grc	κεντέω
eng	goad	Verb	tr	to prod with a goad	hbs	podbosti
eng	goad	Verb	tr	to prod with a goad	lat	stimulāre
eng	goad	Verb	tr	to prod with a goad	mkd	подбуцне	pf
eng	goad	Verb	tr	to prod with a goad	nld	prikkelen
eng	goad	Verb	tr	to prod with a goad	pol	prowadzić
eng	goad	Verb	tr	to prod with a goad	rus	подгоня́ть
eng	goaf	Noun	tr	waste	fin	sivukivi
eng	go after	Verb	tr	to pursue an object or goal	fas	دنبال کردن	tr=donbâl kardan
eng	go after	Verb	tr	to pursue an object or goal	fin	seurata
eng	go after	Verb	tr	to pursue an object or goal	fin	tavoitella
eng	go after	Verb	tr	to pursue an object or goal	hin	पीछे जाना
eng	go after	Verb	tr	to pursue an object or goal	hin	पीछे पड़ जाना
eng	go after	Verb	tr	to pursue an object or goal	hin	पीछे पड़ना
eng	go after	Verb	tr	to pursue an object or goal	ita	dare la caccia
eng	go after	Verb	tr	to pursue an object or goal	rus	преследовать	impf
eng	go after	Verb	tr	to pursue in attempt to catch	fas	تعقیب کردن	tr=ta'qib kardan
eng	go after	Verb	tr	to pursue in attempt to catch	fas	دنبال کردن	tr=donbâl kardan
eng	go after	Verb	tr	to pursue in attempt to catch	fin	ajaa takaa
eng	go after	Verb	tr	to pursue in attempt to catch	hin	पीछे जाना
eng	go after	Verb	tr	to pursue in attempt to catch	hin	पीछे पड़ जाना
eng	go after	Verb	tr	to pursue in attempt to catch	hin	पीछे पड़ना
eng	go after	Verb	tr	to pursue in attempt to catch	ita	dare la caccia
eng	go after	Verb	tr	to pursue in attempt to catch	nob	forfølge
eng	go after	Verb	tr	to pursue in attempt to catch	nob	gå etter
eng	go after	Verb	tr	to pursue in attempt to catch	rus	ловить	impf
eng	go after	Verb	tr	to pursue in attempt to catch	rus	преследовать	impf
eng	go after	Verb	tr	to pursue in attempt to catch	tur	kovalamak
eng	go against the grain	Verb	tr	to defy convention	cmn	顛覆傳統
eng	go against the grain	Verb	tr	to defy convention	cmn	颠覆传统	tr=diānfù chuántǒng
eng	go against the grain	Verb	tr	to defy convention	fin	olla epätavallinen
eng	go against the grain	Verb	tr	to defy convention	pol	iść pod prąd
eng	go against the grain	Verb	tr	to defy convention	spa	a contracorriente
eng	go against	Verb	tr	to be contrary to a trend, feeling	fin	olla vastoin
eng	go against	Verb	tr	to be contrary to a trend, feeling	spa	ir en contra de
eng	go against	Verb	tr	to be unfavourable to someone	fin	olla vastaan
eng	go against	Verb	tr	to be unfavourable to someone	spa	ir en contra de
eng	go against	Verb	tr	to oppose; resist	fin	vastustaa
eng	go against	Verb	tr	to oppose; resist	grc	ἐπέρχομαι
eng	go against	Verb	tr	to oppose; resist	spa	in en contra de
eng	go against	Verb	tr	to violate; breach	fin	rikkoa
eng	go against	Verb	tr	to violate; breach	spa	ir en contra de
eng	go-ahead	Adjective	tr	Progressive; exerting leadership	bul	напредничав
eng	go ahead	Verb	tr	grant permission (imperative)	cmn	請便	sc=Hani
eng	go ahead	Verb	tr	grant permission (imperative)	cmn	请便	tr=qǐngbiàn	sc=Hani
eng	go ahead	Verb	tr	grant permission (imperative)	deu	bitte
eng	go ahead	Verb	tr	grant permission (imperative)	deu	los
eng	go ahead	Verb	tr	grant permission (imperative)	deu	na los
eng	go ahead	Verb	tr	grant permission (imperative)	deu	nur zu
eng	go ahead	Verb	tr	grant permission (imperative)	est	edasi minema
eng	go ahead	Verb	tr	grant permission (imperative)	fin	aloittaa
eng	go ahead	Verb	tr	grant permission (imperative)	fra	allez-y
eng	go ahead	Verb	tr	grant permission (imperative)	fra	vas-y
eng	go ahead	Verb	tr	grant permission (imperative)	gla	siuthad
eng	go ahead	Verb	tr	grant permission (imperative)	hun	elkezd
eng	go ahead	Verb	tr	grant permission (imperative)	hun	hozzáfog
eng	go ahead	Verb	tr	grant permission (imperative)	hun	hozzákezd
eng	go ahead	Verb	tr	grant permission (imperative)	hun	hozzálát
eng	go ahead	Verb	tr	grant permission (imperative)	hun	nekilát
eng	go ahead	Verb	tr	grant permission (imperative)	hun	ne zavartasd magad
eng	go ahead	Verb	tr	grant permission (imperative)	hun	ne zavartassa magát
eng	go ahead	Verb	tr	grant permission (imperative)	hun	rajta
eng	go ahead	Verb	tr	grant permission (imperative)	hun	tessék
eng	go ahead	Verb	tr	grant permission (imperative)	ita	vai
eng	go ahead	Verb	tr	grant permission (imperative)	jpn	どうぞお先に	tr=どうぞおさきに, dōzo o-saki ni
eng	go ahead	Verb	tr	grant permission (imperative)	lat	licet
eng	go ahead	Verb	tr	grant permission (imperative)	mlg	alefa
eng	go ahead	Verb	tr	grant permission (imperative)	nav	hágoshį́į́
eng	go ahead	Verb	tr	grant permission (imperative)	pol	śmiało
eng	go ahead	Verb	tr	grant permission (imperative)	pol	zacząć
eng	go ahead	Verb	tr	grant permission (imperative)	por	vai em frente
eng	go ahead	Verb	tr	grant permission (imperative)	rus	валя́й
eng	go ahead	Verb	tr	grant permission (imperative)	rus	дава́й
eng	go ahead	Verb	tr	grant permission (imperative)	rus	пожа́луйста
eng	go ahead	Verb	tr	grant permission (imperative)	rus	приступа́йте
eng	go ahead	Verb	tr	grant permission (imperative)	spa	adelante
eng	go ahead	Verb	tr	grant permission (imperative)	spa	pase	alt=¡pase!
eng	go ahead	Verb	tr	grant permission (imperative)	spa	siga
eng	go ahead	Verb	tr	grant permission (imperative)	spa	sigue
eng	go ahead	Verb	tr	grant permission (imperative)	yid	געזונטערהייט
eng	go ahead	Verb	tr	proceed	ita	andare avanti
eng	go ahead	Verb	tr	proceed	ita	procedere
eng	goal area	Noun	tr	ice hockey: semicircle in front of the goal	cat	àrea de porteria	f
eng	goal area	Noun	tr	ice hockey: semicircle in front of the goal	ces	brankoviště	n
eng	goal area	Noun	tr	ice hockey: semicircle in front of the goal	fin	maalialue
eng	goal area	Noun	tr	soccer: area of the pitch closest to goal	cat	àrea de meta	f
eng	goal area	Noun	tr	soccer: area of the pitch closest to goal	ces	brankové území	n
eng	goal area	Noun	tr	soccer: area of the pitch closest to goal	ces	malé vápno	n
eng	goal area	Noun	tr	soccer: area of the pitch closest to goal	fin	maalialue
eng	goal area	Noun	tr	soccer: area of the pitch closest to goal	swe	målområde	n
eng	goal average	Noun	tr	ratio of the numbers of goals scored for and against a team in a series of matches	cat	mitjana de gols	f
eng	goal average	Noun	tr	ratio of the numbers of goals scored for and against a team in a series of matches	spa	golaveraje	m
eng	goalball	Noun	tr	ball game	cmn	盲人門球
eng	goalball	Noun	tr	ball game	cmn	盲人门球	tr=mángrén ménqiú
eng	goalball	Noun	tr	ball game	dan	goalball
eng	goalball	Noun	tr	ball game	fin	maalipallo
eng	goalball	Noun	tr	ball game	fra	goalball	m
eng	goalball	Noun	tr	ball game	hun	csörgőlabda
eng	goal difference	Noun	tr	difference between the number of goals scored and the number of goals conceded	dan	måldifference	c
eng	goal difference	Noun	tr	difference between the number of goals scored and the number of goals conceded	dan	målforskel	c
eng	goal difference	Noun	tr	difference between the number of goals scored and the number of goals conceded	hun	gólkülönbség
eng	goal difference	Noun	tr	difference between the number of goals scored and the number of goals conceded	nld	doelsaldo	n
eng	goal difference	Noun	tr	difference between the number of goals scored and the number of goals conceded	vie	hiệu số bàn thắng thua
eng	goalframe	Noun	tr	in sports, the structure of the goal	fra	cadre	m
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	bul	вратар	m
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	deu	Goalie	m
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	deu	Goali	m
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	epo	golulo
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	fin	molari
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	fin	veräjänvartija
eng	goalie	Noun	tr	colloquial form of goalkeeper or goaltender	fin	veska
