	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	grabble	Verb	tr	to grope	bul	търся пипнешком
eng	grabble	Verb	tr	to grope	mri	hārau
eng	grabble	Verb	tr	to grope	mri	whāwhā
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	deu	Graben	m
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	fin	vajoama
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	jpn	地溝	tr=ちこう, chikō	sc=Jpan
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	nld	slenk	m	f
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	por	graben	m
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	rus	гра́бен	m
eng	graben	Noun	tr	elongated block of the Earth's crust that has dropped relative to the surrounding blocks	vie	địa hào
eng	grab iron	Noun	tr		fra	main montoire	f
eng	grab	Noun	tr	a mechanical device that grabs	bul	екскаватор	m	sc=Cyrl
eng	grab	Noun	tr	a mechanical device that grabs	cat	agafador	m
eng	grab	Noun	tr	a mechanical device that grabs	deu	Greifer	m
eng	grab	Noun	tr	a mechanical device that grabs	fin	koura
eng	grab	Noun	tr	a mechanical device that grabs	hun	markológép
eng	grab	Noun	tr	a mechanical device that grabs	ita	benna	f
eng	grab	Noun	tr	a mechanical device that grabs	ita	calamita	f
eng	grab	Noun	tr	a mechanical device that grabs	ita	ruspa	f
eng	grab	Noun	tr	a mechanical device that grabs	pol	chwytak	m
eng	grab	Noun	tr	a mechanical device that grabs	por	agarrador	m
eng	grab	Noun	tr	a mechanical device that grabs	rus	захва́т	m
eng	grab	Noun	tr	a mechanical device that grabs	sqi	kapëse
eng	grab	Noun	tr	the act of grabbing something or someone	aze	zəbt
eng	grab	Noun	tr	the act of grabbing something or someone	bul	сграбчване	n	sc=Cyrl
eng	grab	Noun	tr	the act of grabbing something or someone	bul	хващане	n	sc=Cyrl
eng	grab	Noun	tr	the act of grabbing something or someone	cat	agafament	m
eng	grab	Noun	tr	the act of grabbing something or someone	fin	tarttuminen
eng	grab	Noun	tr	the act of grabbing something or someone	hun	megfogás
eng	grab	Noun	tr	the act of grabbing something or someone	hun	megragadás
eng	grab	Noun	tr	the act of grabbing something or someone	ita	accaparramento	m
eng	grab	Noun	tr	the act of grabbing something or someone	ita	appiglio	m
eng	grab	Noun	tr	the act of grabbing something or someone	ita	presa	f
eng	grab	Noun	tr	the act of grabbing something or someone	por	agarramento	m
eng	grab	Noun	tr	the act of grabbing something or someone	rus	захва́т	m
eng	grab	Noun	tr	the act of grabbing something or someone	sqi	kapje
eng	grab	Noun	tr	the act of grabbing something or someone	ukr	захва́т
eng	grab	Noun	tr	the act of grabbing something or someone	ukr	захо́плення
eng	grabrail	Noun	tr	handrail	fra	main courante
eng	grab	Verb	tr	to grip the attention; to enthrall	bul	завладявам	sc=Cyrl
eng	grab	Verb	tr	to grip the attention; to enthrall	fin	vangita
eng	grab	Verb	tr	to grip the attention; to enthrall	ita	attirare
eng	grab	Verb	tr	to grip the attention; to enthrall	ita	avvincere
eng	grab	Verb	tr	to grip the attention; to enthrall	ita	catturare
eng	grab	Verb	tr	to grip the attention; to enthrall	ita	interessare
eng	grab	Verb	tr	to grip the attention; to enthrall	rus	захва́тывать (внимание)	impf
eng	grab	Verb	tr	to grip the attention; to enthrall	sqi	kap
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ara	قَبَضَ
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ben	ধরা	sc=Beng
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	bul	сграбчвам	sc=Cyrl
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ces	chytit
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ces	uchopit
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	cmn	抓住	tr=zhuāzhù	sc=Hani
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	deu	greifen
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	epo	ekkapti
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	fas	گرفتن	tr=gereftan	sc=fa-Arab
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	fin	tarrata
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	fin	tarttua
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	fra	attraper
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	fra	empoigner
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	frr	gripe
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ita	afferrare
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ita	agguantare
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	ita	arraffare
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	jpn	掴む	tr=つかむ, tsukamu	sc=Jpan
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	kmr	girtin
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	lat	capio
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	lat	prehendo
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	lat	sumo
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	mri	mamau
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	mwl	agarrar
eng	grab	Verb	tr	to make a sudden grasping or clutching motion (at something)	nld	grijpen
