	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	hp	Noun	tr	horsepower	cat	CV	m
eng	hp	Noun	tr	horsepower	ces	ks
eng	hp	Noun	tr	horsepower	dan	hk
eng	hp	Noun	tr	horsepower	deu	PS
eng	hp	Noun	tr	horsepower	est	hj
eng	hp	Noun	tr	horsepower	fin	hv
eng	hp	Noun	tr	horsepower	fra	ch
eng	hp	Noun	tr	horsepower	hbs	KS
eng	hp	Noun	tr	horsepower	hun	LE
eng	hp	Noun	tr	horsepower	ita	CV
eng	hp	Noun	tr	horsepower	mkd	КС
eng	hp	Noun	tr	horsepower	nld	pk
eng	hp	Noun	tr	horsepower	nor	hk
eng	hp	Noun	tr	horsepower	pol	hp
eng	hp	Noun	tr	horsepower	pol	HP
eng	hp	Noun	tr	horsepower	pol	KM
eng	hp	Noun	tr	horsepower	por	CV
eng	hp	Noun	tr	horsepower	ron	CP
eng	hp	Noun	tr	horsepower	rus	л.с.	f
eng	hp	Noun	tr	horsepower	slk	KM
eng	hp	Noun	tr	horsepower	slk	ks
eng	hp	Noun	tr	horsepower	spa	CV	m
eng	hp	Noun	tr	horsepower	swe	hk
