	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	háček	Noun	tr	háček diacritic	ara	كَارُون	m
eng	háček	Noun	tr	háček diacritic	ara	كَارُون	m	tr=karon
eng	háček	Noun	tr	háček diacritic	ces	háček	m
eng	háček	Noun	tr	háček diacritic	cmn	倒折音符	tr=dǎozhéyīnfú	sc=Hani
eng	háček	Noun	tr	háček diacritic	cmn	扬抑符	tr=yángyìfú	sc=Hani
eng	háček	Noun	tr	háček diacritic	cmn	揚抑符	sc=Hani
eng	háček	Noun	tr	háček diacritic	deu	Caron	n
eng	háček	Noun	tr	háček diacritic	deu	Hatschek	m
eng	háček	Noun	tr	háček diacritic	deu	Krönchen	n
eng	háček	Noun	tr	háček diacritic	epo	haĉeko
eng	háček	Noun	tr	háček diacritic	est	katus
eng	háček	Noun	tr	háček diacritic	fin	hattu
eng	háček	Noun	tr	háček diacritic	fra	accent hirondelle	m
eng	háček	Noun	tr	háček diacritic	fra	caron	m
eng	háček	Noun	tr	háček diacritic	fra	chevron	m
eng	háček	Noun	tr	háček diacritic	fra	háček	m
eng	háček	Noun	tr	háček diacritic	fra	hatchek	m
eng	háček	Noun	tr	háček diacritic	hbs	kvačica	f
eng	háček	Noun	tr	háček diacritic	hbs	kvȁka	f
eng	háček	Noun	tr	háček diacritic	hbs	ква̏ка	f	sc=Cyrl
eng	háček	Noun	tr	háček diacritic	hbs	квачица	f	sc=Cyrl
eng	háček	Noun	tr	háček diacritic	hun	fordított kalap
eng	háček	Noun	tr	háček diacritic	hun	hacsek
eng	háček	Noun	tr	háček diacritic	hun	pipa
eng	háček	Noun	tr	háček diacritic	isl	kría	f
eng	háček	Noun	tr	háček diacritic	ita	antiflesso	m
eng	háček	Noun	tr	háček diacritic	ita	caron	m
eng	háček	Noun	tr	háček diacritic	ita	chevron	m
eng	háček	Noun	tr	háček diacritic	ita	gancetto	m
eng	háček	Noun	tr	háček diacritic	ita	hatchek	m
eng	háček	Noun	tr	háček diacritic	ita	pipa	f
eng	háček	Noun	tr	háček diacritic	ita	segno diacritico	m
eng	háček	Noun	tr	háček diacritic	jpn	ハーチェク	tr=hācheku
eng	háček	Noun	tr	háček diacritic	lit	paukščiukas
eng	háček	Noun	tr	háček diacritic	lkt	ičášleče
eng	háček	Noun	tr	háček diacritic	mal	മീതൽ
eng	háček	Noun	tr	háček diacritic	nld	háček	c
eng	háček	Noun	tr	háček diacritic	pol	haczyk	m
eng	háček	Noun	tr	háček diacritic	por	caron	m
eng	háček	Noun	tr	háček diacritic	rus	га́чек	m
eng	háček	Noun	tr	háček diacritic	rus	га́чка	f
eng	háček	Noun	tr	háček diacritic	slk	mäkčeň	m
eng	háček	Noun	tr	háček diacritic	slv	kljukica	f
eng	háček	Noun	tr	háček diacritic	slv	strešica	f
eng	háček	Noun	tr	háček diacritic	spa	carón	m
eng	háček	Noun	tr	háček diacritic	spa	háček	m
eng	háček	Noun	tr	háček diacritic	swe	hake	c
eng	háček	Noun	tr	háček diacritic	ukr	га́чек	m	sc=Cyrl
eng	háček	Noun	tr	háček diacritic	vec	pipa	f
eng	háček	Noun	tr	háček diacritic	win	wookanak
eng	hárslevelű	Noun	tr	variety of grape	hun	hárslevelű
eng	hárslevelű	Noun	tr	variety of wine	hun	hárslevelű
