	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	idd	Adverb	tr		nld	idd
eng	ideal	Adjective	tr	at infinity	fas	غایی	tr=ğâyi
eng	ideal	Adjective	tr	being optimal	afr	ideaal
eng	ideal	Adjective	tr	being optimal	afr	voorbeeldig
eng	ideal	Adjective	tr	being optimal	ara	مِثَالِيّ
eng	ideal	Adjective	tr	being optimal	ast	ideal
eng	ideal	Adjective	tr	being optimal	bel	ідэа́льны
eng	ideal	Adjective	tr	being optimal	bul	идеален
eng	ideal	Adjective	tr	being optimal	cat	ideal
eng	ideal	Adjective	tr	being optimal	ces	ideální
eng	ideal	Adjective	tr	being optimal	cmn	理想	tr=lǐxiǎng de	alt=理想的
eng	ideal	Adjective	tr	being optimal	deu	ideal
eng	ideal	Adjective	tr	being optimal	epo	ideala
eng	ideal	Adjective	tr	being optimal	fas	آرمانی	tr=ârmâni
eng	ideal	Adjective	tr	being optimal	fas	ایده‌آل	tr=ide-âl
eng	ideal	Adjective	tr	being optimal	fin	ideaali	alt=ideaali-
eng	ideal	Adjective	tr	being optimal	fin	ideaalinen
eng	ideal	Adjective	tr	being optimal	fin	ihanteellinen
eng	ideal	Adjective	tr	being optimal	fin	optimaalinen
eng	ideal	Adjective	tr	being optimal	fra	idéal
eng	ideal	Adjective	tr	being optimal	gle	idéalach
eng	ideal	Adjective	tr	being optimal	glg	ideal
eng	ideal	Adjective	tr	being optimal	hin	आइड़ियल
eng	ideal	Adjective	tr	being optimal	hin	आदर्श
eng	ideal	Adjective	tr	being optimal	hin	श्रेष्ठ
eng	ideal	Adjective	tr	being optimal	hun	ideális
eng	ideal	Adjective	tr	being optimal	ido	ideala
eng	ideal	Adjective	tr	being optimal	ita	ideale
eng	ideal	Adjective	tr	being optimal	jpn	理想	tr=りそうな, risō na	alt=理想な
eng	ideal	Adjective	tr	being optimal	jpn	理想的	tr=りそうてきな, risōteki na	alt=理想的な
eng	ideal	Adjective	tr	being optimal	lav	ideāls
eng	ideal	Adjective	tr	being optimal	ltz	ideal
eng	ideal	Adjective	tr	being optimal	nld	ideaal
eng	ideal	Adjective	tr	being optimal	nld	optimaal
eng	ideal	Adjective	tr	being optimal	nrf	idéal
eng	ideal	Adjective	tr	being optimal	pol	idealny	m
eng	ideal	Adjective	tr	being optimal	por	ideal
eng	ideal	Adjective	tr	being optimal	rus	идеа́льный
eng	ideal	Adjective	tr	being optimal	slv	idealen
eng	ideal	Adjective	tr	being optimal	spa	ideal
eng	ideal	Adjective	tr	being optimal	tel	ఆదర్శ
eng	ideal	Adjective	tr	being optimal	ukr	ідеа́льний
eng	ideal	Adjective	tr	being perfect	afr	ideaal
eng	ideal	Adjective	tr	being perfect	ast	ideal
eng	ideal	Adjective	tr	being perfect	bel	ідэа́льны
eng	ideal	Adjective	tr	being perfect	bul	съвършен
eng	ideal	Adjective	tr	being perfect	cat	ideal
eng	ideal	Adjective	tr	being perfect	ces	ideální
eng	ideal	Adjective	tr	being perfect	deu	ideal
eng	ideal	Adjective	tr	being perfect	ell	ιδανικός
eng	ideal	Adjective	tr	being perfect	epo	ideala
eng	ideal	Adjective	tr	being perfect	fas	درست	tr=dorost
eng	ideal	Adjective	tr	being perfect	fas	فربود	tr=farbud
eng	ideal	Adjective	tr	being perfect	fas	کامل	tr=kâmel
eng	ideal	Adjective	tr	being perfect	fin	ideaalinen
eng	ideal	Adjective	tr	being perfect	fin	ihanteellinen
eng	ideal	Adjective	tr	being perfect	fra	idéal
eng	ideal	Adjective	tr	being perfect	fra	parfait
eng	ideal	Adjective	tr	being perfect	gle	idéalach
eng	ideal	Adjective	tr	being perfect	glg	ideal	m	f
eng	ideal	Adjective	tr	being perfect	hin	आइड़ियल
eng	ideal	Adjective	tr	being perfect	hin	आदर्श
eng	ideal	Adjective	tr	being perfect	hin	श्रेष्ठ
eng	ideal	Adjective	tr	being perfect	hun	eszményi
eng	ideal	Adjective	tr	being perfect	hun	tökéletes
eng	ideal	Adjective	tr	being perfect	ido	ideala
eng	ideal	Adjective	tr	being perfect	mri	paruhi
