	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ikebana	Noun	tr	Japanese art of flower arrangement	ara	إِيكِيبَانَا	f	tr=ʾikibānā
eng	ikebana	Noun	tr	Japanese art of flower arrangement	bul	икеба́на	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	cmn	插花	tr=chāhuā
eng	ikebana	Noun	tr	Japanese art of flower arrangement	cmn	花道	tr=huādào
eng	ikebana	Noun	tr	Japanese art of flower arrangement	deu	Ikebana	n
eng	ikebana	Noun	tr	Japanese art of flower arrangement	ell	ικεμπάνα	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	fin	ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	fra	ikebana	m
eng	ikebana	Noun	tr	Japanese art of flower arrangement	hbs	ikebàna	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	hbs	икеба̀на	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	heb	אִיקֶבָנַה	f	tr=ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	ind	ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	ita	ikebana	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	jpn	フラワーアレンジメント	tr=furawā arenjimento
eng	ikebana	Noun	tr	Japanese art of flower arrangement	jpn	生け花	tr=いけばな, ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	jpn	生花	tr=せいか, seika, いけばな, ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	jpn	花道	tr=かどう, kadō
eng	ikebana	Noun	tr	Japanese art of flower arrangement	jpn	華道	tr=かどう, kadō
eng	ikebana	Noun	tr	Japanese art of flower arrangement	kat	იკებანა
eng	ikebana	Noun	tr	Japanese art of flower arrangement	kor	꽃꽂이
eng	ikebana	Noun	tr	Japanese art of flower arrangement	kor	이케바나
eng	ikebana	Noun	tr	Japanese art of flower arrangement	msa	ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	pol	ikebana	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	por	iquebana	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	rus	икеба́на	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	rus	икэба́на	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	spa	ikebana	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	tur	ikebana
eng	ikebana	Noun	tr	Japanese art of flower arrangement	ukr	ікеба́на	f
eng	ikebana	Noun	tr	Japanese art of flower arrangement	vie	ikebana
eng	ikra	Noun	tr	red caviar	bel	ікра́	f
eng	ikra	Noun	tr	red caviar	bel	чырво́ная ікра́	f	sc=Cyrl
eng	ikra	Noun	tr	red caviar	cmn	紅魚子醬	sc=Hani
eng	ikra	Noun	tr	red caviar	cmn	红鱼子酱	tr=hóngyúzǐjiàng	sc=Hani
eng	ikra	Noun	tr	red caviar	hbs	ikra	f
eng	ikra	Noun	tr	red caviar	hbs	икра	f	sc=Cyrl
eng	ikra	Noun	tr	red caviar	hun	ikra
eng	ikra	Noun	tr	red caviar	jpn	イクラ	tr=ikura
eng	ikra	Noun	tr	red caviar	kor	이크라
eng	ikra	Noun	tr	red caviar	pol	ikra	f
eng	ikra	Noun	tr	red caviar	rus	икра́	f
eng	ikra	Noun	tr	red caviar	rus	кра́сная икра́	f
eng	ikra	Noun	tr	red caviar	swe	kaviar	c
eng	ikra	Noun	tr	red caviar	swe	rysk kaviar	c
eng	ikra	Noun	tr	red caviar	ukr	ікра́	f
eng	ikra	Noun	tr	red caviar	ukr	черво́на ікра́	f	sc=Cyrl
eng	ikra	Noun	tr	red caviar	yue	三文魚子	sc=Hani
eng	ikra	Noun	tr	red caviar	yue	三文魚籽	sc=Hani
eng	ikra	Noun	tr	red caviar	yue	三文鱼子	tr=saam1 man4 jyu4 zi2	sc=Hani
eng	iktsuarpok	Noun	tr	feeling of anticipation	iku	ᐃᒃᑦᓱᐊᕐᐳᒃ	sc=Cans
