	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	imageable	Adjective	tr		deu	abbildbar
eng	imageboard	Noun	tr	type of internet forum	deu	Imageboard	n
eng	imageboard	Noun	tr	type of internet forum	fin	kuvalauta
eng	imageboard	Noun	tr	type of internet forum	jpn	画像掲示板	tr=gazō keijiban
eng	imageboard	Noun	tr	type of internet forum	por	chan	m
eng	imageboard	Noun	tr	type of internet forum	por	imageboard	m
eng	imageboard	Noun	tr	type of internet forum	rus	имиджбо́рд	m
eng	imageboard	Noun	tr	type of internet forum	rus	имиджбо́рда	f
eng	image film	Noun	tr		deu	Imagefilm	m
eng	image film	Noun	tr		hun	imázsfilm
eng	image macro	Noun	tr		fin	kuvamakro
eng	image matting	Noun	tr	extraction of a foreground object	cmn	抠图	tr=kōutú
eng	image matting	Noun	tr	extraction of a foreground object	cmn	摳圖
eng	image	Noun	tr	characteristic as perceived by others	ara	صُورَةَ	f
eng	image	Noun	tr	characteristic as perceived by others	bel	аблі́чча	n
eng	image	Noun	tr	characteristic as perceived by others	bel	во́браз	m
eng	image	Noun	tr	characteristic as perceived by others	bel	і́мідж	m
eng	image	Noun	tr	characteristic as perceived by others	ces	image
eng	image	Noun	tr	characteristic as perceived by others	cmn	印象	tr=yìnxiàng	sc=Hani
eng	image	Noun	tr	characteristic as perceived by others	cmn	形像	tr=xíngxiàng
eng	image	Noun	tr	characteristic as perceived by others	cmn	形象	tr=xíngxiàng
eng	image	Noun	tr	characteristic as perceived by others	deu	Erscheinungsbild	n
eng	image	Noun	tr	characteristic as perceived by others	deu	Image	n
eng	image	Noun	tr	characteristic as perceived by others	ell	εικόνα	f
eng	image	Noun	tr	characteristic as perceived by others	ell	περιωπή	f
eng	image	Noun	tr	characteristic as perceived by others	fin	imago
eng	image	Noun	tr	characteristic as perceived by others	fin	mielikuva
eng	image	Noun	tr	characteristic as perceived by others	hbs	imidž	m
eng	image	Noun	tr	characteristic as perceived by others	heb	תַּדְמִית	f	tr=tadmít
eng	image	Noun	tr	characteristic as perceived by others	hun	arculat
eng	image	Noun	tr	characteristic as perceived by others	hun	imázs
eng	image	Noun	tr	characteristic as perceived by others	hye	կերպար
eng	image	Noun	tr	characteristic as perceived by others	jpn	イメージ	tr=imēji
eng	image	Noun	tr	characteristic as perceived by others	jpn	印象	tr=inshō
eng	image	Noun	tr	characteristic as perceived by others	kat	იმიჯი	sc=Geor
eng	image	Noun	tr	characteristic as perceived by others	kor	인상
eng	image	Noun	tr	characteristic as perceived by others	kor	이미지
eng	image	Noun	tr	characteristic as perceived by others	lit	įvaizdis
eng	image	Noun	tr	characteristic as perceived by others	nld	beeld	n
eng	image	Noun	tr	characteristic as perceived by others	nld	imago	n
eng	image	Noun	tr	characteristic as perceived by others	por	imagem	f
eng	image	Noun	tr	characteristic as perceived by others	que	rikch'ay
eng	image	Noun	tr	characteristic as perceived by others	ron	imagine	f
eng	image	Noun	tr	characteristic as perceived by others	rus	и́мидж	m
eng	image	Noun	tr	characteristic as perceived by others	rus	о́блик	m
eng	image	Noun	tr	characteristic as perceived by others	rus	о́браз	m
eng	image	Noun	tr	characteristic as perceived by others	slk	imidž	m
eng	image	Noun	tr	characteristic as perceived by others	spa	imagen	f
eng	image	Noun	tr	characteristic as perceived by others	swe	image	c
eng	image	Noun	tr	characteristic as perceived by others	tur	imaj
eng	image	Noun	tr	characteristic as perceived by others	ukr	і́мідж	m
eng	image	Noun	tr	characteristic as perceived by others	ukr	о́браз	m
eng	image	Noun	tr	computing: file	bel	выя́ва	f
eng	image	Noun	tr	computing: file	bul	изображе́ние	n
eng	image	Noun	tr	computing: file	cmn	图片	tr=túpiàn	sc=Hani
eng	image	Noun	tr	computing: file	cmn	映像	tr=yìngxiàng
eng	image	Noun	tr	computing: file	cmn	鏡像	tr=jìngxiàng
eng	image	Noun	tr	computing: file	deu	Image	n
eng	image	Noun	tr	computing: file	deu	Speicherabbild	n
eng	image	Noun	tr	computing: file	ell	εικόνα
eng	image	Noun	tr	computing: file	fin	näköistiedosto
eng	image	Noun	tr	computing: file	fin	vedos
eng	image	Noun	tr	computing: file	gle	íomhá	f
eng	image	Noun	tr	computing: file	hun	kép
eng	image	Noun	tr	computing: file	ita	immagine	f
eng	image	Noun	tr	computing: file	jpn	画像	tr=gazō
eng	image	Noun	tr	computing: file	nav	eʼelyaaígíí
eng	image	Noun	tr	computing: file	nld	beeldkopie	f
eng	image	Noun	tr	computing: file	pol	obraz	m
eng	image	Noun	tr	computing: file	por	imagem	f
eng	image	Noun	tr	computing: file	rus	изображе́ние	n
eng	image	Noun	tr	computing: file	rus	о́браз	m
eng	image	Noun	tr	computing: file	tgl	hulagway
eng	image	Noun	tr	computing: file	tur	görüntü
eng	image	Noun	tr	computing: file	ukr	о́браз	m
eng	image	Noun	tr	graphical representation	ara	صُورَة	f
eng	image	Noun	tr	graphical representation	aze	şəkil
eng	image	Noun	tr	graphical representation	bel	во́браз	m
eng	image	Noun	tr	graphical representation	bel	выя́ва	f
eng	image	Noun	tr	graphical representation	ben	ছবি
eng	image	Noun	tr	graphical representation	bre	skeudenn
eng	image	Noun	tr	graphical representation	bul	изображе́ние	n
eng	image	Noun	tr	graphical representation	bul	о́браз	m
eng	image	Noun	tr	graphical representation	cat	imatge	f
eng	image	Noun	tr	graphical representation	ces	obraz	m
eng	image	Noun	tr	graphical representation	cmn	图片	tr=túpiàn
eng	image	Noun	tr	graphical representation	cmn	圖片
eng	image	Noun	tr	graphical representation	dan	billede	n
eng	image	Noun	tr	graphical representation	deu	Abbild	n
eng	image	Noun	tr	graphical representation	deu	Bild	n
eng	image	Noun	tr	graphical representation	dsb	wobraz	m
eng	image	Noun	tr	graphical representation	ell	απείκασμα	n
eng	image	Noun	tr	graphical representation	ell	απεικόνιση	f
eng	image	Noun	tr	graphical representation	ell	εικόνα	f
eng	image	Noun	tr	graphical representation	ell	πανομοιότυπο
eng	image	Noun	tr	graphical representation	enm	ymage
eng	image	Noun	tr	graphical representation	epo	bildo
eng	image	Noun	tr	graphical representation	fao	mynd	f
eng	image	Noun	tr	graphical representation	fas	تصویر	tr=tasvir
eng	image	Noun	tr	graphical representation	fas	نگاره	tr=negâre
eng	image	Noun	tr	graphical representation	fin	kuva
eng	image	Noun	tr	graphical representation	fra	image	f
eng	image	Noun	tr	graphical representation	gla	dealbh	m	f
eng	image	Noun	tr	graphical representation	gle	íomhá	f
eng	image	Noun	tr	graphical representation	glg	imaxe	f
eng	image	Noun	tr	graphical representation	gmq-bot	roos	f
eng	image	Noun	tr	graphical representation	got	𐍆𐍂𐌹𐍃𐌰𐌷𐍄𐍃	f
eng	image	Noun	tr	graphical representation	grc	εἰκών	f
eng	image	Noun	tr	graphical representation	hat	imaj
eng	image	Noun	tr	graphical representation	hbs	slika	f
eng	image	Noun	tr	graphical representation	hbs	слика	f	sc=Cyrl
eng	image	Noun	tr	graphical representation	heb	תְּמוּנָה	f	tr=tmuná
eng	image	Noun	tr	graphical representation	hin	तस्वीर	f
eng	image	Noun	tr	graphical representation	hin	प्रतिबिम्ब	m
eng	image	Noun	tr	graphical representation	hsb	wobraz	m
eng	image	Noun	tr	graphical representation	hun	kép
eng	image	Noun	tr	graphical representation	hye	պատկեր
eng	image	Noun	tr	graphical representation	ido	imajo
eng	image	Noun	tr	graphical representation	isl	mynd	f
eng	image	Noun	tr	graphical representation	ita	immagine	f
eng	image	Noun	tr	graphical representation	jpn	像	tr=zō
eng	image	Noun	tr	graphical representation	jpn	映像	tr=えいぞう, eizō
eng	image	Noun	tr	graphical representation	jpn	肖像	tr=shōzō
eng	image	Noun	tr	graphical representation	kat	სურათი	sc=Geor
eng	image	Noun	tr	graphical representation	khm	រូបភាព
eng	image	Noun	tr	graphical representation	kir	сүрөт
eng	image	Noun	tr	graphical representation	kor	상
eng	image	Noun	tr	graphical representation	kor	영상
eng	image	Noun	tr	graphical representation	kor	이미지
eng	image	Noun	tr	graphical representation	lao	ຮູບພາບ
eng	image	Noun	tr	graphical representation	lat	imāgō	f
eng	image	Noun	tr	graphical representation	lav	attēls	m
eng	image	Noun	tr	graphical representation	ltg	atvaigs
eng	image	Noun	tr	graphical representation	mkd	слика	f
eng	image	Noun	tr	graphical representation	mri	atahanga
eng	image	Noun	tr	graphical representation	mri	mātātuhi
eng	image	Noun	tr	graphical representation	nah	ixiptli
eng	image	Noun	tr	graphical representation	nav	eʼelyaaígíí
eng	image	Noun	tr	graphical representation	nld	beeld	n
eng	image	Noun	tr	graphical representation	nld	beeltenis	f
eng	image	Noun	tr	graphical representation	nld	plaatje	n
eng	image	Noun	tr	graphical representation	nno	bilde	n
eng	image	Noun	tr	graphical representation	nob	bilde	n
eng	image	Noun	tr	graphical representation	oci	imatge	m
eng	image	Noun	tr	graphical representation	pan	ਤਸਵੀਰ
eng	image	Noun	tr	graphical representation	pdt	Bilt	n
eng	image	Noun	tr	graphical representation	pnb	تصویر	tr=tasvīr
eng	image	Noun	tr	graphical representation	pol	obraz	m
eng	image	Noun	tr	graphical representation	por	figura	f
eng	image	Noun	tr	graphical representation	por	fotografia	f
eng	image	Noun	tr	graphical representation	por	imagem	f
eng	image	Noun	tr	graphical representation	pus	انځور	m	tr=anźor	sc=ps-Arab
eng	image	Noun	tr	graphical representation	ron	imagine	f
eng	image	Noun	tr	graphical representation	ron	poză	f
eng	image	Noun	tr	graphical representation	rus	изображе́ние	n
eng	image	Noun	tr	graphical representation	rus	о́браз	m
