	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	irade	Noun	tr		deu	Irade
eng	irade	Noun	tr		ell	ιραδές
eng	irade	Noun	tr		fra	iradé	m
eng	irade	Noun	tr		ita	iradè	m
eng	irade	Noun	tr		ron	iradea
eng	irade	Noun	tr		rus	ираде
eng	irascibility	Noun	tr	proneness to anger	bul	избухливост	f
eng	irascibility	Noun	tr	proneness to anger	bul	раздразнителност	f
eng	irascibility	Noun	tr	proneness to anger	grc	ὀξυθυμία	f
eng	irascibility	Noun	tr	proneness to anger	lat	iracundia	f
eng	irascibility	Noun	tr	proneness to anger	spa	iracundia	f
eng	irascibility	Noun	tr	proneness to anger	spa	irascibilidad	f
eng	irascible	Adjective	tr	prone to anger	bul	избухлив
eng	irascible	Adjective	tr	prone to anger	bul	раздразнителен
eng	irascible	Adjective	tr	prone to anger	cmn	急躁	tr=jízào
eng	irascible	Adjective	tr	prone to anger	cmn	暴躁	tr=bàozào	sc=Hani
eng	irascible	Adjective	tr	prone to anger	crh	eserli
eng	irascible	Adjective	tr	prone to anger	cym	blin
eng	irascible	Adjective	tr	prone to anger	cym	gwyllt
eng	irascible	Adjective	tr	prone to anger	cym	pigog
eng	irascible	Adjective	tr	prone to anger	cym	piwis
eng	irascible	Adjective	tr	prone to anger	dan	opfarende
eng	irascible	Adjective	tr	prone to anger	deu	aufbrausend
eng	irascible	Adjective	tr	prone to anger	deu	jähzornig
eng	irascible	Adjective	tr	prone to anger	dsb	sćakły
eng	irascible	Adjective	tr	prone to anger	ell	ευέξαπτος
eng	irascible	Adjective	tr	prone to anger	ell	ευερέθιστος
eng	irascible	Adjective	tr	prone to anger	epo	incitiĝema
eng	irascible	Adjective	tr	prone to anger	epo	kolerema
eng	irascible	Adjective	tr	prone to anger	est	ärrituv
eng	irascible	Adjective	tr	prone to anger	fin	äkeä
eng	irascible	Adjective	tr	prone to anger	fin	äreä
eng	irascible	Adjective	tr	prone to anger	fin	ärhäkkä
eng	irascible	Adjective	tr	prone to anger	fra	irascible
eng	irascible	Adjective	tr	prone to anger	gle	colgach
eng	irascible	Adjective	tr	prone to anger	gle	tobann
eng	irascible	Adjective	tr	prone to anger	grc	ἀκράχολος
eng	irascible	Adjective	tr	prone to anger	grc	ὀξύθυμος
eng	irascible	Adjective	tr	prone to anger	grc	ὀργίλος
eng	irascible	Adjective	tr	prone to anger	ita	irascibile
eng	irascible	Adjective	tr	prone to anger	kat	ბრაზიანი
eng	irascible	Adjective	tr	prone to anger	kat	გაღიზიანებადი
eng	irascible	Adjective	tr	prone to anger	lat	īrāscibilis
eng	irascible	Adjective	tr	prone to anger	mri	āritarita
eng	irascible	Adjective	tr	prone to anger	mri	kiriwetiweti
eng	irascible	Adjective	tr	prone to anger	mri	whanewhane
eng	irascible	Adjective	tr	prone to anger	nld	humeurig
eng	irascible	Adjective	tr	prone to anger	nld	opvliegend
eng	irascible	Adjective	tr	prone to anger	nld	prikkelbaar
eng	irascible	Adjective	tr	prone to anger	nno	bråsinna
eng	irascible	Adjective	tr	prone to anger	nno	bråsint
eng	irascible	Adjective	tr	prone to anger	nno	oppfarande
eng	irascible	Adjective	tr	prone to anger	nor	bråsint
eng	irascible	Adjective	tr	prone to anger	nor	oppfarende
eng	irascible	Adjective	tr	prone to anger	oci	irascible
eng	irascible	Adjective	tr	prone to anger	oci	irós
eng	irascible	Adjective	tr	prone to anger	oci	tissós
eng	irascible	Adjective	tr	prone to anger	pol	drażliwy
eng	irascible	Adjective	tr	prone to anger	pol	gniewny
eng	irascible	Adjective	tr	prone to anger	pol	wybuchowy
eng	irascible	Adjective	tr	prone to anger	por	irascível
eng	irascible	Adjective	tr	prone to anger	por	irritável
eng	irascible	Adjective	tr	prone to anger	ron	irascibil
eng	irascible	Adjective	tr	prone to anger	rus	вспыльчивый
eng	irascible	Adjective	tr	prone to anger	spa	colérico
eng	irascible	Adjective	tr	prone to anger	spa	iracundo	m
eng	irascible	Adjective	tr	prone to anger	spa	irascible
eng	irascible	Adjective	tr	prone to anger	spa	mañoso
eng	irascible	Adjective	tr	prone to anger	swe	hetlevrad
eng	irascible	Adjective	tr	prone to anger	swe	hetsig
eng	irascible	Adjective	tr	prone to anger	swe	lättretlig
eng	irascible	Adjective	tr	prone to anger	tur	aksi
eng	irascible	Adjective	tr	prone to anger	tur	asabi
eng	irascible	Adjective	tr	prone to anger	tur	atarlı
eng	irascible	Adjective	tr	prone to anger	tur	hırçın
eng	irascible	Adjective	tr	prone to anger	tur	huysuz
eng	irascible	Adjective	tr	prone to anger	tur	sinirli
eng	irascible	Adjective	tr	prone to anger	tur	şirret
eng	irascible	Adjective	tr	prone to anger	tur	ters
eng	irate	Adjective	tr	extremely angry	bul	гневен
eng	irate	Adjective	tr	extremely angry	bul	яростен
eng	irate	Adjective	tr	extremely angry	cat	irat
eng	irate	Adjective	tr	extremely angry	deu	erzürnt
eng	irate	Adjective	tr	extremely angry	deu	rasend
eng	irate	Adjective	tr	extremely angry	deu	wütend
eng	irate	Adjective	tr	extremely angry	fin	raivostunut
eng	irate	Adjective	tr	extremely angry	fra	en colère
eng	irate	Adjective	tr	extremely angry	fra	furieux
eng	irate	Adjective	tr	extremely angry	glg	irado	m
eng	irate	Adjective	tr	extremely angry	ido	iracinta
eng	irate	Adjective	tr	extremely angry	ita	irato
eng	irate	Adjective	tr	extremely angry	lat	īrātus
eng	irate	Adjective	tr	extremely angry	nld	woedend
eng	irate	Adjective	tr	extremely angry	nld	ziedend
eng	irate	Adjective	tr	extremely angry	rus	разъярённый
eng	irate	Adjective	tr	extremely angry	spa	encolerizado
eng	irene	Noun	tr	hydrocarbon	deu	Iren	n
eng	irene	Noun	tr	hydrocarbon	fra	irène	f
eng	irenic	Adjective	tr	Promoting or fitted to promote peace	bul	миротворен
eng	irenic	Adjective	tr	Promoting or fitted to promote peace	cmn	和平的	tr=hépíngde	sc=Hani
eng	irenic	Adjective	tr	Promoting or fitted to promote peace	fra	irénique	m	f
eng	irenic	Adjective	tr	Promoting or fitted to promote peace	ita	irenico	m
eng	irenic	Adjective	tr	Promoting or fitted to promote peace	nld	irenisch
eng	irenical	Adjective	tr	peaceful	fra	irénique
eng	ire	Noun	tr	great anger	bul	гняв	m
eng	ire	Noun	tr	great anger	bul	ярост	f
eng	ire	Noun	tr	great anger	cat	ira	f
eng	ire	Noun	tr	great anger	cmn	愤怒	tr=fènnù
eng	ire	Noun	tr	great anger	cmn	憤怒
eng	ire	Noun	tr	great anger	deu	Ärger	m
eng	ire	Noun	tr	great anger	deu	Wut	f
eng	ire	Noun	tr	great anger	deu	Zorn	m
eng	ire	Noun	tr	great anger	epo	kolero
eng	ire	Noun	tr	great anger	fas	غضب	tr=ğazab
eng	ire	Noun	tr	great anger	fin	viha
eng	ire	Noun	tr	great anger	fra	colère	f
eng	ire	Noun	tr	great anger	fra	ire	f
eng	ire	Noun	tr	great anger	ita	ira	f
eng	ire	Noun	tr	great anger	jpn	怒り	tr=いかり, ikari	sc=Jpan
eng	ire	Noun	tr	great anger	lat	īra	f
eng	ire	Noun	tr	great anger	mkd	бес	m
eng	ire	Noun	tr	great anger	mkd	гнев	m
eng	ire	Noun	tr	great anger	mri	hīkaka
eng	ire	Noun	tr	great anger	mri	hīnawanawa
eng	ire	Noun	tr	great anger	mri	nguha
eng	ire	Noun	tr	great anger	mri	nguha
eng	ire	Noun	tr	great anger	nld	toorn	m
eng	ire	Noun	tr	great anger	nld	woede	f
eng	ire	Noun	tr	great anger	pol	furia	f
eng	ire	Noun	tr	great anger	pol	wściekłość	f
eng	ire	Noun	tr	great anger	por	ira	f
eng	ire	Noun	tr	great anger	ron	furie	f
eng	ire	Noun	tr	great anger	ron	mânie	f
eng	ire	Noun	tr	great anger	rus	гнев	m
eng	ire	Noun	tr	great anger	rus	зло́ба	f
eng	ire	Noun	tr	great anger	rus	злость	f
eng	ire	Noun	tr	great anger	rus	я́рость	f
eng	ire	Noun	tr	great anger	spa	ira	f
eng	ire	Noun	tr	great anger	tha	ความโกรธ	tr=kwaam gròht
eng	ire	Noun	tr	great anger	tha	ความโมโห	tr=kwaam mohŏh
eng	ire	Noun	tr	great anger	tha	โทสะ
eng	ire	Verb	tr	anger, fret	fao	øsa
eng	ire	Verb	tr	anger, fret	mkd	беснее
eng	ire	Verb	tr	anger, fret	nld	laaien
eng	ire	Verb	tr	anger, fret	nld	woeden
eng	ire	Verb	tr	anger, fret	ron	înfuria
eng	ire	Verb	tr	anger, fret	ron	mânia
eng	ire	Verb	tr	anger, fret	tha	ทำให้โกรธ	tr=tam hâi gròht
eng	ire	Verb	tr	anger, fret	tha	ทำให้โกรธเคือง	tr=tam hâi gròht keuang
eng	iridectomy	Noun	tr	removal of part of the iris	cat	iridectomia	f
eng	iridectomy	Noun	tr	removal of part of the iris	deu	Iridektomie	f
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	bul	блясък	m
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	bul	преливане на цветове
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	oci	iridescéncia
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	oci	mirgalhadís
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	oci	mirgalhadura
eng	iridescence	Noun	tr	Any shimmer of glittering and changeable colors	vol	kölamufät
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	cat	iridescència	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	deu	Iridisieren	n
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	fra	iridescence	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	ita	iridescenza	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	oci	iridescéncia	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	oci	irizacion	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	oci	irizacion	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	oci	mirgalhadura
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	pol	iryzacja	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	pol	tęczowanie	n
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	rus	иризация	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	spa	iridiscencia	f
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	swe	regnbågsskimmer	n
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	tgl	kasilakan
eng	iridescence	Noun	tr	The condition or state of being iridescent; exhibition of colors like those of the rainbow; a prismatic play of color	tgl	silak
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	bul	блестящ
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	bul	преливащ се
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	ell	ιριδίζων
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	fin	kirjava
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	fra	iridescent	m
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	spa	iridiscente
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	swe	iriserande
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	swe	lysande
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	swe	skimrande
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	tur	alaca
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	tur	janjan
eng	iridescent	Adjective	tr	brilliant, lustrous, or colorful	tur	yanardöner
eng	iridescent	Adjective	tr	producing lustrous colors	bul	с цветовете на дъгата
eng	iridescent	Adjective	tr	producing lustrous colors	deu	irisierend
eng	iridescent	Adjective	tr	producing lustrous colors	deu	schillernd
eng	iridescent	Adjective	tr	producing lustrous colors	ell	ιριδίζων
eng	iridescent	Adjective	tr	producing lustrous colors	fin	irisoiva
eng	iridescent	Adjective	tr	producing lustrous colors	fin	sateenkaaren väreissä kimalteleva
eng	iridescent	Adjective	tr	producing lustrous colors	fra	iridescent	m
eng	iridescent	Adjective	tr	producing lustrous colors	ita	iridescente
eng	iridescent	Adjective	tr	producing lustrous colors	jpn	玉虫色	tr=Tamamushiiro
eng	iridescent	Adjective	tr	producing lustrous colors	nld	iriserend
eng	iridescent	Adjective	tr	producing lustrous colors	spa	iridiscente
eng	iridescent	Adjective	tr	producing lustrous colors	spa	irisado	m
eng	iridescent	Adjective	tr	producing lustrous colors	swe	iriserande
eng	iridescent	Adjective	tr	producing lustrous colors	swe	regnbågsskimrande
eng	iridescent	Adjective	tr	producing lustrous colors	tgl	masilak
eng	iridescent	Adjective	tr	producing lustrous colors	tur	alaca
