	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	isabelline shrike	Noun	tr	''Lanius isabellinus''	fin	punapyrstölepinkäinen
eng	isabelline shrike	Noun	tr	''Lanius isabellinus''	rus	була́ный жула́н	m
eng	isabelline shrike	Noun	tr	''Lanius isabellinus''	rus	рыжехво́стый жула́н	m
eng	isabelline shrike	Noun	tr	''Lanius isabellinus''	swe	isabellatörnskata	c
eng	isabelline wheatear	Noun	tr	''Oenanthe isabellina''	fin	arotasku
eng	isabelline wheatear	Noun	tr	''Oenanthe isabellina''	rus	ка́менка-плясу́нья	f
eng	isabelline wheatear	Noun	tr	''Oenanthe isabellina''	swe	isabellastenskvätta	c
eng	is all	Adverb	tr	without any other reason	cmn	罢了	tr=bàle	sc=Hani
eng	is all	Adverb	tr	without any other reason	cmn	罷了	sc=Hani
eng	is all	Adverb	tr	without any other reason	cmn	而已	tr=éryǐ	sc=Hani
eng	is all	Adverb	tr	without any other reason	fin	siinä kaikki
eng	is all	Adverb	tr	without any other reason	hun	ennyi
eng	is all	Adverb	tr	without any other reason	rus	и всё
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	cmn	这儿有医生吗？	tr=zhèr yǒu yīshēng ma?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	cmn	這兒有醫生嗎？
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	dan	er der en læge til stede?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	fin	onko täällä lääkäriä
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	fra	y a-t-il un médecin ici ?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	glg	alguén aquí é médico?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	hun	van itt orvos?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	hun	van önök között orvos?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	jam	anybody yah suh a docta
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	jpn	この中にお医者様はいらっしゃいませんか	tr=Kono naka ni o-isha-sama wa irasshaimasen ka?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	pol	czy ktoś tu jest lekarzem?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	por	alguém aqui é médico?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	rus	здесь есть врач?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	spa	¿hay aquí algún médico?
eng	is anyone here a doctor	Phrase	tr	is anyone here a doctor?	urd	یہاں کوئی ڈاکٹر ہے؟	tr=yahã koī dākṭar hai?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	cmn	有人坐在这里吗？	tr=yǒu rén zuò zài zhèlǐ ma?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	cmn	有人坐在這裡嗎？
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	fin	istuuko tässä joku
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	fin	onko tämä paikka varattu
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	glg	está alguén sentado aquí?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	hun	ül itt valaki?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	nld	gaat iemand hier zitten?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	pol	czy to miejsce jest wolne?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	tur	burada kimse oturuyor mu?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	tur	burada oturan var mı?
eng	is anyone sitting here	Phrase	tr	is anyone sitting here?	tur	burası boş mu?
eng	isapostle	Noun	tr	an equal of the Apostles	ell	ισαπόστολος
eng	isapostle	Noun	tr	an equal of the Apostles	fra	isapostole	m	f
eng	isapostle	Noun	tr	an equal of the Apostles	fra	isapôtre	m
eng	isapostle	Noun	tr	an equal of the Apostles	fra	isapôtresse	f
eng	isapostle	Noun	tr	an equal of the Apostles	grc	ἰσαπόστολος
eng	isapostolic	Adjective	tr	having equivalent, or almost equivalent, authority with the apostles or their teachings	deu	apostelgleich
eng	isapostolic	Adjective	tr	having equivalent, or almost equivalent, authority with the apostles or their teachings	fra	isapostolique
eng	isapostolic	Adjective	tr	having equivalent, or almost equivalent, authority with the apostles or their teachings	rus	равноапостольный
eng	isapostolicity	Noun	tr	the quality of being isapostolic	deu	Apostelgleichheit	f
eng	isapostolicity	Noun	tr	the quality of being isapostolic	fra	isapostolicité	f
eng	isapostolicity	Noun	tr	the quality of being isapostolic	rus	равноапостольность	f
eng	isatin	Noun	tr	indole derivative	cmn	靛紅
eng	isatin	Noun	tr	indole derivative	cmn	靛红	tr=diànhóng
eng	isatin	Noun	tr	indole derivative	deu	Isatin	n
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	ara	نقص التروية
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	cat	isquèmia	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	ces	ischémie	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	cmn	缺血	tr=quēxuè
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	dan	iskæmi
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	deu	Ischämie	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	ell	ισχαιμία	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	epo	iskemio
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	est	isheemia
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	eus	iskemia
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	fas	ایسکمی
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	fin	iskemia
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	fra	ischémie	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	hbs	ishémija	f
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	hbs	исхе́мија
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	heb	איסכמיה
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	hin	स्थानिक अरक्तता
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	hun	iszkémia
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	hye	արյունարգելություն
eng	ischemia	Noun	tr	local disturbance in blood circulation due to mechanical obstruction of the blood supply	ina	ischemia
