	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
mul	ius cogens	Noun	tr	peremptory norm	deu	zwingendes Recht	n
mul	ius cogens	Noun	tr	peremptory norm	ell	αναγκαστικό δίκαιο	n
mul	ius cogens	Noun	tr	peremptory norm	fas	عرف قطعی	tr=orf-e ghat'ee
mul	ius cogens	Noun	tr	peremptory norm	fas	هنجار بنیادین	tr=hanjār-e bonyādin
mul	ius cogens	Noun	tr	peremptory norm	fin	ius cogens -normi
mul	ius cogens	Noun	tr	peremptory norm	fin	pakottava säännös
mul	ius cogens	Noun	tr	peremptory norm	rus	императи́вная но́рма	f
mul	ius cogens	Noun	tr	peremptory norm	swe	jus cogens
mul	ius dispositivum	Noun	tr	peremptory norm	deu	abdingbares Recht	n
mul	ius dispositivum	Noun	tr	peremptory norm	deu	nachgiebiges Recht	n
mul	ius dispositivum	Noun	tr	peremptory norm	ell	ενδοτικό δίκαιο	n
mul	ius dispositivum	Noun	tr	peremptory norm	fin	tahdonvaltainen säännös
