	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	jobation	Noun	tr	An extensive rebuke or telling-off	bul	конско евангелие	n
eng	jobbery	Noun	tr	The act or conduct of public or official business for the sake of private gain	fra	corruption	f
eng	jobbery	Noun	tr	The act or conduct of public or official business for the sake of private gain	fra	favoritisme	m
eng	jobbery	Noun	tr	The act or conduct of public or official business for the sake of private gain	kat	კორუფცია
eng	jobbery	Noun	tr	The act or conduct of public or official business for the sake of private gain	nld	omkoperij
eng	jobbery	Noun	tr	The act or conduct of public or official business for the sake of private gain	nld	vriendjespolitiek
eng	jobbie	Noun	tr	a piece of excrement	ces	hovínko	n
eng	jobbing	Noun	tr	work carried out by the job	bul	случайна работа	f
eng	jobbing	Noun	tr	work carried out by the job	gle	jabaireacht	f
eng	job center	Noun	tr	agency	bul	бюро по труда	n
eng	job center	Noun	tr	agency	cmn	职业介绍所	tr=zhíyè jièshàosuǒ	sc=Hani
eng	job center	Noun	tr	agency	cmn	職業介紹所	sc=Hani
eng	job center	Noun	tr	agency	deu	Arbeitsamt	n
eng	job center	Noun	tr	agency	deu	Arbeitsmarktservice	m
eng	job center	Noun	tr	agency	deu	Jobcenter	n
eng	job center	Noun	tr	agency	fin	työvoimatoimisto
eng	job center	Noun	tr	agency	gle	jabionad	m
eng	job center	Noun	tr	agency	pol	pośredniak	m
eng	job center	Noun	tr	agency	pol	urząd pracy	m
eng	job center	Noun	tr	agency	slv	zavod za zaposlovanje	m
eng	job center	Noun	tr	agency	spa	oficina de empleo	f
eng	job center	Noun	tr	agency	swe	arbetsförmedling	c
eng	job center	Noun	tr	agency	tur	iş ve işçi bulma kurumu
eng	job description	Noun	tr		cmn	工作說明
eng	job description	Noun	tr		cmn	工作说明	tr=gōngzuò shuōmíng
eng	job description	Noun	tr		cmn	职位描述	tr=zhíwèi miáoshù
eng	job description	Noun	tr		cmn	職位描述
eng	job description	Noun	tr		dan	stillingsbeskrivelse
eng	job description	Noun	tr		deu	Stellenbeschreibung	f
eng	job description	Noun	tr		fin	toimenkuva
eng	job description	Noun	tr		fin	toimenkuvaus
eng	job description	Noun	tr		fin	työnkuva
eng	job description	Noun	tr		fin	työnkuvaus
eng	job description	Noun	tr		ita	descrizione di posizione
eng	job description	Noun	tr		kal	atorfiup imarisai
eng	job description	Noun	tr		pol	zakres obowiązków	m
eng	job description	Noun	tr		rus	должностна́я инстру́кция	f
eng	job description	Noun	tr		rus	служе́бные обя́занности	f-p
eng	job fair	Noun	tr	event	cmn	人才市场	tr=réncái shìchǎng	sc=Hani
eng	job fair	Noun	tr	event	cmn	人才市場	sc=Hani
eng	job fair	Noun	tr	event	cmn	招聘会	tr=zhāopìnhuì
eng	job fair	Noun	tr	event	cmn	招聘會
eng	job fair	Noun	tr	event	fin	rekrytointimessut	p
eng	job fair	Noun	tr	event	fra	salon de l'emploi	m
eng	job fair	Noun	tr	event	rus	я́рмарка вака́нсий	f
eng	job fair	Noun	tr	event	spa	feria del empleo	f
eng	job-hopping	Noun	tr	suddenly or frequently changing jobs	cmn	跳槽	tr=tiàocáo	sc=Hani
eng	job-hopping	Noun	tr	suddenly or frequently changing jobs	fin	työpaikkashoppailu
eng	job-hopping	Noun	tr	suddenly or frequently changing jobs	fra	instabilité professionnelle	f
eng	job interview	Noun	tr	interview attended by a job applicant	cmn	求职面试	tr=qiúzhí miànshì
eng	job interview	Noun	tr	interview attended by a job applicant	cmn	求職面試
eng	job interview	Noun	tr	interview attended by a job applicant	dan	jobinterview	n
eng	job interview	Noun	tr	interview attended by a job applicant	deu	Bewerbungsgespräch	n
eng	job interview	Noun	tr	interview attended by a job applicant	deu	Vorstellungsgespräch	n
eng	job interview	Noun	tr	interview attended by a job applicant	fin	työhaastattelu
eng	job interview	Noun	tr	interview attended by a job applicant	fra	entretien d'embauche	m
eng	job interview	Noun	tr	interview attended by a job applicant	hun	állásinterjú
eng	job interview	Noun	tr	interview attended by a job applicant	nld	sollicitatiegesprek	n
eng	job interview	Noun	tr	interview attended by a job applicant	nno	jobbintervju	n
eng	job interview	Noun	tr	interview attended by a job applicant	nob	jobbintervju	n
eng	job interview	Noun	tr	interview attended by a job applicant	por	entrevista de emprego	f
eng	job interview	Noun	tr	interview attended by a job applicant	rus	собесе́дование
eng	job interview	Noun	tr	interview attended by a job applicant	spa	entrevista de trabajo
eng	job interview	Noun	tr	interview attended by a job applicant	spa	entrevista laboral
eng	job interview	Noun	tr	interview attended by a job applicant	swe	anställningsintervju	c
eng	job interview	Noun	tr	interview attended by a job applicant	swe	arbetsintervju	c
eng	job interview	Noun	tr	interview attended by a job applicant	swe	jobbintervju	c
eng	job interview	Noun	tr	interview attended by a job applicant	ukr	співбесі́да (на робо́ту)	f
eng	joblessness	Noun	tr	unemployment	fin	työttömyys
eng	joblessness	Noun	tr	unemployment	ita	disoccupazione	f
eng	joblessness	Noun	tr	unemployment	kat	უმუშევრობა	sc=Geor
eng	job	Noun	tr	computing: task(s) carried out in batch mode	bul	зада́ча	f
eng	job	Noun	tr	computing: task(s) carried out in batch mode	deu	Job	m
eng	job	Noun	tr	computing: task(s) carried out in batch mode	ell	εργασία	f
eng	job	Noun	tr	computing: task(s) carried out in batch mode	fin	erä
eng	job	Noun	tr	computing: task(s) carried out in batch mode	fra	tâche	f
eng	job	Noun	tr	computing: task(s) carried out in batch mode	por	job	m
eng	job	Noun	tr	computing: task(s) carried out in batch mode	rus	зада́ча	f
eng	job	Noun	tr	economic role for which a person is paid	acw	شُغُل	m	tr=šuḡul
eng	job	Noun	tr	economic role for which a person is paid	acw	وظيفة	f	tr=waẓīfa
eng	job	Noun	tr	economic role for which a person is paid	ara	شُغْل	m
eng	job	Noun	tr	economic role for which a person is paid	ara	عَمَل	m
eng	job	Noun	tr	economic role for which a person is paid	ara	مِهْنَة	f
