	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	jubilant	Adjective	tr	In a state of elation	bul	ликуващ
eng	jubilant	Adjective	tr	In a state of elation	bul	тържествуващ
eng	jubilant	Adjective	tr	In a state of elation	epo	jubila
eng	jubilant	Adjective	tr	In a state of elation	fin	riemuitseva
eng	jubilant	Adjective	tr	In a state of elation	fin	riemukas
eng	jubilant	Adjective	tr	In a state of elation	ido	joyema
eng	jubilant	Adjective	tr	In a state of elation	ind	bangga
eng	jubilant	Adjective	tr	In a state of elation	kat	მოზეიმე
eng	jubilant	Adjective	tr	In a state of elation	kat	მოლხინე
eng	jubilant	Adjective	tr	In a state of elation	nor	jublende
eng	jubilant	Adjective	tr	In a state of elation	rus	ликующий
eng	jubilantly	Adverb	tr	with jubilation or triumph	fin	riemuiten
eng	jubilantly	Adverb	tr	with jubilation or triumph	fin	riemukkaasti
eng	jubilantly	Adverb	tr	with jubilation or triumph	hun	ujjongva
eng	jubilantly	Adverb	tr	with jubilation or triumph	pol	radośnie
eng	jubilantly	Adverb	tr	with jubilation or triumph	pol	tryumfalnie
eng	jubilantly	Adverb	tr	with jubilation or triumph	spa	jubilosamente
eng	jubilarian	Noun	tr	person celebrating a jubilee	bul	юбиляр	m	sc=Cyrl
eng	jubilarian	Noun	tr	person celebrating a jubilee	bul	юбиляри	p	sc=Cyrl
eng	jubilarian	Noun	tr	person celebrating a jubilee	bul	юбилярка	f	sc=Cyrl
eng	jubilarian	Noun	tr	person celebrating a jubilee	bul	юбилярче	n	sc=Cyrl
eng	jubilarian	Noun	tr	person celebrating a jubilee	dan	jubilar	c
eng	jubilarian	Noun	tr	person celebrating a jubilee	deu	Jubilarin	f
eng	jubilarian	Noun	tr	person celebrating a jubilee	deu	Jubilar	m
eng	jubilarian	Noun	tr	person celebrating a jubilee	kat	იუბილარი
eng	jubilarian	Noun	tr	person celebrating a jubilee	pol	jubilatka	f
eng	jubilarian	Noun	tr	person celebrating a jubilee	pol	jubilat	m
eng	jubilarian	Noun	tr	person celebrating a jubilee	rus	юбиля́р	m
eng	jubilarian	Noun	tr	person celebrating a jubilee	vol	hiyubidan
eng	jubilarian	Noun	tr	person celebrating a jubilee	vol	jiyubidan
eng	jubilarian	Noun	tr	person celebrating a jubilee	vol	yubidan
eng	jubilate	Verb	tr	To show elation or triumph	ara	هَزَجَ
eng	jubilate	Verb	tr	To show elation or triumph	bul	ликувам
eng	jubilate	Verb	tr	To show elation or triumph	bul	тържествувам
eng	jubilate	Verb	tr	To show elation or triumph	ces	jásat
eng	jubilate	Verb	tr	To show elation or triumph	dan	juble
eng	jubilate	Verb	tr	To show elation or triumph	deu	jubeln
eng	jubilate	Verb	tr	To show elation or triumph	nor	juble
eng	jubilation	Noun	tr		bul	ликуване	n
eng	jubilation	Noun	tr		bul	тържествуване
eng	jubilation	Noun	tr		deu	Jubel
eng	jubilation	Noun	tr		ell	θριαμβολογία	f	sc=Grek
eng	jubilation	Noun	tr		ell	πανηγυρισμός	m	sc=Grek
eng	jubilation	Noun	tr		ita	esultanza	f
eng	jubilation	Noun	tr		ita	tripudio	m
eng	jubilation	Noun	tr		kat	ზეიმი
eng	jubilation	Noun	tr		kat	ლხენა
eng	jubilation	Noun	tr		mri	harikoa
eng	jubilation	Noun	tr		mri	manahau
eng	jubilation	Noun	tr		mri	manamanahau
eng	jubilation	Noun	tr		mri	whāwhāpū
eng	jubilation	Noun	tr		spa	júbilo
eng	jubilation	Noun	tr		spa	regocijo
eng	jubilee	Noun	tr	a special year of emancipation	grc	ἰώβηλος	m
eng	jubilee	Noun	tr	a special year of emancipation	heb	יוֹבֵל	m	tr=yovél
eng	jubilee	Noun	tr	special anniversary	bel	юбіле́й	m
eng	jubilee	Noun	tr	special anniversary	bul	юбиле́й	m
eng	jubilee	Noun	tr	special anniversary	ces	jubileum	m
eng	jubilee	Noun	tr	special anniversary	ces	padesátiny	m-p
eng	jubilee	Noun	tr	special anniversary	dan	jubilæum	n
eng	jubilee	Noun	tr	special anniversary	deu	Jubiläum	n
eng	jubilee	Noun	tr	special anniversary	ell	ιωβηλαίο	n
eng	jubilee	Noun	tr	special anniversary	epo	jubileo
eng	jubilee	Noun	tr	special anniversary	fin	hääpäivä
