	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	kraal	Noun	tr	enclosure for livestock	afr	kraal
eng	kraal	Noun	tr	enclosure for livestock	kat	კრაალი
eng	kraal	Noun	tr	enclosure for livestock	nld	kraal
eng	kraal	Noun	tr	enclosure for livestock	swe	kraal	c
eng	kraal	Noun	tr	rural African community	fra	kraal	m
eng	kraal	Noun	tr	rural African community	kat	კრაალი
eng	kraal	Noun	tr	rural African community	swe	kraal
eng	kraal	Noun	tr	rural African village of huts surrounded by a stockade	kat	კრაალი
eng	kraal	Noun	tr	rural African village of huts surrounded by a stockade	swe	kraal	c
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	dan	kraftpapir	n
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	fin	voimapaperi
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	fra	papier kraft	m
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	gle	craftpháipéar	m
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	hun	nátronpapír
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	nno	kraftpapir	n
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	nob	kraftpapir	n
eng	kraft paper	Noun	tr	strong paper made from kraft pulp, often used for making corrugated board	tgl	sotsowa
eng	krai	Noun	tr	a region or province in Russia	bel	край	m
eng	krai	Noun	tr	a region or province in Russia	bul	край	m
eng	krai	Noun	tr	a region or province in Russia	fin	aluepiiri
eng	krai	Noun	tr	a region or province in Russia	fra	kraï	m
eng	krai	Noun	tr	a region or province in Russia	hbs	krȃj	m
eng	krai	Noun	tr	a region or province in Russia	hbs	кра̑ј	m
eng	krai	Noun	tr	a region or province in Russia	kaz	өлке	sc=Cyrl
eng	krai	Noun	tr	a region or province in Russia	mkd	крај	m
eng	krai	Noun	tr	a region or province in Russia	por	krai	m
eng	krai	Noun	tr	a region or province in Russia	rus	край	m
eng	krai	Noun	tr	a region or province in Russia	sah	кыраай	sc=Cyrl
eng	krai	Noun	tr	a region or province in Russia	spa	krai	m
eng	krai	Noun	tr	a region or province in Russia	tat	өлкә
eng	krai	Noun	tr	a region or province in Russia	ukr	край	m
eng	krait	Noun	tr	snake	ben	কেউটে
eng	krait	Noun	tr	snake	bul	малайски крайт	m
eng	krait	Noun	tr	snake	fin	krait
eng	krait	Noun	tr	snake	fra	bongare	m
eng	krait	Noun	tr	snake	ita	bungaro	m
eng	krait	Noun	tr	snake	rus	крайт	m
eng	krait	Noun	tr	snake	spa	búngaro	m
eng	krait	Noun	tr	snake	tel	కట్లపాము
eng	krait	Noun	tr	snake	tha	ทับทาง
eng	krait	Noun	tr	snake	vie	rắn cạp nong
eng	krama	Noun	tr	a traditional Cambodian garment with many uses	khm	ក្រមារ
eng	krama	Noun	tr	a traditional Cambodian garment with many uses	rus	кра́ма	f
eng	krater	Noun	tr	Greek vessel	cmn	双耳喷口杯	tr=shuāng'ěrpēnkǒubēi	sc=Hani
eng	krater	Noun	tr	Greek vessel	cmn	雙耳噴口杯	sc=Hani
eng	krater	Noun	tr	Greek vessel	deu	Krater	m
eng	krater	Noun	tr	Greek vessel	fas	باطیه	tr=bátiye	sc=fa-Arab
eng	krater	Noun	tr	Greek vessel	fin	krateeri
eng	krater	Noun	tr	Greek vessel	fra	cratère	m
eng	krater	Noun	tr	Greek vessel	grc	κρατήρ	m
eng	krater	Noun	tr	Greek vessel	ita	anfora	f
eng	krater	Noun	tr	Greek vessel	nld	krater	m
eng	kratom	Noun	tr	tree	tha	กระท่อม
eng	krautrock	Noun	tr	a genre of German experimental rock music from the 1970s	deu	Krautrock	f
eng	krautrock	Noun	tr	a genre of German experimental rock music from the 1970s	kat	კრაუტროკი
eng	krautrock	Noun	tr	a genre of German experimental rock music from the 1970s	por	krautrock	m
eng	krautrock	Noun	tr	a genre of German experimental rock music from the 1970s	tur	krautrock
eng	kremlin	Noun	tr	type of fortification	pol	kreml	m
eng	kreplach	Noun	tr	a type of Eastern European dumpling	heb	קרעפלך	m-p	tr=krépalakh
eng	kreplach	Noun	tr	a type of Eastern European dumpling	rus	пельме́нь	m
eng	kreplach	Noun	tr	a type of Eastern European dumpling	yid	קרעפּל	n
eng	kreuzer	Noun	tr	small coin used in parts of Germany and Austria	ces	krejcar	m
eng	kreuzer	Noun	tr	small coin used in parts of Germany and Austria	deu	Kreuzer	m
eng	kreuzer	Noun	tr	small coin used in parts of Germany and Austria	hun	krajcár
eng	kreuzer	Noun	tr	small coin used in parts of Germany and Austria	ron	creițar	m
eng	kreuzer	Noun	tr	small coin used in parts of Germany and Austria	rus	кре́йцер	m
eng	krill	Noun	tr	small marine crustacean	bul	крил	m
eng	krill	Noun	tr	small marine crustacean	cmn	磷虾	tr=línxiā	sc=Hani
eng	krill	Noun	tr	small marine crustacean	cmn	磷蝦	sc=Hani
eng	krill	Noun	tr	small marine crustacean	cym	cril	m
eng	krill	Noun	tr	small marine crustacean	dan	krill	c
eng	krill	Noun	tr	small marine crustacean	deu	Krill	m
eng	krill	Noun	tr	small marine crustacean	fin	krilli
eng	krill	Noun	tr	small marine crustacean	gle	crill	m
eng	krill	Noun	tr	small marine crustacean	hun	krill
eng	krill	Noun	tr	small marine crustacean	hun	világítórák
eng	krill	Noun	tr	small marine crustacean	isl	ljósáta
eng	krill	Noun	tr	small marine crustacean	jpn	オキアミ	tr=okiami
eng	krill	Noun	tr	small marine crustacean	jpn	沖醤蝦	tr=オキアミ, okiami	sc=Jpan
eng	krill	Noun	tr	small marine crustacean	kal	illeraq
eng	krill	Noun	tr	small marine crustacean	mri	kōura rangi
eng	krill	Noun	tr	small marine crustacean	mri	kōurariki
eng	krill	Noun	tr	small marine crustacean	mri	uraura
eng	krill	Noun	tr	small marine crustacean	nav	táłtłʼááh chʼoshchilí
eng	krill	Noun	tr	small marine crustacean	nld	krill
eng	krill	Noun	tr	small marine crustacean	nno	kril	m
eng	krill	Noun	tr	small marine crustacean	nob	krill	m
eng	krill	Noun	tr	small marine crustacean	pol	kryl	m
eng	krill	Noun	tr	small marine crustacean	por	krill	m
eng	krill	Noun	tr	small marine crustacean	rus	криль	m
eng	krill	Noun	tr	small marine crustacean	slv	kril	m
eng	krill	Noun	tr	small marine crustacean	spa	kril	m
