	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	生魚片	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	生鱼片	tr=shēngyúpiàn	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	脍	tr=kuài	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	膾	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	魚生	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	魚膾	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	鱠	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	鱼生	tr=yúshēng	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	鱼脍	tr=yúkuài	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	cmn	鲙	tr=kuài	sc=Hani
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	jpn	膾	tr=なます, namasu	sc=Jpan
eng	kuai	Noun	tr	a Chinese dish consisting of finely cut strips of raw fish or meat	jpn	鱠	tr=なます, namasu	sc=Jpan
eng	kudo	Noun	tr	compliment or praise	fin	kehu
eng	kudo	Noun	tr	compliment or praise	spa	elogio
eng	kudos	Noun	tr	credit for one's achievements	bul	слава	f
eng	kudos	Noun	tr	credit for one's achievements	deu	Ansehen	n
eng	kudos	Noun	tr	credit for one's achievements	deu	Ehre	f
eng	kudos	Noun	tr	credit for one's achievements	deu	Prestige	n
eng	kudos	Noun	tr	credit for one's achievements	deu	Renommee	n
eng	kudos	Noun	tr	credit for one's achievements	deu	Ruhm	m
eng	kudos	Noun	tr	praise, accolades	cmn	名誉	tr=míngyù	sc=Hani
eng	kudos	Noun	tr	praise, accolades	cmn	名譽	sc=Hani
eng	kudos	Noun	tr	praise, accolades	cmn	声望	tr=shēngwàng	sc=Hani
eng	kudos	Noun	tr	praise, accolades	cmn	榮譽	sc=Hani
eng	kudos	Noun	tr	praise, accolades	cmn	聲望	sc=Hani
eng	kudos	Noun	tr	praise, accolades	cmn	荣誉	tr=róngyù	sc=Hani
eng	kudos	Noun	tr	praise, accolades	dan	cadeau	c
eng	kudos	Noun	tr	praise, accolades	dan	hæder	c
eng	kudos	Noun	tr	praise, accolades	dan	ros	c
eng	kudos	Noun	tr	praise, accolades	deu	Applaus	m
eng	kudos	Noun	tr	praise, accolades	deu	Beifall	m
eng	kudos	Noun	tr	praise, accolades	deu	Lob	n
eng	kudos	Noun	tr	praise, accolades	ell	δόξα	f
eng	kudos	Noun	tr	praise, accolades	ell	έπαινος	n
eng	kudos	Noun	tr	praise, accolades	ell	κύρος	n
eng	kudos	Noun	tr	praise, accolades	ell	τιμή	f
eng	kudos	Noun	tr	praise, accolades	ell	φήμη	f
eng	kudos	Noun	tr	praise, accolades	fin	kehut	p
eng	kudos	Noun	tr	praise, accolades	fin	kiitos
eng	kudos	Noun	tr	praise, accolades	fin	maine
eng	kudos	Noun	tr	praise, accolades	fin	ylistys
eng	kudos	Noun	tr	praise, accolades	fra	gloire	f
eng	kudos	Noun	tr	praise, accolades	fra	louange	f
eng	kudos	Noun	tr	praise, accolades	hun	hírnév
eng	kudos	Noun	tr	praise, accolades	isl	frægð	f
