	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	kwashiorkor	Noun	tr	form of malnutrition	deu	Kwashiorkor	m
eng	kwashiorkor	Noun	tr	form of malnutrition	deu	Mehlnährschaden	m
eng	kwashiorkor	Noun	tr	form of malnutrition	fin	kvasiorkor
eng	kwashiorkor	Noun	tr	form of malnutrition	ind	busung lapar
eng	kwashiorkor	Noun	tr	form of malnutrition	mri	mate puku rerena
eng	kwashiorkor	Noun	tr	form of malnutrition	mri	mate rerena
eng	kwashiorkor	Noun	tr	form of malnutrition	msa	kwasyiorkor
eng	kwashiorkor	Noun	tr	form of malnutrition	por	kwashiorkor	m
eng	kwashiorkor	Noun	tr	form of malnutrition	zho	夸休可尔症	tr=kuāxiūkě'ěrzhèng
eng	kwashiorkor	Noun	tr	form of malnutrition	zho	蛋白質缺乏症
eng	kwashiorkor	Noun	tr	form of malnutrition	zho	蛋白质缺乏症	tr=dànbáizhì quēfázhèng
eng	kwashiorkor	Noun	tr	form of malnutrition	zho	誇休可爾症
eng	kwassa kwassa	Noun	tr	dance rhythm	fra	kwasa kwasa
