	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	laager	Noun	tr	Boer wagon fort	afr	laer
eng	laager	Noun	tr	Boer wagon fort	bul	укрепление от фургони
eng	laager	Noun	tr	Boer wagon fort	nld	lager	n
eng	lab coat	Noun	tr	coat worn by laboratory workers	fin	laboratoriotakki
eng	lab coat	Noun	tr	coat worn by laboratory workers	fin	labratakki
eng	lab coat	Noun	tr	coat worn by laboratory workers	ita	camice da laboratorio	m
eng	lab coat	Noun	tr	coat worn by laboratory workers	nno	labfrakk	m
eng	lab coat	Noun	tr	coat worn by laboratory workers	nob	labfrakk	m
eng	lab coat	Noun	tr	coat worn by laboratory workers	rus	хала́т	m	sc=Cyrl
eng	lab coat	Noun	tr	coat worn by laboratory workers	spa	delantal	m
eng	labdanum	Noun	tr	resin	cym	ladanwm	m
eng	labdanum	Noun	tr	resin	grc	λήδανον	n
eng	labdanum	Noun	tr	resin	ita	labdano	m
eng	labdanum	Noun	tr	resin	por	lábdano	m
eng	labdanum	Noun	tr	resin	por	ládano	m
eng	labdanum	Noun	tr	resin	rus	ла́дан	m
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	bul	отслабване	n
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	bul	упадък	m
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	ces	oslabení	n
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	ces	pád	m
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	fin	horjuttaminen
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	nld	aan het wankelen brengen
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	nld	verzwakken
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	rus	ослабле́ние	n
eng	labefaction	Noun	tr	act of shaking orweakening or the resulting state; overthrow, ruination	rus	паде́ние	n
eng	labeled	Adjective	tr	having a label, tagged	deu	beschriftet
eng	labeled	Adjective	tr	having a label, tagged	deu	gekennzeichnet
eng	labeling	Noun	tr	set of labels	cat	etiquetatge	m
eng	labeling	Noun	tr	set of labels	fin	merkintä
eng	labeling	Noun	tr	set of labels	fra	étiquetage	m
eng	labeling	Noun	tr	set of labels	glg	etiquetado	m
eng	labeling	Noun	tr	set of labels	glg	etiquetaxe	f
eng	labeling	Noun	tr	set of labels	ita	etichettatura	f
eng	labeling	Noun	tr	set of labels	spa	etiquetado	m
eng	labeling	Noun	tr	set of labels	spa	etiquetaje	m
eng	labellate	Adjective	tr		ita	labellato
eng	labellum	Noun	tr		cat	label	m
eng	labellum	Noun	tr		cmn	唇瓣	sc=Hani
eng	labellum	Noun	tr		cos	labellu
eng	labellum	Noun	tr		deu	Labellum
eng	labellum	Noun	tr		deu	Lippe	f
eng	labellum	Noun	tr		est	huul
eng	labellum	Noun	tr		est	labellum
eng	labellum	Noun	tr		fin	huuli
eng	labellum	Noun	tr		fin	labellum
eng	labellum	Noun	tr		fra	labelle	m
eng	labellum	Noun	tr		heb	שפית
eng	labellum	Noun	tr		ita	labello	m
eng	labellum	Noun	tr		ita	labello	m
eng	labellum	Noun	tr		jpn	唇弁	sc=Jpan
eng	labellum	Noun	tr		nap	labbiegl
eng	labellum	Noun	tr		nld	labellum
eng	labellum	Noun	tr		nld	lip
eng	labellum	Noun	tr		pol	warżka
eng	labellum	Noun	tr		por	labelo
eng	labellum	Noun	tr		spa	labelo	m
eng	label	Noun	tr	name categorising someone as part of a group	bul	етикет	m
eng	label	Noun	tr	name categorising someone as part of a group	cat	etiqueta	f
eng	label	Noun	tr	name categorising someone as part of a group	ces	nálepka	f
eng	label	Noun	tr	name categorising someone as part of a group	ell	τίτλος	m	sc=Grek
eng	label	Noun	tr	name categorising someone as part of a group	fas	برچسب	tr=barčasb	sc=fa-Arab
eng	label	Noun	tr	name categorising someone as part of a group	fin	leima
eng	label	Noun	tr	name categorising someone as part of a group	nld	etiket	n
eng	label	Noun	tr	name categorising someone as part of a group	pol	etykietka	f
eng	label	Noun	tr	name categorising someone as part of a group	por	rótulo	m
eng	label	Noun	tr	name categorising someone as part of a group	rus	клеймо́	n
eng	label	Noun	tr	name categorising someone as part of a group	rus	ярлы́к	m
eng	label	Noun	tr	name categorising someone as part of a group	swe	beteckning	c
eng	label	Noun	tr	name categorising someone as part of a group	swe	etikett	c
