	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	leachate	Noun	tr	the liquid produced when water percolates through any permeable material - it contains soluble matter	ita	percolato	m
eng	leachate	Noun	tr	the liquid produced when water percolates through any permeable material - it contains soluble matter	mri	waiwhakapākeka
eng	leaching	Noun	tr	process by which something is leached	deu	Ablaugen	n
eng	leaching	Noun	tr	process by which something is leached	deu	Auslaugen	n
eng	leaching	Noun	tr	process by which something is leached	deu	Auslaugung	f
eng	leaching	Noun	tr	process by which something is leached	deu	Ausmergeln	n
eng	leaching	Noun	tr	process by which something is leached	deu	Ausmergelung	f
eng	leaching	Noun	tr	process by which something is leached	deu	Auswaschen	n
eng	leaching	Noun	tr	process by which something is leached	deu	Auswaschung	f
eng	leaching	Noun	tr	process by which something is leached	deu	Laugen	n
eng	leaching	Noun	tr	process by which something is leached	spa	lixiviación	f
eng	leach	Noun	tr	wood ashes	bul	луга	f
eng	leach	Verb	tr	to purge a soluble matter out of something	bul	излугвам
eng	leach	Verb	tr	to purge a soluble matter out of something	deu	auslaugen
eng	leach	Verb	tr	to purge a soluble matter out of something	deu	auswaschen
eng	leach	Verb	tr	to purge a soluble matter out of something	fin	huuhtoa
eng	leach	Verb	tr	to purge a soluble matter out of something	fra	lessiver
eng	leach	Verb	tr	to purge a soluble matter out of something	ita	drenare
eng	leach	Verb	tr	to purge a soluble matter out of something	ita	filtrare
eng	leach	Verb	tr	to purge a soluble matter out of something	ita	percolare
eng	leach	Verb	tr	to purge a soluble matter out of something	ita	purgare
eng	leach	Verb	tr	to purge a soluble matter out of something	mri	whakapākeka
eng	leach	Verb	tr	to purge a soluble matter out of something	por	lixiviar
eng	leach	Verb	tr	to purge a soluble matter out of something	rus	вымывать
eng	leach	Verb	tr	to purge a soluble matter out of something	slv	izlužiti
eng	leach	Verb	tr	to purge a soluble matter out of something	spa	lixiviar
eng	lead-acid	Adjective	tr	having lead electrodes and an electrolyte of sulfuric acid solution	gle	aigéid is luaidhe
eng	lead-acid	Adjective	tr	having lead electrodes and an electrolyte of sulfuric acid solution	gle	luaidhe-aigéadach
eng	lead astray	Verb	tr	to cause to believe untruth	ara	أَضَلَّ
eng	lead astray	Verb	tr	to cause to believe untruth	deu	irreführen
eng	lead astray	Verb	tr	to cause to believe untruth	fin	johtaa harhaan
eng	lead astray	Verb	tr	to cause to believe untruth	grc	πλανάω	sc=polytonic
eng	lead astray	Verb	tr	to cause to believe untruth	ron	înșela
eng	lead astray	Verb	tr	to cause to believe untruth	rus	ввести́ в заблужде́ние	pf
eng	lead astray	Verb	tr	to cause to believe untruth	rus	вводи́ть в заблужде́ние	impf
eng	lead astray	Verb	tr	to cause to believe untruth	rus	сбива́ть с пути́	impf
eng	lead astray	Verb	tr	to cause to believe untruth	rus	сбить с пути́	pf
eng	lead astray	Verb	tr	to influence or to lead someone into bad ways, lead off the straight and narrow	grc	ἀποβουκολέω
eng	lead astray	Verb	tr	to influence or to lead someone into bad ways, lead off the straight and narrow	lat	sēdūcō
eng	lead astray	Verb	tr	to influence or to lead someone into bad ways, lead off the straight and narrow	mri	ngungu
eng	lead astray	Verb	tr	to influence or to lead someone into bad ways, lead off the straight and narrow	mri	whakakonuka
eng	lead astray	Verb	tr	to misguide or misdirect	ara	أَضَلَّ
eng	lead astray	Verb	tr	to misguide or misdirect	ell	ξελογιάζω
eng	lead astray	Verb	tr	to misguide or misdirect	ell	παρασύρω
eng	lead astray	Verb	tr	to misguide or misdirect	fin	johtaa harhaan
eng	lead astray	Verb	tr	to misguide or misdirect	fra	induire	alt=induire en erreur
eng	lead astray	Verb	tr	to misguide or misdirect	grc	ἀποβουκολέω
eng	lead astray	Verb	tr	to misguide or misdirect	lat	sēdūcō
eng	lead astray	Verb	tr	to misguide or misdirect	mri	ngungu
eng	lead astray	Verb	tr	to misguide or misdirect	mri	whakapōhēhē
eng	lead astray	Verb	tr	to misguide or misdirect	rus	сбива́ть с пути́	impf
eng	lead astray	Verb	tr	to misguide or misdirect	rus	сбить с пути́	pf
eng	lead astray	Verb	tr	to misguide or misdirect	spa	descaminar
eng	lead by example	Verb	tr		hun	példát mutat
eng	lead by example	Verb	tr		mri	whakangahau
eng	lead by the nose	Verb	tr		deu	an der Nase herumziehen
eng	lead by the nose	Verb	tr		fra	mener par le bout du nez
eng	lead by the nose	Verb	tr		pol	wodzić za nos
eng	lead by the nose	Verb	tr		spa	armar una cancamusa
eng	lead chamber process	Noun	tr	method for the production of sulphuric acid	deu	Bleikammerverfahren	n
eng	lead chloride	Noun	tr	a compound of lead	mri	konumatā pūhaumāota
eng	lead crystal	Noun	tr	type of glass	fin	kristallilasi
eng	lead crystal	Noun	tr	type of glass	gle	criostal luaidhe	m
eng	lead crystal	Noun	tr	type of glassware	fin	kristalli
eng	lead crystal	Noun	tr	type of glassware	gle	criostal luaidhe	m
eng	leaded	Adjective	tr	containing or treated with the element lead	deu	verbleit
eng	leaded	Adjective	tr	containing or treated with the element lead	hun	ólmos
eng	leaded	Adjective	tr	containing or treated with the element lead	jpn	有鉛	tr=ゆうえん, yūen
eng	leaded	Adjective	tr	containing or treated with the element lead	kor	유연
eng	leaded	Adjective	tr	containing or treated with the element lead	kor	납이 첨가된
eng	leaded	Adjective	tr	containing or treated with the element lead	rus	этили́рованный
eng	leaded	Adjective	tr	containing or treated with the element lead	swe	blyad
eng	leaded	Adjective	tr	containing or treated with the element lead	zho	含鉛
eng	leaded	Adjective	tr	containing or treated with the element lead	zho	含铅	tr=hánqiān
eng	leaden	Adjective	tr	dull	fin	lyijynharmaa
eng	leaden	Adjective	tr	dull	hun	ólomszürke
eng	leaden	Adjective	tr	dull	ita	plumbeo
eng	leaden	Adjective	tr	dull	por	plúmbeo
eng	leaden	Adjective	tr	dull	spa	cubierto
eng	leaden	Adjective	tr	dull	spa	nublado
eng	leaden	Adjective	tr	made of lead	bul	оловен
eng	leaden	Adjective	tr	made of lead	ces	olověný	m
eng	leaden	Adjective	tr	made of lead	deu	bleiern
eng	leaden	Adjective	tr	made of lead	fin	lyijyinen
eng	leaden	Adjective	tr	made of lead	gla	luaidheach
eng	leaden	Adjective	tr	made of lead	ita	plumbeo	m
eng	leaden	Adjective	tr	made of lead	lat	plumbeus
eng	leaden	Adjective	tr	made of lead	nld	loden
eng	leaden	Adjective	tr	made of lead	por	plúmbeo
eng	leaden	Adjective	tr	made of lead	rus	свинцовый
eng	leaden	Adjective	tr	made of lead	spa	plomizo
eng	leaden	Adjective	tr	made of lead	spa	plúmbeo
eng	leaden	Adjective	tr	made of lead	yid	בלײַען
eng	leaden	Adjective	tr	pertaining to or resembling lead	bul	оловно сив
eng	leaden	Adjective	tr	pertaining to or resembling lead	bul	оловносив
eng	leaden	Adjective	tr	pertaining to or resembling lead	ces	olověný	m
eng	leaden	Adjective	tr	pertaining to or resembling lead	fin	lyijyinen
eng	leaden	Adjective	tr	pertaining to or resembling lead	gla	luaidheach
eng	leaden	Adjective	tr	pertaining to or resembling lead	lat	plumbārius
eng	leaden	Adjective	tr	pertaining to or resembling lead	lat	plumbeus
eng	leaden	Adjective	tr	pertaining to or resembling lead	por	plúmbeo
eng	leaden	Adjective	tr	pertaining to or resembling lead	por	plúmbico
eng	leaden	Adjective	tr	pertaining to or resembling lead	spa	plomizo
eng	leaden	Adjective	tr	pertaining to or resembling lead	spa	plúmbeo
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	deu	Rangliste	f
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	fra	classement	m
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	hun	ranglista
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	hun	rangsor
eng	leaderless	Adjective	tr	without a person providing direction	deu	führungslos
eng	leaderless	Adjective	tr	without a person providing direction	spa	acéfalo	m
eng	leaderless	Adjective	tr	without a person providing direction	spa	descabezado	m
eng	leaderless	Adjective	tr	without a thing serving as leader	deu	führungslos
eng	leaderlessness	Noun	tr	state or condition of being leaderless	deu	Führungslosigkeit	f
eng	leader	Noun	tr	dominant animal in a group	deu	Leittier	n
eng	leader	Noun	tr	dominant animal in a group	glg	líder	m	f
eng	leader	Noun	tr	dominant animal in a group	lav	barvedis	m
eng	leader	Noun	tr	dominant animal in a group	rus	вожа́к	m
