	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	afr	lama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ara	لَامَا	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	asm	লামা
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	bel	ла́ма	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	bul	ла́ма	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cat	llama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ces	lama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	大羊駝
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	大羊驼	tr=dàyángtuo
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	家羊駝
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	家羊驼	tr=jiāyángtuo
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	无峰骆驼	tr=wúfēngluòtuo
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	無峰駱駝
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	駝羊
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	駱馬
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	驼羊	tr=tuóyáng
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cmn	骆马	tr=luòmǎ
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	cym	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	dan	lama	c
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	deu	Lama	n
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ell	λάμα	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	epo	lamo
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	fao	lama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	fas	شتر بیکوهان	tr=šotor-e bikohan
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	fin	laama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	fra	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	gle	láma	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	glv	laamey	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	heb	לָמָּה	f	tr=lama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	hin	लामा
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	hun	láma
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	hye	լամա
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ina	llama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	isl	lamadýr	n
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ita	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	jpn	ラマ	tr=rama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	jpn	リャマ	tr=ryama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	kor	라마
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	mkd	ла́ма	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	msa	llama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	nav	Shádiʼááhdę́ę́ʼ tłʼízí
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	nci	pelonichcatl
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	nld	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	nno	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	nob	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ori	ଲାମା
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	pol	lama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	por	lama	m
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	por	lhama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	que	llama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ron	lamă	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	rus	ла́ма	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	slk	lama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	slv	lama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	spa	llama	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	swe	lama	c
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	tgl	liyama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	tha	ยามา
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	tur	lama
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	ukr	ла́ма	f
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	vie	lạc đà không bướu
eng	llama	Noun	tr	South American mammal of the camel family, ''Lama glama''	vol	lamad
