	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	much ado about nothing	Noun	tr	a lot of fuss	cmn	大惊小怪	tr=dà jīng xiǎo guài	sc=Hani
eng	much ado about nothing	Noun	tr	a lot of fuss	cmn	大驚小怪	sc=Hani
eng	much ado about nothing	Noun	tr	a lot of fuss	deu	viel Lärm um nichts
eng	much ado about nothing	Noun	tr	a lot of fuss	epo	multa bruo pri nenio
eng	much ado about nothing	Noun	tr	a lot of fuss	fin	paljon melua tyhjästä
eng	much ado about nothing	Noun	tr	a lot of fuss	fra	beaucoup de bruit pour rien
eng	much ado about nothing	Noun	tr	a lot of fuss	gle	duifean mór ar bheagán fearthainne
eng	much ado about nothing	Noun	tr	a lot of fuss	gle	glór mór ar bheagán cúise
eng	much ado about nothing	Noun	tr	a lot of fuss	gle	mórán cainte ar bheagán cúise
eng	much ado about nothing	Noun	tr	a lot of fuss	glg	cacarexar moito e non poñer ovo
eng	much ado about nothing	Noun	tr	a lot of fuss	ita	tanto rumore per nulla
eng	much ado about nothing	Noun	tr	a lot of fuss	jpn	空騒ぎ	tr=からさわぎ, karasawagi	sc=Jpan
eng	much ado about nothing	Noun	tr	a lot of fuss	pol	z dużej chmury mały deszcz
eng	much ado about nothing	Noun	tr	a lot of fuss	por	tempestade em copo d'água
eng	much ado about nothing	Noun	tr	a lot of fuss	por	tempestade num copo d'água
eng	much ado about nothing	Noun	tr	a lot of fuss	rus	мно́го шу́ма из ничего́
eng	much ado about nothing	Noun	tr	a lot of fuss	spa	mucho ruido y pocas nueces
eng	much ado about nothing	Noun	tr	a lot of fuss	swe	mycket väsen för ingenting
eng	much	Adverb	tr	to a great extent	ara	كَثِيرًا
eng	much	Adverb	tr	to a great extent	bul	много
eng	much	Adverb	tr	to a great extent	cat	molt
eng	much	Adverb	tr	to a great extent	ccc	ma'sho
eng	much	Adverb	tr	to a great extent	ces	mnohem
eng	much	Adverb	tr	to a great extent	ces	moc
eng	much	Adverb	tr	to a great extent	deu	viel
eng	much	Adverb	tr	to a great extent	ell	πολύ
eng	much	Adverb	tr	to a great extent	fin	paljon
eng	much	Adverb	tr	to a great extent	fra	beaucoup
eng	much	Adverb	tr	to a great extent	fro	molt
eng	much	Adverb	tr	to a great extent	fro	mout
eng	much	Adverb	tr	to a great extent	fro	mult
eng	much	Adverb	tr	to a great extent	hbs	mnȍgo
eng	much	Adverb	tr	to a great extent	hbs	puno
eng	much	Adverb	tr	to a great extent	hbs	мно̏го
eng	much	Adverb	tr	to a great extent	hbs	пуно
eng	much	Adverb	tr	to a great extent	hun	jóval
eng	much	Adverb	tr	to a great extent	hun	nagyon
eng	much	Adverb	tr	to a great extent	hun	sokkal
eng	much	Adverb	tr	to a great extent	hye	շատ
eng	much	Adverb	tr	to a great extent	ita	molto
eng	much	Adverb	tr	to a great extent	jpn	多い	tr=おおい, ōi
eng	much	Adverb	tr	to a great extent	jpn	沢山	alt=沢山の	tr=たくさんの, takusan no
eng	much	Adverb	tr	to a great extent	kor	많은
eng	much	Adverb	tr	to a great extent	lat	multum
eng	much	Adverb	tr	to a great extent	lav	daudz
eng	much	Adverb	tr	to a great extent	mkd	многу
eng	much	Adverb	tr	to a great extent	mlt	qatigħ
eng	much	Adverb	tr	to a great extent	nld	veel
eng	much	Adverb	tr	to a great extent	pol	bardzo
eng	much	Adverb	tr	to a great extent	por	muito
eng	much	Adverb	tr	to a great extent	pro	molt
eng	much	Adverb	tr	to a great extent	roa-gal	brav'ment
eng	much	Adverb	tr	to a great extent	ron	mult
eng	much	Adverb	tr	to a great extent	rus	гора́здо
eng	much	Adverb	tr	to a great extent	rus	намно́го
eng	much	Adverb	tr	to a great extent	rus	о́чень
eng	much	Adverb	tr	to a great extent	san	बहु
eng	much	Adverb	tr	to a great extent	spa	mucho
eng	much	Adverb	tr	to a great extent	swe	mycket
eng	much	Adverb	tr	to a great extent	tha	มาก
eng	much	Adverb	tr	to a great extent	ukr	бага́то
eng	much	Adverb	tr	to a great extent	ukr	набага́то
eng	much	Adverb	tr	to a great extent	vol	mödo
eng	much	Adverb	tr	to a great extent	zho	多	tr=duō
eng	much	Adverb	tr	to a great extent	zho	许多	tr=xǔduō
eng	much	Determiner	tr	a large amount of	ara	كَثِير
eng	much	Determiner	tr	a large amount of	arz	كتير	tr=kitīr
eng	much	Determiner	tr	a large amount of	ase	Claw5@TipFinger-Claw5@CenterChesthigh Claw5@SideChesthigh-Claw5@SideChesthigh
