	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	myalgia	Noun	tr	muscular pain or tenderness	bul	мускулна болка	f
eng	myalgia	Noun	tr	muscular pain or tenderness	ces	myalgie	f
eng	myalgia	Noun	tr	muscular pain or tenderness	cmn	肌痛	tr=jītòng
eng	myalgia	Noun	tr	muscular pain or tenderness	deu	Myalgie	f
eng	myalgia	Noun	tr	muscular pain or tenderness	fin	lihassärky
eng	myalgia	Noun	tr	muscular pain or tenderness	fin	myalgia
eng	myalgia	Noun	tr	muscular pain or tenderness	gle	miailge	f
eng	myalgia	Noun	tr	muscular pain or tenderness	ita	mialgia	f
eng	myalgia	Noun	tr	muscular pain or tenderness	tgl	sakit-kalamnan
eng	myalgic	Adjective	tr	pertaining to myalgia	fin	myalginen
eng	myalgic	Adjective	tr	pertaining to myalgia	ita	mialgico
eng	myalgic encephalomyelitis	Noun	tr	disease	fin	myalginen enkefalomyeliitti
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	个头	tr=getóu
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	个屁	tr=gepì
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	你个头	tr=nǐgetóu
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	你個頭
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	你妹	tr=nǐmèi	sc=Hani
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	個屁
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	cmn	個頭
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	dan	min røv
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	deu	am Arsch
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	fra	mon cul
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	rus	твою́ мать
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	spa	y una mierda
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	vie	cái đầu mày
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	yue	个屁	tr=go3 pei3	sc=Hani
eng	my arse	Interjection	tr	Indicates disapproval, disregard or disbelief	yue	個屁	sc=Hani
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	cat	els collons
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	cat	i una merda
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	dan	min bare røv
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	deu	am Arsch
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	deu	von wegen
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	fin	ja paskat
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	fin	paskanmarjat
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	fin	paskat
eng	my ass	Interjection	tr	Indicates disapproval, disagreement, or disbelief	fra	mon cul
