	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	neanid	Noun	tr		ita	neanide
eng	neap	Adjective	tr	designating type of tide	bul	най-нисък прилив
eng	neap	Adjective	tr	designating type of tide	deu	Nippflut	f
eng	neap	Adjective	tr	designating type of tide	deu	Nipptide	f
eng	neap	Adjective	tr	designating type of tide	fin	vajaa-
eng	neap	Adjective	tr	designating type of tide	mri	hāro
eng	neap	Adjective	tr	designating type of tide	mri	kōwā
eng	neap	Adjective	tr	designating type of tide	mri	kōwāwā
eng	neap	Adjective	tr	designating type of tide	mri	kōwheuwheu
eng	neap	Adjective	tr	designating type of tide	mri	kōwhiowhio
eng	neap	Adjective	tr	designating type of tide	mri	moī
eng	neap	Adjective	tr	designating type of tide	mri	taiā
eng	neap	Adjective	tr	designating type of tide	mri	torepuku
eng	neap	Adjective	tr	designating type of tide	mri	torepuku
eng	neap	Adjective	tr	designating type of tide	mri	whēru
eng	neap	Adjective	tr	designating type of tide	spa	muerta
eng	neap	Adjective	tr	designating type of tide	swe	nipflod
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	bcl	ayaay
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	cat	marea de quadratura	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	cat	marea morta	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	cym	llanw isel	m
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	deu	Nippflut	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	deu	Nipptide	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	ell	χαμηλή παλίρροια	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	fin	vajaavuoksi
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	fra	marée de morte eau	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	gla	conntraigh	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	gle	mallmhuir	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	glv	traaie	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	mri	tai kōwā
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	mri	tai kōwāwā
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	mri	tai ninihi
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	mri	taitai ririki
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	nld	doodtij	n
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	nob	nippflo	m	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	nrf	morte-ieau	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	por	maré de águas mortas	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	por	maré de quadratura	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	por	maré de quarto	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	rus	малая вода	f
eng	neap tide	Noun	tr	tide which occurs when the moon is in its first or third quarter	rus	отлив	m
eng	near abroad	Noun	tr	the other countries and political regions which are in the vicinity of a country or political region	bel	блі́жняе заме́жжа	n
eng	near abroad	Noun	tr	the other countries and political regions which are in the vicinity of a country or political region	cmn	近海外	tr=jìn hǎiwài
eng	near abroad	Noun	tr	the other countries and political regions which are in the vicinity of a country or political region	deu	Nahes Ausland	n
eng	near abroad	Noun	tr	the other countries and political regions which are in the vicinity of a country or political region	kat	ახლო საზღვარგარეთი
