	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	nth	Adjective	tr	occurring at position ''n''	bre	nvet
eng	nth	Adjective	tr	occurring at position ''n''	cat	enèsim	m
eng	nth	Adjective	tr	occurring at position ''n''	ces	n-tý
eng	nth	Adjective	tr	occurring at position ''n''	cmn	第n	tr=dì n	sc=Hani
eng	nth	Adjective	tr	occurring at position ''n''	deu	n-te
eng	nth	Adjective	tr	occurring at position ''n''	ell	νιοστός
eng	nth	Adjective	tr	occurring at position ''n''	epo	n-a
eng	nth	Adjective	tr	occurring at position ''n''	epo	noa
eng	nth	Adjective	tr	occurring at position ''n''	est	n-is
eng	nth	Adjective	tr	occurring at position ''n''	eus	enegarren
eng	nth	Adjective	tr	occurring at position ''n''	fin	ännäs
eng	nth	Adjective	tr	occurring at position ''n''	fin	n:s
eng	nth	Adjective	tr	occurring at position ''n''	fra	énième
eng	nth	Adjective	tr	occurring at position ''n''	fra	n-ième
eng	nth	Adjective	tr	occurring at position ''n''	hun	n-edik
eng	nth	Adjective	tr	occurring at position ''n''	ita	ennesimo
eng	nth	Adjective	tr	occurring at position ''n''	ita	n-esimo
eng	nth	Adjective	tr	occurring at position ''n''	jpn	第ｎ	tr=だいエヌ, dai enu
eng	nth	Adjective	tr	occurring at position ''n''	pol	enty
eng	nth	Adjective	tr	occurring at position ''n''	pol	n-ty
eng	nth	Adjective	tr	occurring at position ''n''	por	enésimo
eng	nth	Adjective	tr	occurring at position ''n''	por	n-ésimo
eng	nth	Adjective	tr	occurring at position ''n''	rus	э́нный
eng	nth	Adjective	tr	occurring at position ''n''	slk	n-tý
eng	nth	Adjective	tr	occurring at position ''n''	spa	enésimo
eng	nth	Noun	tr	the item at position ''n''	fin	ännäs
eng	nth	Noun	tr	the item at position ''n''	fin	n:s
eng	nth	Noun	tr	the item at position ''n''	fra	énième	m
eng	nth	Noun	tr	the item at position ''n''	fra	n-ième	m
eng	nth	Noun	tr	the item at position ''n''	hun	n-edik
eng	nth	Noun	tr	the item at position ''n''	ita	ennesimo	m
eng	nth	Noun	tr	the item at position ''n''	por	enésimo	m
eng	nth	Noun	tr	the item at position ''n''	spa	enésimo	m
