	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	nyala	Noun	tr	southern African antelope	fin	njala
eng	nyala	Noun	tr	southern African antelope	nav	jádítsoh diłhiłígíí
eng	nychthemeral	Adjective	tr	lasting one day and one night	fra	nycthéméral
eng	nychthemeron	Noun	tr	one day and one night	alt	конок
eng	nychthemeron	Noun	tr	one day and one night	aze	sutka
eng	nychthemeron	Noun	tr	one day and one night	bak	тәүлек
eng	nychthemeron	Noun	tr	one day and one night	bul	деноно́щие	n
eng	nychthemeron	Noun	tr	one day and one night	dan	døgn	n
eng	nychthemeron	Noun	tr	one day and one night	deu	Etmal	n
eng	nychthemeron	Noun	tr	one day and one night	epo	tagnokto
eng	nychthemeron	Noun	tr	one day and one night	fao	samdøgur	n
eng	nychthemeron	Noun	tr	one day and one night	fin	vuorokausi
eng	nychthemeron	Noun	tr	one day and one night	fra	nycthémère	m
eng	nychthemeron	Noun	tr	one day and one night	fry	etmiel	n
eng	nychthemeron	Noun	tr	one day and one night	heb	יממה	f
eng	nychthemeron	Noun	tr	one day and one night	inh	ди-бийса
eng	nychthemeron	Noun	tr	one day and one night	isl	sólarhringur	m
eng	nychthemeron	Noun	tr	one day and one night	myv	чиве
eng	nychthemeron	Noun	tr	one day and one night	nld	etmaal	n
eng	nychthemeron	Noun	tr	one day and one night	nno	døger	n
eng	nychthemeron	Noun	tr	one day and one night	nno	døgn	n
eng	nychthemeron	Noun	tr	one day and one night	nob	døgn	n
eng	nychthemeron	Noun	tr	one day and one night	por	nictémero	m
eng	nychthemeron	Noun	tr	one day and one night	por	nictêmero	m
eng	nychthemeron	Noun	tr	one day and one night	rus	су́тки
eng	nychthemeron	Noun	tr	one day and one night	swe	dygn	n
eng	nychthemeron	Noun	tr	one day and one night	swe	dygn	p
eng	nyctinasty	Noun	tr	the movement of leaves or petals in response to darkness	gle	oíche-iamh	m
eng	nyctinasty	Noun	tr	the movement of leaves or petals in response to darkness	ita	nictinastia	f
eng	nyctograph	Noun	tr		ita	nictografo	m
eng	nyctography	Noun	tr		deu	Nyctographie
eng	nyctography	Noun	tr		fra	nyctographie	f
eng	nyctography	Noun	tr		ita	nictografia	f
eng	nyctophobia	Noun	tr	fear of the night	bul	страх от тъмното
eng	nyctophobia	Noun	tr	fear of the night	dan	mørkeræd
eng	nyctophobia	Noun	tr	fear of the night	dan	nyktofobi
eng	nyctophobia	Noun	tr	fear of the night	deu	Nyktophobie	f
eng	nyctophobia	Noun	tr	fear of the night	ell	νυχτοφοβία	f
eng	nyctophobia	Noun	tr	fear of the night	fin	pimeänpelko
eng	nyctophobia	Noun	tr	fear of the night	fra	nyctophobie	f
eng	nyctophobia	Noun	tr	fear of the night	por	nictofobia	f
eng	nyctophobia	Noun	tr	fear of the night	swe	mörkrädsla
eng	nyctophobia	Noun	tr	fear of the night	swe	nyctofobi	c
eng	nyctophobia	Noun	tr	fear of the night	swe	skotofobi	c
eng	nyct-	Prefix	tr	relating to night or darkness	por	nict-
eng	nylon	Noun	tr	sheer stocking	ces	nylonky	f
eng	nylon	Noun	tr	sheer stocking	ces	nylonové punčochy	f
eng	nylon	Noun	tr	sheer stocking	deu	Nylon	m
eng	nylon	Noun	tr	sheer stocking	deu	Nylonstrumpf	m
eng	nylon	Noun	tr	sheer stocking	fao	nailonsokkur	m
eng	nylon	Noun	tr	sheer stocking	fin	nailonit	p
eng	nylon	Noun	tr	sheer stocking	fin	nailonsukka
eng	nylon	Noun	tr	sheer stocking	hbs	nàjlōnka	f
eng	nylon	Noun	tr	sheer stocking	hbs	на̀јло̄нка	f
eng	nylon	Noun	tr	sheer stocking	isl	nælonsokkur	m
eng	nylon	Noun	tr	sheer stocking	ita	calza di nailon	f
eng	nylon	Noun	tr	sheer stocking	ita	calza di nylon	f
eng	nylon	Noun	tr	sheer stocking	ita	filanca	f
eng	nylon	Noun	tr	substance	ara	نَايْلُون	m
eng	nylon	Noun	tr	substance	ast	nailon	m
eng	nylon	Noun	tr	substance	ast	nilón	m
eng	nylon	Noun	tr	substance	bel	нейло́н	m
eng	nylon	Noun	tr	substance	bod	ནེ་ལོན
eng	nylon	Noun	tr	substance	bul	найлон	m
eng	nylon	Noun	tr	substance	cat	niló	m
eng	nylon	Noun	tr	substance	ces	nylon	m
eng	nylon	Noun	tr	substance	ckb	نایلۆن
eng	nylon	Noun	tr	substance	cmn	尼龍
eng	nylon	Noun	tr	substance	cmn	尼龙	tr=nílóng
eng	nylon	Noun	tr	substance	deu	Nylon	n
eng	nylon	Noun	tr	substance	ell	νάιλον	n
eng	nylon	Noun	tr	substance	fao	nailon	n
eng	nylon	Noun	tr	substance	fas	نایلون	tr=nâylon
eng	nylon	Noun	tr	substance	fin	nailon
eng	nylon	Noun	tr	substance	fra	nylon	m
eng	nylon	Noun	tr	substance	gle	níolón	m
eng	nylon	Noun	tr	substance	hau	nailan
eng	nylon	Noun	tr	substance	hbs	nàjlōn	m
eng	nylon	Noun	tr	substance	hbs	на̀јло̄н	m
eng	nylon	Noun	tr	substance	ind	nilon
eng	nylon	Noun	tr	substance	isl	nælon	n
eng	nylon	Noun	tr	substance	ita	nailon	m
eng	nylon	Noun	tr	substance	ita	nylon	m
eng	nylon	Noun	tr	substance	jpn	ナイロン	tr=nairon
eng	nylon	Noun	tr	substance	kat	ნეილონი
eng	nylon	Noun	tr	substance	kor	나일론
eng	nylon	Noun	tr	substance	mel	nailon
eng	nylon	Noun	tr	substance	mri	ngaiaku
eng	nylon	Noun	tr	substance	msa	nilon
eng	nylon	Noun	tr	substance	pol	nylon	m
eng	nylon	Noun	tr	substance	por	náilon	m
eng	nylon	Noun	tr	substance	por	nylon	m
eng	nylon	Noun	tr	substance	rus	нейло́н	m
eng	nylon	Noun	tr	substance	spa	nailon	m
eng	nylon	Noun	tr	substance	spa	nilón	m
eng	nylon	Noun	tr	substance	spa	nylon	m
eng	nylon	Noun	tr	substance	swe	nylon
eng	nylon	Noun	tr	substance	tha	ไนล่อน
eng	nylon	Noun	tr	substance	ukr	нейло́н	m
eng	nylon	Noun	tr	substance	vie	ni lông
eng	nylon	Noun	tr	substance	vie	ni-lông
eng	nymphaeid	Noun	tr	plant with leaves on the water surface	fin	kelluslehtinen kasvi
eng	nymphaeid	Noun	tr	plant with leaves on the water surface	fin	nymfeidi
eng	nymphalid	Noun	tr		fra	nymphalidé
eng	nymphalid	Noun	tr		glg	ninfálida	f
eng	nymphalid	Noun	tr		ita	ninfalide	f
eng	nymphet	Noun	tr	A sexually attractive girl or young woman	ces	lolita	f
eng	nymphet	Noun	tr	A sexually attractive girl or young woman	ces	lolitka	f
eng	nymphet	Noun	tr	A sexually attractive girl or young woman	ces	nymfička	f
eng	nymphet	Noun	tr	A sexually attractive girl or young woman	fin	nymfetti
eng	nymphet	Noun	tr	A sexually attractive girl or young woman	fra	nymphette	f
eng	nymph	Noun	tr	insect larva	ces	nymfa	f
eng	nymph	Noun	tr	insect larva	cmn	幼虫	tr=yòuchóng
eng	nymph	Noun	tr	insect larva	cmn	幼蟲
eng	nymph	Noun	tr	insect larva	cym	nymff	f
eng	nymph	Noun	tr	insect larva	dan	nymfe	c
eng	nymph	Noun	tr	insect larva	ell	νύμφη	f
eng	nymph	Noun	tr	insect larva	ell	χρυσαλλίδα	f
eng	nymph	Noun	tr	insect larva	fin	nymfi
eng	nymph	Noun	tr	insect larva	fra	nymphe	f
eng	nymph	Noun	tr	insect larva	glg	ninfa	f
eng	nymph	Noun	tr	insect larva	hbs	nȋmfa	f
eng	nymph	Noun	tr	insect larva	hbs	ни̑мфа	f
eng	nymph	Noun	tr	insect larva	hun	lárva
eng	nymph	Noun	tr	insect larva	hye	հարսնյակ
eng	nymph	Noun	tr	insect larva	ita	ninfa	f
eng	nymph	Noun	tr	insect larva	jpn	ニンフ	tr=ninfu
eng	nymph	Noun	tr	insect larva	jpn	幼虫	tr=ようちゅう, yōchū
eng	nymph	Noun	tr	insect larva	mri	pokopoko
eng	nymph	Noun	tr	insect larva	nno	nymfe	f
eng	nymph	Noun	tr	insect larva	nob	nymfe	m	f
eng	nymph	Noun	tr	insect larva	pol	nimfa	f
eng	nymph	Noun	tr	insect larva	por	ninfa	f
eng	nymph	Noun	tr	insect larva	ron	nimfă	f
eng	nymph	Noun	tr	insect larva	rus	личи́нка
eng	nymph	Noun	tr	insect larva	spa	ninfa	f
eng	nymph	Noun	tr	insect larva	swe	nymf	c
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ang	ielfen	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	bul	нимфа	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	cat	nimfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ces	nymfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	dan	nymfe	c
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	deu	Nymphe	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ell	νύμφη	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	epo	nimfo
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	est	nümf
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	fin	nymfi
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	fra	nymphe	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	gle	bé choille	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	glg	ninfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	grc	νύμφη	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	nȋmfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	rùsālka	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	víla	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	ви́ла	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	ни̑мфа	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hbs	ру̀са̄лка	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	hun	nimfa
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ido	nimfo
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ita	ninfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	jpn	ニュンペー	tr=nyunpē
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	jpn	ニンフ	tr=ninfu
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	jpn	妖精	tr=ようせい, yōsei
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	myv	ведюрьва
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	nld	nimf	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	nno	nymfe	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	nob	nymfe	m	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	pol	nimfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	por	ninfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	ron	nimfă	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	rus	ни́мфа	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	spa	ninfa	f
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	swa	nimfi
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	swe	nymf	c
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	tha	นางไม้	tr=naang máai
eng	nymph	Noun	tr	mythology: water, forest or mountain spirit	vol	neüf
eng	nymph	Noun	tr	young girl who may inspire lust	cmn	美女	tr=měinǚ
eng	nymph	Noun	tr	young girl who may inspire lust	deu	Nymphomanin
eng	nymph	Noun	tr	young girl who may inspire lust	ell	νυμφίδιο	n
