	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	oca	Noun	tr	any of certain species of Oxalis which bear edible tubers	por	oca	f
eng	ocarina	Noun	tr	musical instrument	ara	أكرين		tr=akrin
eng	ocarina	Noun	tr	musical instrument	aze	okarina
eng	ocarina	Noun	tr	musical instrument	cat	ocarina	f
eng	ocarina	Noun	tr	musical instrument	ces	okarína	f
eng	ocarina	Noun	tr	musical instrument	cmn	陶笛	tr=táodí	sc=Hani
eng	ocarina	Noun	tr	musical instrument	cym	ocarina	f
eng	ocarina	Noun	tr	musical instrument	dan	ocarina	c
eng	ocarina	Noun	tr	musical instrument	dan	okarina	c
eng	ocarina	Noun	tr	musical instrument	deu	Okarina	f
eng	ocarina	Noun	tr	musical instrument	ell	οκαρίνα	f
eng	ocarina	Noun	tr	musical instrument	epo	okarino
eng	ocarina	Noun	tr	musical instrument	est	okariin
eng	ocarina	Noun	tr	musical instrument	fin	okariina
eng	ocarina	Noun	tr	musical instrument	fra	ocarina	m
eng	ocarina	Noun	tr	musical instrument	fur	ocarine	f
eng	ocarina	Noun	tr	musical instrument	gle	ócairín	m
eng	ocarina	Noun	tr	musical instrument	glg	ocarina	f
eng	ocarina	Noun	tr	musical instrument	hbs	okarína	f
eng	ocarina	Noun	tr	musical instrument	hbs	окари́на	f	sc=Cyrl
eng	ocarina	Noun	tr	musical instrument	heb	אוקרינה
eng	ocarina	Noun	tr	musical instrument	hun	okarina
eng	ocarina	Noun	tr	musical instrument	hye	օկարինա
eng	ocarina	Noun	tr	musical instrument	ido	okarino
eng	ocarina	Noun	tr	musical instrument	isl	okkarína	f
eng	ocarina	Noun	tr	musical instrument	ita	ocarina	f
eng	ocarina	Noun	tr	musical instrument	jpn	オカリナ	tr=okarina
eng	ocarina	Noun	tr	musical instrument	kat	ოქარინა
eng	ocarina	Noun	tr	musical instrument	khm	អូការីណា
eng	ocarina	Noun	tr	musical instrument	kor	오카리나
eng	ocarina	Noun	tr	musical instrument	lao	ໂອກາລິນາ
eng	ocarina	Noun	tr	musical instrument	lav	okarīna
eng	ocarina	Noun	tr	musical instrument	lit	okarina
eng	ocarina	Noun	tr	musical instrument	mlt	okarina
eng	ocarina	Noun	tr	musical instrument	nah	huilacapītztli
eng	ocarina	Noun	tr	musical instrument	nld	ocarina	m	f
eng	ocarina	Noun	tr	musical instrument	pol	okaryna	f
eng	ocarina	Noun	tr	musical instrument	por	ocarina	f
eng	ocarina	Noun	tr	musical instrument	ron	ocarină	f
eng	ocarina	Noun	tr	musical instrument	rus	окари́на	f
eng	ocarina	Noun	tr	musical instrument	slv	okarína	f
eng	ocarina	Noun	tr	musical instrument	spa	ocarina	f
eng	ocarina	Noun	tr	musical instrument	swe	lergök	c
eng	ocarina	Noun	tr	musical instrument	swe	okarina	c
eng	ocarina	Noun	tr	musical instrument	tha	โอคาริน่า
eng	ocarina	Noun	tr	musical instrument	tur	okarina
eng	ocarina	Noun	tr	musical instrument	yue	陶笛	tr=tou4 dek6
eng	ocarinist	Noun	tr	player of ocarina	fin	okariinansoittaja
eng	ocarinist	Noun	tr	player of ocarina	ido	okarinisto
eng	ocarinist	Noun	tr	player of ocarina	ita	ocarinista	m	f
eng	occasional	Adjective	tr	limited to certain occasions; not very often	ara	عَرَضِيّ
eng	occasional	Adjective	tr	limited to certain occasions; not very often	bul	нередовен
eng	occasional	Adjective	tr	limited to certain occasions; not very often	bul	случаен
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cat	ocasional
eng	occasional	Adjective	tr	limited to certain occasions; not very often	ces	občasný
eng	occasional	Adjective	tr	limited to certain occasions; not very often	ces	příležitostný
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cmn	偶尔	tr=ǒu'ěr	sc=Hani
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cmn	偶然	tr=ǒurán	sc=Hani
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cmn	偶爾	sc=Hani
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cor	treweythus
eng	occasional	Adjective	tr	limited to certain occasions; not very often	cym	achlysurol
eng	occasional	Adjective	tr	limited to certain occasions; not very often	deu	gelegentlich
eng	occasional	Adjective	tr	limited to certain occasions; not very often	deu	okkasionell
eng	occasional	Adjective	tr	limited to certain occasions; not very often	fin	satunnainen
eng	occasional	Adjective	tr	limited to certain occasions; not very often	fra	occasionnel
eng	occasional	Adjective	tr	limited to certain occasions; not very often	gla	corra
eng	occasional	Adjective	tr	limited to certain occasions; not very often	gle	ócáideach
eng	occasional	Adjective	tr	limited to certain occasions; not very often	glv	keayrtagh
eng	occasional	Adjective	tr	limited to certain occasions; not very often	hun	alkalmi
eng	occasional	Adjective	tr	limited to certain occasions; not very often	hun	esetenkénti
eng	occasional	Adjective	tr	limited to certain occasions; not very often	ita	occasionale
eng	occasional	Adjective	tr	limited to certain occasions; not very often	jpn	偶	tr=たまたま, たま, tamatama, tama
eng	occasional	Adjective	tr	limited to certain occasions; not very often	jpn	偶然	alt=偶然な	tr=ぐうぜんな, gūzen na
eng	occasional	Adjective	tr	limited to certain occasions; not very often	jpn	偶発的	tr=ぐうはつてき, gūhatsuteki
eng	occasional	Adjective	tr	limited to certain occasions; not very often	jpn	時折	alt=時折の	tr=ときおりの, tokiori no
eng	occasional	Adjective	tr	limited to certain occasions; not very often	kor	가끔하는
eng	occasional	Adjective	tr	limited to certain occasions; not very often	mlt	okkażjonali
eng	occasional	Adjective	tr	limited to certain occasions; not very often	nld	af en toe
eng	occasional	Adjective	tr	limited to certain occasions; not very often	nld	indicenteel
eng	occasional	Adjective	tr	limited to certain occasions; not very often	nld	nu en dan
eng	occasional	Adjective	tr	limited to certain occasions; not very often	nld	occasioneel
eng	occasional	Adjective	tr	limited to certain occasions; not very often	nld	toevallig
eng	occasional	Adjective	tr	limited to certain occasions; not very often	pol	przypadkowy
eng	occasional	Adjective	tr	limited to certain occasions; not very often	pol	rzadki
eng	occasional	Adjective	tr	limited to certain occasions; not very often	pol	sporadyczny
eng	occasional	Adjective	tr	limited to certain occasions; not very often	por	ocasional
eng	occasional	Adjective	tr	limited to certain occasions; not very often	ron	ocazional	m	n
eng	occasional	Adjective	tr	limited to certain occasions; not very often	rus	ре́дкий
eng	occasional	Adjective	tr	limited to certain occasions; not very often	rus	случа́йный
eng	occasional	Adjective	tr	limited to certain occasions; not very often	slk	občasný
eng	occasional	Adjective	tr	limited to certain occasions; not very often	slk	príležitostný
eng	occasional	Adjective	tr	limited to certain occasions; not very often	spa	esporádico	m
eng	occasional	Adjective	tr	limited to certain occasions; not very often	spa	ocasional
eng	occasional	Adjective	tr	limited to certain occasions; not very often	swe	ockasionell
eng	occasionally	Adverb	tr	from time to time; now and then; once in a while; at infrequent intervals	asm	কেতিয়াবা কেতিয়াবা
eng	occasionally	Adverb	tr	from time to time; now and then; once in a while; at infrequent intervals	asm	মাজে মাজে
eng	occasionally	Adverb	tr	from time to time; now and then; once in a while; at infrequent intervals	bul	от време на време
eng	occasionally	Adverb	tr	from time to time; now and then; once in a while; at infrequent intervals	bul	понякога
eng	occasionally	Adverb	tr	from time to time; now and then; once in a while; at infrequent intervals	cat	ocasionalment
