	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	cat	major d'edat	m	f
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	ces	plnoletý
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	cmn	成年	tr=chéngnián de	alt=成年的	sc=Hani
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	cmn	成年人	tr=chéngniánrén	sc=Hani
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	cmn	成年者	tr=chéngniánzhě	sc=Hani
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	dan	myndig
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	deu	mündig
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	deu	volljährig
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	fin	täysi-ikäinen
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	fra	majeur
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	hun	nagykorú
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	ita	maggiorenne
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	jpn	成年者	tr=せいねんしゃ, seinensha	sc=Jpan
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	kat	ზრდასრული
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	kat	მოწიფული
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	kat	სრულწლოვანი
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	nld	meerderjarig
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	nld	volwassen
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	nor	myndig
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	por	maior
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	rus	совершенноле́тний
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	spa	mayor de edad
eng	of age	Prepositional phrase	tr	old enough to be considered an adult	swe	myndig
eng	of a kind	Prepositional phrase	tr	of the same type	fin	samankaltainen
eng	of a kind	Prepositional phrase	tr	of the same type	fin	samanlainen
eng	of a lifetime	Prepositional phrase	tr		fin	elämän
eng	of a lifetime	Prepositional phrase	tr		fra	du siècle
eng	of all things	Prepositional phrase	tr	more than other things, especially, exactly (that thing)	cmn	偏偏	tr=piānpiān	sc=Hani
eng	of all things	Prepositional phrase	tr	more than other things, especially, exactly (that thing)	jpn	よりによって	tr=yori ni yotte	sc=Jpan
eng	of all things	Prepositional phrase	tr	more than other things, especially, exactly (that thing)	jpn	事もあろうに	tr=こともあろうに, koto mo arō ni	sc=Jpan
eng	of all things	Prepositional phrase	tr	more than other things, especially, exactly (that thing)	rus	и́менно
eng	of all things	Prepositional phrase	tr	Surprisingly	deu	ausgerechnet
eng	of all things	Prepositional phrase	tr	Surprisingly	rus	кто бы мог поду́мать
eng	of all time	Prepositional phrase	tr	ever	deu	aller Zeiten
eng	of all time	Prepositional phrase	tr	ever	deu	bisher
eng	of all time	Prepositional phrase	tr	ever	epo	el ĉiuj tempoj
eng	of all time	Prepositional phrase	tr	ever	fin	ikinä
eng	of all time	Prepositional phrase	tr	ever	fin	kaikkien aikojen
eng	of all time	Prepositional phrase	tr	ever	fra	de tous les temps
eng	of all time	Prepositional phrase	tr	ever	ita	di tutti i tempi
eng	of all time	Prepositional phrase	tr	ever	nld	aller tijden
eng	of all time	Prepositional phrase	tr	ever	pol	wszech czasów
eng	of all time	Prepositional phrase	tr	ever	por	de todos os tempos
eng	of all time	Prepositional phrase	tr	ever	rus	всех времён
eng	of all time	Prepositional phrase	tr	ever	rus	за всё вре́мя
eng	of all time	Prepositional phrase	tr	ever	spa	de todos los tiempos
eng	of all time	Prepositional phrase	tr	ever	swe	genom tiderna
eng	of a piece	Prepositional phrase	tr	of the same kind	deu	aus einem Guß
eng	of a piece	Prepositional phrase	tr	of the same kind	deu	einheitlich
eng	of blessed memory	Prepositional phrase	tr	honorific epithet	hye	երջանկահիշատակ
eng	of blessed memory	Prepositional phrase	tr	honorific epithet	lat	beatae memoriae
eng	of blessed memory	Prepositional phrase	tr	honorific epithet	rus	блаже́нной па́мяти
eng	of choice	Prepositional phrase	tr	preferred above others	deu	der Wahl
eng	of choice	Prepositional phrase	tr	preferred above others	fra	de choix
eng	of choice	Prepositional phrase	tr	preferred above others	spa	de cabecera
eng	of choice	Prepositional phrase	tr	preferred above others	vie	nên chọn
eng	of color	Adjective	tr	of a race other than white	afr	van kleur
eng	of color	Adjective	tr	of a race other than white	cmn	有色	tr=yǒusè
eng	of color	Adjective	tr	of a race other than white	cym	croenliw
eng	of color	Adjective	tr	of a race other than white	dan	farvet
eng	of color	Adjective	tr	of a race other than white	deu	farbig
eng	of color	Adjective	tr	of a race other than white	fin	värillinen
