	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ower	Noun	tr	person who owes money	fin	velallinen
eng	owe someone one	Verb	tr	be indebted to someone	fra	à charge de revanche
eng	owe someone one	Verb	tr	be indebted to someone	fra	devoir une fière chandelle
eng	owe someone one	Verb	tr	be indebted to someone	fra	en devoir une
eng	owe someone one	Verb	tr	be indebted to someone	fra	renvoyer l'ascenseur
eng	owe someone one	Verb	tr	be indebted to someone	hun	jön eggyel
eng	owe	Verb	tr	to be in debt	bel	быць ў даўгу́	impf
eng	owe	Verb	tr	to be in debt	bel	завінава́ціцца	pf
eng	owe	Verb	tr	to be in debt	bel	запазы́чыцца	pf
eng	owe	Verb	tr	to be in debt	bul	дължа
eng	owe	Verb	tr	to be in debt	cat	deure
eng	owe	Verb	tr	to be in debt	ces	dlužit
eng	owe	Verb	tr	to be in debt	cmn	欠	tr=qiàn
eng	owe	Verb	tr	to be in debt	cmn	欠债	tr=qiànzhài
eng	owe	Verb	tr	to be in debt	cmn	欠債
eng	owe	Verb	tr	to be in debt	dan	skylde
eng	owe	Verb	tr	to be in debt	deu	schulden
eng	owe	Verb	tr	to be in debt	deu	schuldig sein
eng	owe	Verb	tr	to be in debt	fas	بدهکار بودن	tr=bedehkâr budan
eng	owe	Verb	tr	to be in debt	fin	olla velkaa
eng	owe	Verb	tr	to be in debt	fin	olla veloissa
eng	owe	Verb	tr	to be in debt	fra	devoir
eng	owe	Verb	tr	to be in debt	gle	bí ar
eng	owe	Verb	tr	to be in debt	glg	deber
eng	owe	Verb	tr	to be in debt	got	𐍃𐌺𐌿𐌻𐌰𐌽
eng	owe	Verb	tr	to be in debt	grc	ὀφείλω
eng	owe	Verb	tr	to be in debt	hbs	dugòvati
eng	owe	Verb	tr	to be in debt	hbs	дуго̀вати
eng	owe	Verb	tr	to be in debt	heb	היה חייב	tr=hayá khayáv
eng	owe	Verb	tr	to be in debt	hun	tartozik
eng	owe	Verb	tr	to be in debt	ita	dovere
eng	owe	Verb	tr	to be in debt	ita	essere in debito
eng	owe	Verb	tr	to be in debt	jpn	借りがある	tr=かりがある, kari ga aru
eng	owe	Verb	tr	to be in debt	jpn	負う	tr=おう, ou
eng	owe	Verb	tr	to be in debt	kor	빚지고 있다
eng	owe	Verb	tr	to be in debt	lat	dēbeō
eng	owe	Verb	tr	to be in debt	msa	berhutang
eng	owe	Verb	tr	to be in debt	nld	schuldig zijn
eng	owe	Verb	tr	to be in debt	nor	skylde
eng	owe	Verb	tr	to be in debt	oci	dever
eng	owe	Verb	tr	to be in debt	pol	być winnym
eng	owe	Verb	tr	to be in debt	pol	mieć dług
eng	owe	Verb	tr	to be in debt	pol	winić
eng	owe	Verb	tr	to be in debt	por	dever
eng	owe	Verb	tr	to be in debt	ron	datora
