	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	oxadiazole	Noun	tr	five-membered heterocycle	spa	oxadiazol	m
eng	oxalate	Noun	tr	salt or ester of oxalic acid	ces	oxalát	m
eng	oxalate	Noun	tr	salt or ester of oxalic acid	ces	šťavelan	m
eng	oxalate	Noun	tr	salt or ester of oxalic acid	cmn	草酸盐	tr=cǎosuānyán
eng	oxalate	Noun	tr	salt or ester of oxalic acid	cmn	草酸鹽
eng	oxalate	Noun	tr	salt or ester of oxalic acid	fin	oksalaatti
eng	oxalate	Noun	tr	salt or ester of oxalic acid	fra	oxalate	m
eng	oxalate	Noun	tr	salt or ester of oxalic acid	gle	ocsaláit	f
eng	oxalate	Noun	tr	salt or ester of oxalic acid	msa	oksalat
eng	oxalate	Noun	tr	salt or ester of oxalic acid	pol	szczawian	m
eng	oxalate	Noun	tr	salt or ester of oxalic acid	spa	oxalato	m
eng	oxalemia	Noun	tr		fra	oxalémie
eng	oxalemia	Noun	tr		ita	ossalemia	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	bul	оксалова киселина	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	ces	kyselina šťavelová	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	cmn	草酸	tr=cǎosuān	sc=Hani
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	deu	Oxalsäure	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	epo	okzalacido
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	fin	oksaalihappo
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	fra	acide oxalique	m
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	jpn	シュウ酸	tr=蓚酸, シュウさん, shūsan	sc=Jpan
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	nor	oksalsyre	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	pol	kwas szczawiowy	m
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	por	ácido oxálico	m
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	rus	щаве́левая кислота́	f
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	spa	ácido oxálico	m
eng	oxalic acid	Noun	tr	the dicarboxylic acid (ethandioic acid)	swe	oxalsyra	c
eng	oxalic	Adjective	tr	of or pertaining to oxalic acid	bul	оксалов
eng	oxalic	Adjective	tr	of or pertaining to oxalic acid	ell	οξαλικός
eng	oxalic	Adjective	tr	of or pertaining to oxalic acid	fra	oxalique
eng	oxalic	Adjective	tr	of or pertaining to oxalic acid	ita	ossalico
eng	oxalic	Adjective	tr	of or pertaining to oxalic acid	rus	щаве́левый
eng	oxalic anhydride	Noun	tr	hypothetical acid anhydride of oxalic acid	deu	Oxalsäureanhydrid	n
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	ell	οξαλίδα	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	eus	mingots
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	fao	sýrusmæra	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	fin	käenkaali
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	mri	tūtae-kāhu
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	mri	tūtaekāhu
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nno	gaukegras	n
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nno	gaukesyre	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nno	gauksyre	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nno	gaukvaffel	m
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nno	syreblom	m
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nor	gjøkesyre
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nor	kløversyre	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nor	siris	m
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nor	skogsyre	f
eng	oxalis	Noun	tr	any of various ornamental flowering plants of the genus Oxalis	nor	søtsyre	f
