	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	quack	Adjective	tr	falsely presented as having medicinal powers	isl	fals-
eng	quack	Adjective	tr	falsely presented as having medicinal powers	isl	skottu-
eng	quack	Adjective	tr	falsely presented as having medicinal powers	isl	svika-
eng	quack	Adjective	tr	falsely presented as having medicinal powers	ita	empirico
eng	quackery	Noun	tr	instance	fin	puoskarointi
eng	quackery	Noun	tr	practice	bul	шарлатанство	n
eng	quackery	Noun	tr	practice	cmn	庸医的医术	tr=yōngyī de yīshù	sc=Hani
eng	quackery	Noun	tr	practice	cmn	庸醫的醫術	sc=Hani
eng	quackery	Noun	tr	practice	cym	crachfeddygaeth	f
eng	quackery	Noun	tr	practice	cym	cwacyddiaeth	f
eng	quackery	Noun	tr	practice	dan	kvaksalveri	c
eng	quackery	Noun	tr	practice	deu	Quacksalberei	f
eng	quackery	Noun	tr	practice	ell	αγυρτεία	f
eng	quackery	Noun	tr	practice	fin	puoskarointi
eng	quackery	Noun	tr	practice	fra	charlatanisme	m
eng	quackery	Noun	tr	practice	hye	շառլատանություն
eng	quackery	Noun	tr	practice	isl	skottulækningar	f-p
eng	quackery	Noun	tr	practice	ita	ciarlataneria	f
eng	quackery	Noun	tr	practice	ita	frode medica	f
eng	quackery	Noun	tr	practice	jpn	偽医療	tr=にせいりょう, niseiryō
eng	quackery	Noun	tr	practice	kor	엉터리 치료
eng	quackery	Noun	tr	practice	lat	pharmacopolia	f
eng	quackery	Noun	tr	practice	mkd	надрилекарство	n
eng	quackery	Noun	tr	practice	nld	kwakzalverij	f
eng	quackery	Noun	tr	practice	nno	kvakksalveri	n
eng	quackery	Noun	tr	practice	nob	kvakksalveri	n
eng	quackery	Noun	tr	practice	pol	szarlataneria	f
eng	quackery	Noun	tr	practice	pol	szarlataństwo	n
eng	quackery	Noun	tr	practice	pol	znachorstwo	n
eng	quackery	Noun	tr	practice	por	curandeirismo	m
eng	quackery	Noun	tr	practice	rus	шарлата́нство	n
eng	quackery	Noun	tr	practice	spa	curandería	f
eng	quackery	Noun	tr	practice	spa	curanderismo	m
eng	quackery	Noun	tr	practice	swe	kvacksalveri	c
eng	quacking	Noun	tr	the sound made by a group of ducks	ara	زَبْط	m
eng	quacking	Noun	tr	the sound made by a group of ducks	gle	vácarnach	f
eng	quacking	Noun	tr	the sound made by a group of ducks	mlg	gagàka
eng	quack	Noun	tr	charlatan	bul	шарлатанин	m
eng	quack	Noun	tr	charlatan	deu	Quacksalberin	f
eng	quack	Noun	tr	charlatan	deu	Quacksalber	m
eng	quack	Noun	tr	charlatan	ell	τσαρλατάνος	m
eng	quack	Noun	tr	charlatan	fin	huijari
eng	quack	Noun	tr	charlatan	fra	charlatane	f
eng	quack	Noun	tr	charlatan	fra	charlatan	m
eng	quack	Noun	tr	charlatan	gle	potrálaí	m
eng	quack	Noun	tr	charlatan	gle	soidéalach	m
eng	quack	Noun	tr	charlatan	glg	charlatán	m
eng	quack	Noun	tr	charlatan	grc	ὀχλαγωγός	m
eng	quack	Noun	tr	charlatan	hye	շառլատան
eng	quack	Noun	tr	charlatan	ido	sharlatano
eng	quack	Noun	tr	charlatan	isl	falsari	m
eng	quack	Noun	tr	charlatan	isl	fúskari	m
eng	quack	Noun	tr	charlatan	isl	loddari	m
eng	quack	Noun	tr	charlatan	isl	svikari	m
eng	quack	Noun	tr	charlatan	ita	ciarlatano	m
eng	quack	Noun	tr	charlatan	ita	imbonitore	m
eng	quack	Noun	tr	charlatan	ita	pataccaro	m
eng	quack	Noun	tr	charlatan	jpn	ペテン師	tr=peten-shi
eng	quack	Noun	tr	charlatan	kat	თაღლითი
eng	quack	Noun	tr	charlatan	kat	შარლატანი
eng	quack	Noun	tr	charlatan	nld	charlatan	m
eng	quack	Noun	tr	charlatan	nld	kwakzalver	m
eng	quack	Noun	tr	charlatan	nld	kwakzalvster	f
eng	quack	Noun	tr	charlatan	pol	szarlatan	m-pr
eng	quack	Noun	tr	charlatan	por	charlatão	m
eng	quack	Noun	tr	charlatan	rus	шарлата́н	m
eng	quack	Noun	tr	charlatan	spa	charlatán	m
eng	quack	Noun	tr	charlatan	tur	şarlatan
eng	quack	Noun	tr	doctor	fra	toubib	m
eng	quack	Noun	tr	doctor	ido	sharlatano
eng	quack	Noun	tr	doctor	ita	mediconzolo	m
eng	quack	Noun	tr	doctor	pol	medyk	m-pr
eng	quack	Noun	tr	doctor	por	curandeiro	m
eng	quack	Noun	tr	doctor	rus	знахарь	m
eng	quack	Noun	tr	doctor	spa	curandero	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	bul	знахар	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	cmn	庸医	tr=yōngyī
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	cmn	庸醫
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	cym	cwac	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	dan	kvaksalver	c
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	deu	Kurpfuscher	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	deu	Quacksalber	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	ell	αλμπάνης	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	ell	κομπογιαννίτης	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	est	imearst
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	est	nurgaarst
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	fin	puoskari
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	fra	charlatane	f
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	fra	charlatan	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	gle	dochtúir bréige	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	hun	kuruzsló
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	hye	հեքիմ
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	ido	medikacho
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	ido	sharlatano
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	ind	dukun
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	isl	skottulæknir	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	jpn	もぐりの医者	tr=moguri no isha	sc=Jpan
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	jpn	やぶ医者	tr=yabuisha
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	kat	ექიმბაში
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	nld	kwakzalfster	f
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	nld	kwakzalver	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	nno	kvakksalvar	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	nob	kvakksalver	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	nrf	dgéthisseux	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	pms	charlatão	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	pol	konował	m-pr
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	por	mata-sanos	m	f
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	rus	шарлата́н	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	spa	matasanos	m
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	swe	kvacksalvare	c
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	tgl	doktor-laway
eng	quack	Noun	tr	fraudulent or incompetent doctor of medicine	tur	şarlatan
eng	quack	Noun	tr	sound made by a duck	ara	بَطْبَطَة	f
eng	quack	Noun	tr	sound made by a duck	ara	زَبْط	m
eng	quack	Noun	tr	sound made by a duck	asm	পেঁক পেঁক
eng	quack	Noun	tr	sound made by a duck	bul	крякане	n
eng	quack	Noun	tr	sound made by a duck	cat	nyec	m
eng	quack	Noun	tr	sound made by a duck	cmn	呱	tr=guā
eng	quack	Noun	tr	sound made by a duck	cmn	嘎	tr=gá
eng	quack	Noun	tr	sound made by a duck	cym	cwac	m
eng	quack	Noun	tr	sound made by a duck	dan	rap	n
eng	quack	Noun	tr	sound made by a duck	deu	Quaken	n
eng	quack	Noun	tr	sound made by a duck	ell	πα πα	n
eng	quack	Noun	tr	sound made by a duck	est	prääks
eng	quack	Noun	tr	sound made by a duck	fao	gvagg	n
eng	quack	Noun	tr	sound made by a duck	fao	kvagg	n
eng	quack	Noun	tr	sound made by a duck	fin	kvaak
eng	quack	Noun	tr	sound made by a duck	fra	coin-coin	?
eng	quack	Noun	tr	sound made by a duck	gle	vác	m
eng	quack	Noun	tr	sound made by a duck	hun	háp
