	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	cmn	伦琴	tr=lúnqín	sc=Hani
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	cmn	倫琴	sc=Hani
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	dan	røntgen	c
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	deu	Röntgen	n
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	est	röntgen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	fin	röntgen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	fra	röntgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	hbs	rendgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	hbs	рендген	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	hun	röntgen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	ind	rontgen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	ita	röntgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	jpn	レントゲン	tr=rentogen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	kor	뢴트겐
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	nld	röntgen
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	pol	rentgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	por	roentgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	rus	рентге́н	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	slk	röntgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	spa	roentgen	m
eng	röntgen	Noun	tr	unit of exposure to ionizing radiation	tur	röntgen
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	ara	رُوسْتِي	m
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	aze	rööşti
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	aze	röşti
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	bel	ро́шці	n
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	ces	rösti	n
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	cmn	瑞士薯餅
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	cmn	瑞士薯饼	tr=Ruìshì shǔbǐng
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	dan	rösti	c
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	deu	Röschti	f
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	deu	Rösti	f
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	ell	ρόστι	n
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	epo	roŝtio
eng	rösti	Noun	tr	traditional dish in Germanophone Switzerland made from fried potatoes	fin	rösti
