	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	smack-dab	Adverb	tr	exactly, directly	fra	pile-poil
eng	smack-dab	Adverb	tr	exactly, directly	rus	прямёхонько	n
eng	smack-dab	Adverb	tr	exactly, directly	rus	прямико́м	n
eng	smack-dab	Adverb	tr	exactly, directly	rus	пря́мо	n
eng	smack	Noun	tr	distinct flavor	deu	Hauch	m
eng	smack	Noun	tr	distinct flavor	ita	sentore	m
eng	smack	Noun	tr	distinct flavor	rus	вкус	m
eng	smack	Noun	tr	distinct flavor	slk	chuť	f
eng	smack	Noun	tr	distinct flavor	slk	príchuť
eng	smack	Noun	tr	distinct flavor	zza	tam	n
eng	smack	Noun	tr	sailing vessel	deu	Schmack	f
eng	smack	Noun	tr	sailing vessel	fin	smakki
eng	smack	Noun	tr	sailing vessel	ita	semalo	m
eng	smack	Noun	tr	sailing vessel	spa	sumaca	f
eng	smack	Noun	tr	sharp blow	epo	frapo
eng	smack	Noun	tr	sharp blow	glg	labazada	f
eng	smack	Noun	tr	sharp blow	glg	sopapo	m
eng	smack	Noun	tr	sharp blow	hun	pofon
eng	smack	Noun	tr	sharp blow	lat	alapa	f
eng	smack	Noun	tr	sharp blow	pol	chlast	m
eng	smack	Noun	tr	sharp blow	pol	klaps	m
eng	smack	Noun	tr	sharp blow	rus	шлепо́к	m
eng	smack	Noun	tr	sharp blow	spa	sopapo
eng	smack	Noun	tr	sharp blow	spa	soplamocos
eng	smack	Noun	tr	slight trace of something	deu	Ahnung	f
eng	smack	Noun	tr	slight trace of something	rus	налёт
eng	smack	Noun	tr	slight trace of something	rus	при́вкус	m
eng	smack	Noun	tr	slight trace of something	slk	príchuť
eng	smack of	Verb	tr	to seem like	fin	haiskahtaa
eng	smack	Verb	tr	to kiss with a sound	fin	muiskauttaa
eng	smack	Verb	tr	to kiss with a sound	rus	чмокнуть	pf
eng	smack	Verb	tr	to kiss with a sound	slk	cmuknúť
eng	smack	Verb	tr	to slap someone	epo	frapi
eng	smack	Verb	tr	to slap someone	fin	läiskäyttää
eng	smack	Verb	tr	to slap someone	fin	läpsäyttää
eng	smack	Verb	tr	to slap someone	fin	mäiskäyttää
eng	smack	Verb	tr	to slap someone	gmq-bot	smäck
eng	smack	Verb	tr	to slap someone	gmq-bot	smick
eng	smack	Verb	tr	to slap someone	gmq-bot	smisk
eng	smack	Verb	tr	to slap someone	ita	schiaffeggiare
eng	smack	Verb	tr	to slap someone	mri	papaki
eng	smack	Verb	tr	to slap someone	nrf	bailli eune paffe
eng	smack	Verb	tr	to slap someone	nrf	env'yer eune cliaque
eng	smack	Verb	tr	to slap someone	pol	klapnąć
eng	smack	Verb	tr	to slap someone	pol	plasnąć
eng	smack	Verb	tr	to slap someone	rus	шлёпать	impf
eng	smack	Verb	tr	to slap someone	rus	шлёпнуть	pf
eng	smack	Verb	tr	to slap someone	slk	plesknúť
eng	smack	Verb	tr	to wetly separate the lips making a noise	fin	maiskuttaa
eng	smack	Verb	tr	to wetly separate the lips making a noise	fin	mässyttää
eng	smack	Verb	tr	to wetly separate the lips making a noise	hts	minca
eng	smack	Verb	tr	to wetly separate the lips making a noise	hun	cuppant
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	kamikami
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	kōtamu
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	kōtamutamu
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	kotekote
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	pakara
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	pākorakora
eng	smack	Verb	tr	to wetly separate the lips making a noise	mri	whakapokara
eng	smack	Verb	tr	to wetly separate the lips making a noise	rus	причмо́кивать	impf
eng	smack	Verb	tr	to wetly separate the lips making a noise	rus	причмо́кнуть	pf
eng	smack	Verb	tr	to wetly separate the lips making a noise	rus	чмо́кать	impf
eng	smack	Verb	tr	to wetly separate the lips making a noise	rus	чмо́кнуть	pf
eng	smack	Verb	tr	to wetly separate the lips making a noise	slk	cmuknúť
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	fin	pieni
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	glg	minúsculas	f-p
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	hun	kis
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	hye	փոքրատառ
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	ind	kecil
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	ita	minuscolo
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	mkd	мала	f
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	mkd	мали	f-p
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	nld	klein
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	nno	liten
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	nob	liten
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	por	minúsculo
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	pus	کوچنی	tr=kučnay
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	ron	mici	f-p
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	slv	mali
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	spa	minúsculas	p
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	tam	சிறிய
eng	small	Adjective	tr	minuscule or lowercase, referring to written letters	vol	minudik
eng	small	Adjective	tr	not large	afr	klein
eng	small	Adjective	tr	not large	ain	ノカン
eng	small	Adjective	tr	not large	ajp	زغير	tr=zḡīr
eng	small	Adjective	tr	not large	alt	кичинек
eng	small	Adjective	tr	not large	ang	lȳtel
