	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	ben	স্বরভক্তি
eng	svarabhakti	Noun	tr	epenthesis of a vowel	deu	Svarabhakti	f	n
eng	svarabhakti	Noun	tr	epenthesis of a vowel	deu	Swarabhakti	f	n
eng	svarabhakti	Noun	tr	epenthesis of a vowel	fra	svarabhakti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	gla	fuaimreag-chòmhnaidh	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	guj	સ્વરભક્તિ	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	hin	स्वरभक्ति	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	ind	suarabakti
eng	svarabhakti	Noun	tr	epenthesis of a vowel	ind	swarabakti
eng	svarabhakti	Noun	tr	epenthesis of a vowel	ita	svarabacti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	ita	svarabhakti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	kan	ಸ್ವರಭಕ್ತಿ
eng	svarabhakti	Noun	tr	epenthesis of a vowel	mar	स्वरभक्ती	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	nep	स्वरभक्ति
eng	svarabhakti	Noun	tr	epenthesis of a vowel	nno	svarabhakti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	nob	svarabhakti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	pan	ਸਵਰਭਕਤੀ	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	por	suarabácti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	rus	сварабха́кти	n
eng	svarabhakti	Noun	tr	epenthesis of a vowel	san	स्वरभक्ति	f
eng	svarabhakti	Noun	tr	epenthesis of a vowel	spa	svarabhakti	m
eng	svarabhakti	Noun	tr	epenthesis of a vowel	swe	svarabhakti	c
eng	svarabhakti	Noun	tr	epenthesis of a vowel	tel	స్వరభక్తి
eng	svelte	Adjective	tr	attractively thin, slender	ces	štíhlý
eng	svelte	Adjective	tr	attractively thin, slender	deu	grazil
eng	svelte	Adjective	tr	attractively thin, slender	deu	schlank
eng	svelte	Adjective	tr	attractively thin, slender	ell	σβέλτος
eng	svelte	Adjective	tr	attractively thin, slender	fin	hento
eng	svelte	Adjective	tr	attractively thin, slender	gle	seangchruthach
eng	svelte	Adjective	tr	attractively thin, slender	hun	karcsú
eng	svelte	Adjective	tr	attractively thin, slender	ita	slanciato
eng	svelte	Adjective	tr	attractively thin, slender	ita	snello
eng	svelte	Adjective	tr	attractively thin, slender	pdt	schlank
eng	svelte	Adjective	tr	attractively thin, slender	pol	smukły	m
eng	svelte	Adjective	tr	attractively thin, slender	por	esbelta	f
eng	svelte	Adjective	tr	attractively thin, slender	por	esbelto	m
eng	svelte	Adjective	tr	attractively thin, slender	rus	ги́бкий	m
eng	svelte	Adjective	tr	attractively thin, slender	rus	стро́йный	m
eng	svelte	Adjective	tr	attractively thin, slender	swe	slank
eng	svelte	Adjective	tr	attractively thin, slender	swe	smäcker
eng	svelte	Adjective	tr	attractively thin, slender	swe	smärt
eng	svelte	Adjective	tr	attractively thin, slender	yue	苗條	sc=Hani
eng	svelte	Adjective	tr	attractively thin, slender	yue	苗條	tr=miu4 tiu4	sc=Hani
eng	svelte	Adjective	tr	refined, delicate	fin	hento
eng	svelte	Adjective	tr	refined, delicate	fin	hienovarainen
eng	svelte	Adjective	tr	refined, delicate	rus	изя́щный	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Drahtzieher	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Graue Eminenz	f
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Königsmacher	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Manipulator	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Puppenspieler	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	deu	Strippenzieher	m
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	glg	maquiavélico
eng	svengali	Noun	tr	One who manipulates or controls another as by some mesmeric or sinister influence; especially a coach, mentor or industry mogul.	glg	rasputiniano
eng	svirel	Noun	tr	an old folk Russian wind instrument	bel	жале́йка	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	bel	свірэ́ль	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	bul	жале́йка	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	pol	żalejka	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	rus	брёлка	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	rus	жале́йка	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	rus	свире́ль	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	rus	сопе́ль	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	rus	цевни́ца	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	ukr	свирі́лка	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	ukr	свирі́ль	f
eng	svirel	Noun	tr	an old folk Russian wind instrument	ukr	сопі́лка	f
