	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	teabag	Noun	tr	sachet of tea	cat	bossa de te	f
eng	teabag	Noun	tr	sachet of tea	cmn	茶包	tr=chábāo	sc=Hani
eng	teabag	Noun	tr	sachet of tea	cmn	袋泡茶	tr=dàipàochá	sc=Hani
eng	teabag	Noun	tr	sachet of tea	cmn	袋茶	tr=dàichá	sc=Hani
eng	teabag	Noun	tr	sachet of tea	cym	cwdyn te	m
eng	teabag	Noun	tr	sachet of tea	dan	tebrev	n
eng	teabag	Noun	tr	sachet of tea	dan	tepose	c
eng	teabag	Noun	tr	sachet of tea	deu	Teebeutel	m
eng	teabag	Noun	tr	sachet of tea	fas	تی بگ	tr=ti bag	sc=fa-Arab
eng	teabag	Noun	tr	sachet of tea	fas	چای کیسه‌ای	tr=čây-e kise-i	sc=fa-Arab
eng	teabag	Noun	tr	sachet of tea	fin	teepussi
eng	teabag	Noun	tr	sachet of tea	fra	infusette	f
eng	teabag	Noun	tr	sachet of tea	fra	sachet de thé	m
eng	teabag	Noun	tr	sachet of tea	gle	mála tae	m
eng	teabag	Noun	tr	sachet of tea	hun	teafilter
eng	teabag	Noun	tr	sachet of tea	isl	tepoki
eng	teabag	Noun	tr	sachet of tea	ita	sacchetto (di tè)	m
eng	teabag	Noun	tr	sachet of tea	jpn	ティーバッグ	tr=tībaggu	sc=Jpan
eng	teabag	Noun	tr	sachet of tea	kat	ჩაის პაკეტი
eng	teabag	Noun	tr	sachet of tea	kor	티백
eng	teabag	Noun	tr	sachet of tea	mkd	вреќичка	f
eng	teabag	Noun	tr	sachet of tea	mkd	кесичка	f
eng	teabag	Noun	tr	sachet of tea	mon	цайны уут	sc=Cyrl
eng	teabag	Noun	tr	sachet of tea	mri	tīpēke
eng	teabag	Noun	tr	sachet of tea	nld	theebuiltje	n
eng	teabag	Noun	tr	sachet of tea	nld	theezakje	n
eng	teabag	Noun	tr	sachet of tea	nno	tepose	m
eng	teabag	Noun	tr	sachet of tea	nob	tepose	m
eng	teabag	Noun	tr	sachet of tea	nrf	pouque à thée	f
eng	teabag	Noun	tr	sachet of tea	pol	torebka herbaty	f
eng	teabag	Noun	tr	sachet of tea	por	sachê	m
eng	teabag	Noun	tr	sachet of tea	rus	ча́йный паке́тик	m
eng	teabag	Noun	tr	sachet of tea	spa	bolsita de té	f
eng	teabag	Noun	tr	sachet of tea	swe	tepåse	c
eng	teabag	Noun	tr	sachet of tea	ukr	чайний пакетик	m
eng	teabag	Verb	tr	lower testicles into or onto another person	spa	bajar los huevos
eng	teaberry	Noun	tr	shrub ''Gaultheria procumbens'' and its berry	fin	lamosalali
eng	teaberry	Noun	tr	shrub ''Gaultheria procumbens'' and its berry	spa	axocopaque	m
eng	teaberry	Noun	tr	shrub ''Gaultheria procumbens'' and its berry	spa	gaulteria	f
eng	tea break	Noun	tr	a short break or rest period during the day when a cup of tea or coffee is drunk	fra	pause thé	f
eng	tea break	Noun	tr	a short break or rest period during the day when a cup of tea or coffee is drunk	nld	theepauze	m	f
eng	tea caddy	Noun	tr	box, tin, jar, or pot used to store tea leaves	deu	Teedose	f
eng	tea caddy	Noun	tr	box, tin, jar, or pot used to store tea leaves	fra	boîte à thé	f
eng	tea caddy	Noun	tr	box, tin, jar, or pot used to store tea leaves	gle	taebhosca	m
eng	tea caddy	Noun	tr	box, tin, jar, or pot used to store tea leaves	nld	theebus	f
eng	teacake	Noun	tr	flat, round bun	gle	borróg tae	f
eng	teacake	Noun	tr	flat, round bun	gle	cáca tae	m
eng	teacake	Noun	tr	flat, round bun	gle	cáicín tae	m
eng	teacake	Noun	tr	flat, round bun	gle	císte tae	m
eng	teacake	Noun	tr	flat, round bun	swe	tekaka	c
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	ara	سَادُو	m	tr=sadō
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	ara	طُقُوس اَلشَّاي	m-p
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	aze	çay mərasimi
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	bel	ча́йная цырымо́нія	f
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	bul	чайна церемония	f
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cat	cerimònia del te	f
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	ces	čajová ceremonie	f
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	ces	čajový obřad	m
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	ces	čanoju	n
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cmn	茶仪式	tr=cháyíshì
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cmn	茶儀式
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cmn	茶艺	tr=cháyì
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cmn	茶藝
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	cmn	茶道	tr=chádào
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	deu	Teezeremonie	f
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	epo	ĉanojo
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	epo	teceremonio
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	est	teetseremoonia
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	fas	مراسم چای	tr=marâsem čây
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	fin	teeseremonia
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	fin	teetaide
eng	tea ceremony	Noun	tr	detailed ritual in Japan or Asia for preparing, serving and drinking tea	fra	cérémonie du thé	f
