	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	cmn	辣炒年糕	tr=là chǎo niángāo
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	cmn	韓式炒年糕
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	cmn	韩式炒年糕	tr=Hánshì chǎo niángāo
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	deu	Tteokbokki	n
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	ell	τόκποκι	n
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	fas	تئوکبوکی	tr=t'okboki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	fas	توپوکی	tr=topoki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	fas	دئوکبوکی	tr=d'okboki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	fas	دوکبوکی	tr=dokboki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	hun	ttokpokki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	jpn	トッポギ	tr=toppogi
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	jpn	トッポキ	tr=toppoki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	jpn	トッポッキ	tr=toppokki
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	kor	떡볶이
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	rus	токпо́кки	n
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	rus	ттокпо́кки	n
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	swe	topokki	c
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	swe	tteokbokgi	c
eng	tteokbokki	Noun	tr	stir-fried tteoks seasoned with red pepper paste	swe	tteokbokki	c
