	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	bel	тваро́г	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	bul	тваро́г	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	ces	tvaroh	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	deu	Quark	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	dsb	twarog	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	hbs	tvàrog	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	hbs	тва̀рог	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	hsb	twaroh	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	hye	կաթնաշոռ
eng	tvorog	Noun	tr	a soft Russian curd cheese	jpn	クワルク	tr=kuwaruku
eng	tvorog	Noun	tr	a soft Russian curd cheese	kaz	сүзбе
eng	tvorog	Noun	tr	a soft Russian curd cheese	kor	크바르크
eng	tvorog	Noun	tr	a soft Russian curd cheese	pol	twaróg	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	rus	творо́г	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	rus	тво́рог	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	slk	tvaroh	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	ukr	тварі́г	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	uzb	tvorog
eng	tvorog	Noun	tr	a soft Russian curd cheese	wym	twiöeg	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	wym	twiög	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	wym	twuöḱ	m
eng	tvorog	Noun	tr	a soft Russian curd cheese	yid	צוואָרעך	m
