	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	uh-huh	Particle	tr	expressing agreement or affirmation	bul	аха
eng	uh-huh	Particle	tr	expressing agreement or affirmation	cmn	嗯哼	tr=enhēng
eng	uh-huh	Particle	tr	expressing agreement or affirmation	hun	aha
eng	uh-huh	Particle	tr	expressing agreement or affirmation	jpn	うん	tr=un
eng	uh-huh	Particle	tr	expressing agreement or affirmation	mar	हं	n	tr=hm
eng	uh-huh	Particle	tr	expressing agreement or affirmation	nld	uhu
eng	uh-huh	Particle	tr	expressing agreement or affirmation	por	aham
eng	uh-huh	Particle	tr	expressing agreement or affirmation	rus	угу́
eng	uh-huh	Particle	tr	expressing agreement or affirmation	spa	ajá
eng	uh-huh	Particle	tr	expressing agreement or affirmation	swe	mhm
eng	uh-huh	Particle	tr	expressing agreement or affirmation	tgl	oo
eng	uh-huh	Particle	tr	expressing agreement or affirmation	tur	ha
eng	uh-huh	Particle	tr	expressing agreement or affirmation	vie	ờ
eng	uh-huh	Particle	tr	expressing agreement or affirmation	vie	ừ
eng	uh	Interjection	tr	expression of confusion or uncertainty	cmn	呃	tr=è, e	sc=Hani
eng	uh	Interjection	tr	expression of confusion or uncertainty	dan	øh
eng	uh	Interjection	tr	expression of confusion or uncertainty	dan	øhm
eng	uh	Interjection	tr	expression of confusion or uncertainty	dan	øm
eng	uh	Interjection	tr	expression of confusion or uncertainty	deu	äh
eng	uh	Interjection	tr	expression of confusion or uncertainty	fra	euh
eng	uh	Interjection	tr	expression of confusion or uncertainty	ita	boh
eng	uh	Interjection	tr	expression of confusion or uncertainty	ita	uh
eng	uh	Interjection	tr	expression of confusion or uncertainty	jpn	あのう	tr=anō	sc=Jpan
eng	uh	Interjection	tr	expression of confusion or uncertainty	jpn	うーん	tr=ūn	sc=Jpan
eng	uh	Interjection	tr	expression of confusion or uncertainty	jpn	え	tr=e	sc=Jpan
eng	uh	Interjection	tr	expression of confusion or uncertainty	jpn	ええと	tr=ēto	sc=Jpan
eng	uh	Interjection	tr	expression of confusion or uncertainty	kor	저어
eng	uh	Interjection	tr	expression of confusion or uncertainty	msa	err
eng	uh	Interjection	tr	expression of confusion or uncertainty	nor	eh
eng	uh	Interjection	tr	expression of confusion or uncertainty	nor	øh
eng	uh	Interjection	tr	expression of confusion or uncertainty	por	hã
eng	uh	Interjection	tr	expression of confusion or uncertainty	rus	гм
eng	uh	Interjection	tr	expression of confusion or uncertainty	rus	гм	tr=hm
eng	uh	Interjection	tr	expression of confusion or uncertainty	rus	хм
eng	uh	Interjection	tr	expression of confusion or uncertainty	spa	eh
eng	uh	Interjection	tr	expression of confusion or uncertainty	tgl	ah
eng	uh	Interjection	tr	expression of confusion or uncertainty	tgl	eh
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	呃	tr=è, e	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	啊	tr=ā	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	这个	tr=zhège, zhèige	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	這個	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	那个	tr=nàge, nèige	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	cmn	那個	sc=Hani
eng	uh	Interjection	tr	space filler or pause during conversation	dan	øh
eng	uh	Interjection	tr	space filler or pause during conversation	dan	øm
eng	uh	Interjection	tr	space filler or pause during conversation	deu	äh
eng	uh	Interjection	tr	space filler or pause during conversation	ell	ε
eng	uh	Interjection	tr	space filler or pause during conversation	fra	euh
eng	uh	Interjection	tr	space filler or pause during conversation	hbs	ovaj
eng	uh	Interjection	tr	space filler or pause during conversation	hun	ő
eng	uh	Interjection	tr	space filler or pause during conversation	ita	uh
eng	uh	Interjection	tr	space filler or pause during conversation	jpn	あのう	tr=anō	sc=Jpan
eng	uh	Interjection	tr	space filler or pause during conversation	jpn	うーん	tr=ūn	sc=Jpan
eng	uh	Interjection	tr	space filler or pause during conversation	jpn	えー	tr=ē	sc=Jpan
eng	uh	Interjection	tr	space filler or pause during conversation	jpn	ええと	tr=ēto	sc=Jpan
eng	uh	Interjection	tr	space filler or pause during conversation	kor	어
eng	uh	Interjection	tr	space filler or pause during conversation	kor	저어
eng	uh	Interjection	tr	space filler or pause during conversation	msa	err
eng	uh	Interjection	tr	space filler or pause during conversation	nav	éiyá
eng	uh	Interjection	tr	space filler or pause during conversation	nld	euh
eng	uh	Interjection	tr	space filler or pause during conversation	nld	euhm
eng	uh	Interjection	tr	space filler or pause during conversation	nor	eh
eng	uh	Interjection	tr	space filler or pause during conversation	nor	øh
eng	uh	Interjection	tr	space filler or pause during conversation	por	é
eng	uh	Interjection	tr	space filler or pause during conversation	por	hã
eng	uh	Interjection	tr	space filler or pause during conversation	rus	ну
eng	uh	Interjection	tr	space filler or pause during conversation	rus	э-э
eng	uh	Interjection	tr	space filler or pause during conversation	rus	э-э-э
eng	uh	Interjection	tr	space filler or pause during conversation	spa	eh
eng	uh	Interjection	tr	space filler or pause during conversation	spa	este
eng	uh	Interjection	tr	space filler or pause during conversation	swe	eh
eng	uh	Interjection	tr	space filler or pause during conversation	swe	öh
eng	uh	Interjection	tr	space filler or pause during conversation	tgl	ah
eng	uh	Interjection	tr	space filler or pause during conversation	tgl	eh
eng	uh	Interjection	tr	space filler or pause during conversation	vie	ờ
eng	uhlan	Noun	tr	soldier with lance	aze	ulanlar
eng	uhlan	Noun	tr	soldier with lance	bul	улан	m
eng	uhlan	Noun	tr	soldier with lance	cat	ulà	m
eng	uhlan	Noun	tr	soldier with lance	ces	hulán
eng	uhlan	Noun	tr	soldier with lance	deu	Ulan	m
eng	uhlan	Noun	tr	soldier with lance	ell	ουλάνος	m
eng	uhlan	Noun	tr	soldier with lance	fin	ulaani
eng	uhlan	Noun	tr	soldier with lance	fra	uhlan	m
eng	uhlan	Noun	tr	soldier with lance	fry	ulan
eng	uhlan	Noun	tr	soldier with lance	glg	ulano
eng	uhlan	Noun	tr	soldier with lance	hbs	улани	sc=Cyrl
eng	uhlan	Noun	tr	soldier with lance	hun	dzsidás
eng	uhlan	Noun	tr	soldier with lance	hun	ulánus
eng	uhlan	Noun	tr	soldier with lance	ita	ulano	m
eng	uhlan	Noun	tr	soldier with lance	jpn	ウーラン	tr=ūran
eng	uhlan	Noun	tr	soldier with lance	kaz	ұлан
eng	uhlan	Noun	tr	soldier with lance	lit	ulonai
eng	uhlan	Noun	tr	soldier with lance	nld	ulaan
eng	uhlan	Noun	tr	soldier with lance	nor	ulan
eng	uhlan	Noun	tr	soldier with lance	pol	ułan	m
eng	uhlan	Noun	tr	soldier with lance	por	ulano	m
eng	uhlan	Noun	tr	soldier with lance	rus	улан	m
eng	uhlan	Noun	tr	soldier with lance	scn	ulanu
eng	uhlan	Noun	tr	soldier with lance	slv	ulanec	m
eng	uhlan	Noun	tr	soldier with lance	spa	ulano	m
eng	uhlan	Noun	tr	soldier with lance	swe	ulan	c
eng	uhlan	Noun	tr	soldier with lance	ukr	улан
eng	uh-oh	Interjection	tr	exclamation	epo	aĉ
eng	uh-oh	Interjection	tr	exclamation	fin	ohhoh
eng	uh-oh	Interjection	tr	exclamation	fin	o-ou
eng	uh-oh	Interjection	tr	exclamation	fra	oups
eng	uh-oh	Interjection	tr	exclamation	hin	अरे	sc=Deva
eng	uh-oh	Interjection	tr	exclamation	urd	ارے	tr=are	sc=ur-Arab
eng	uh-oh	Interjection	tr	exclamation	vie	oài
eng	uh-oh	Interjection	tr	exclamation	vie	ôi
eng	uh-oh	Interjection	tr	exclamation	vie	ôi giời ơi
eng	uh-oh	Interjection	tr	exclamation	vie	ôi trời đất
eng	uh-oh	Interjection	tr	exclamation	vie	ôi trời ơi
eng	uh-oh	Interjection	tr	exclamation	vie	ối trời ơi
eng	uh-oh	Interjection	tr	exclamation	vie	trời đất ơi
eng	uh-oh	Interjection	tr	exclamation	vie	trời ơi
