	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ute	Noun	tr	small vehicle with a built-in open tray area for carrying goods	cmn	皮卡車
eng	ute	Noun	tr	small vehicle with a built-in open tray area for carrying goods	cmn	皮卡车	tr=píkǎchē
eng	ute	Noun	tr	small vehicle with a built-in open tray area for carrying goods	fin	lava-auto
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	bul	при́бор	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	bul	съд	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	cat	utensili	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	dan	redskab	c
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	deu	Gerät	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ell	εργαλείο	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ell	σκεύος	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ell	σύνεργο	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	fin	kalusto
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	fin	tarvekalu
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	fin	tarvike
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	fra	ustensile
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ido	utensilo
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ita	utensile	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	lat	instrūmentum	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	nld	gereedschap
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	nld	gerei
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	nno	reiskap	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	nob	redskap	m	n
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	pol	sprzęt kuchenny	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	por	utensílio	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	ron	ustensilă	f
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	rus	посу́да	f
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	rus	у́тварь	f
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	slk	riad	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	spa	utensilio	m
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	tam	ஏனம்
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	tel	గృహోపకరణము
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	tgl	kakamangan
eng	utensil	Noun	tr	device for domestic use, in the kitchen, or in war	tgl	lalanghutan
eng	utensil	Noun	tr	small implement specialized for certain types of processing	cat	utensili	m
eng	utensil	Noun	tr	small implement specialized for certain types of processing	deu	Gerät	n
