	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	weak	Adjective	tr	dilute, lacking in taste or potency	ara	ضَعِيف
eng	weak	Adjective	tr	dilute, lacking in taste or potency	ces	slabý
eng	weak	Adjective	tr	dilute, lacking in taste or potency	cym	gwan
eng	weak	Adjective	tr	dilute, lacking in taste or potency	deu	schwach
eng	weak	Adjective	tr	dilute, lacking in taste or potency	fin	laimea
eng	weak	Adjective	tr	dilute, lacking in taste or potency	fin	mieto
eng	weak	Adjective	tr	dilute, lacking in taste or potency	gla	lag
eng	weak	Adjective	tr	dilute, lacking in taste or potency	gle	caol
eng	weak	Adjective	tr	dilute, lacking in taste or potency	gle	éadrom
eng	weak	Adjective	tr	dilute, lacking in taste or potency	gle	lag
eng	weak	Adjective	tr	dilute, lacking in taste or potency	gle	tanaí
eng	weak	Adjective	tr	dilute, lacking in taste or potency	grn	kangy
eng	weak	Adjective	tr	dilute, lacking in taste or potency	hun	gyenge
eng	weak	Adjective	tr	dilute, lacking in taste or potency	hun	híg
eng	weak	Adjective	tr	dilute, lacking in taste or potency	hye	թույլ
eng	weak	Adjective	tr	dilute, lacking in taste or potency	jpn	薄い	tr=うすい, usui
eng	weak	Adjective	tr	dilute, lacking in taste or potency	kea	lébi
eng	weak	Adjective	tr	dilute, lacking in taste or potency	kea	xalalá
eng	weak	Adjective	tr	dilute, lacking in taste or potency	nld	flauw
eng	weak	Adjective	tr	dilute, lacking in taste or potency	por	fraco
eng	weak	Adjective	tr	dilute, lacking in taste or potency	rus	сла́бый
eng	weak	Adjective	tr	dilute, lacking in taste or potency	swe	svag
eng	weak	Adjective	tr	dilute, lacking in taste or potency	tgl	matabang
eng	weak	Adjective	tr	dilute, lacking in taste or potency	ukr	слабки́й
eng	weak	Adjective	tr	grammar: regular in inflection	deu	schwach
eng	weak	Adjective	tr	grammar: regular in inflection	ell	αδύνατος
eng	weak	Adjective	tr	grammar: regular in inflection	fin	säännöllinen
eng	weak	Adjective	tr	grammar: regular in inflection	gle	lag
eng	weak	Adjective	tr	grammar: regular in inflection	hun	gyenge
eng	weak	Adjective	tr	grammar: regular in inflection	jpn	弱変化の	tr=じゃくへんかの, jakuhenka no
eng	weak	Adjective	tr	grammar: regular in inflection	nld	zwak
eng	weak	Adjective	tr	grammar: regular in inflection	por	fraco
eng	weak	Adjective	tr	grammar: regular in inflection	rus	пра́вильный
eng	weak	Adjective	tr	grammar: regular in inflection	rus	сла́бый
eng	weak	Adjective	tr	grammar: regular in inflection	swe	svag
eng	weak	Adjective	tr	lacking in force or ability	afr	swak
eng	weak	Adjective	tr	lacking in force or ability	amh	ለዋሳ	sc=Ethi
eng	weak	Adjective	tr	lacking in force or ability	amh	ደካማ	sc=Ethi
eng	weak	Adjective	tr	lacking in force or ability	ang	untrum
eng	weak	Adjective	tr	lacking in force or ability	ara	ضَعِيف
eng	weak	Adjective	tr	lacking in force or ability	ary	عيّان	tr=ʿəyyæn
eng	weak	Adjective	tr	lacking in force or ability	arz	ضعيف	tr=ḍaʿīf
eng	weak	Adjective	tr	lacking in force or ability	ast	débil
eng	weak	Adjective	tr	lacking in force or ability	aze	gücsüz
eng	weak	Adjective	tr	lacking in force or ability	aze	zəif
eng	weak	Adjective	tr	lacking in force or ability	bak	көсһөҙ	sc=Cyrl
eng	weak	Adjective	tr	lacking in force or ability	bcl	maluya
eng	weak	Adjective	tr	lacking in force or ability	bel	сла́бы	sc=Cyrl
eng	weak	Adjective	tr	lacking in force or ability	ben	দুর্বল
eng	weak	Adjective	tr	lacking in force or ability	bod	སྐྱོ་པོ	sc=Tibt
eng	weak	Adjective	tr	lacking in force or ability	bre	gwan
eng	weak	Adjective	tr	lacking in force or ability	bul	слаб	sc=Cyrl
eng	weak	Adjective	tr	lacking in force or ability	cat	dèbil
eng	weak	Adjective	tr	lacking in force or ability	cat	feble
eng	weak	Adjective	tr	lacking in force or ability	ces	slabý
eng	weak	Adjective	tr	lacking in force or ability	che	гӏийла
eng	weak	Adjective	tr	lacking in force or ability	che	мела
eng	weak	Adjective	tr	lacking in force or ability	chu	слабъ	sc=Cyrs
eng	weak	Adjective	tr	lacking in force or ability	chu	ⱄⰾⰰⰱⱏ	sc=Glag
eng	weak	Adjective	tr	lacking in force or ability	cmn	弱	tr=ruò	sc=Hani
eng	weak	Adjective	tr	lacking in force or ability	cmn	微弱	tr=wēiruò	sc=Hani
eng	weak	Adjective	tr	lacking in force or ability	cmn	軟弱	sc=Hani
eng	weak	Adjective	tr	lacking in force or ability	cmn	软弱	tr=ruǎnruò	sc=Hani
eng	weak	Adjective	tr	lacking in force or ability	cos	debuli
eng	weak	Adjective	tr	lacking in force or ability	crh	quvetsiz
eng	weak	Adjective	tr	lacking in force or ability	crh	zayıf
eng	weak	Adjective	tr	lacking in force or ability	cym	gwan
eng	weak	Adjective	tr	lacking in force or ability	dan	svag
eng	weak	Adjective	tr	lacking in force or ability	dan	veg
eng	weak	Adjective	tr	lacking in force or ability	deu	schwach
eng	weak	Adjective	tr	lacking in force or ability	dlm	débol
eng	weak	Adjective	tr	lacking in force or ability	dsb	słaby
eng	weak	Adjective	tr	lacking in force or ability	ell	αδύναμος
eng	weak	Adjective	tr	lacking in force or ability	est	nõrk
eng	weak	Adjective	tr	lacking in force or ability	fao	veikur
eng	weak	Adjective	tr	lacking in force or ability	fas	ضعیف	tr=za'if	sc=fa-Arab
eng	weak	Adjective	tr	lacking in force or ability	fas	نزار	tr=nezâr	sc=fa-Arab
eng	weak	Adjective	tr	lacking in force or ability	fin	heikko
eng	weak	Adjective	tr	lacking in force or ability	fra	faible
eng	weak	Adjective	tr	lacking in force or ability	fur	debul
eng	weak	Adjective	tr	lacking in force or ability	gla	lag
eng	weak	Adjective	tr	lacking in force or ability	gle	aimhneartach
eng	weak	Adjective	tr	lacking in force or ability	gle	anbhann
eng	weak	Adjective	tr	lacking in force or ability	gle	creatach
