	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	wrack	Noun	tr	any marine vegetation cast up on shore, especially seaweed of the genus Fucus	cym	morwiail	f-p
eng	wrack	Noun	tr	any marine vegetation cast up on shore, especially seaweed of the genus Fucus	cym	môr-wialen	s	f
eng	wrack	Noun	tr	any marine vegetation cast up on shore, especially seaweed of the genus Fucus	fra	goémon	m
eng	wrack	Noun	tr	any marine vegetation cast up on shore, especially seaweed of the genus Fucus	glg	carballa	f
eng	wrack	Noun	tr	any marine vegetation cast up on shore, especially seaweed of the genus Fucus	por	algaço	m
eng	wrack	Noun	tr	archaic, except in dialects: ruin, destruction	deu	Wrack	n
eng	wrack	Noun	tr	archaic or literary: revenge, persecution	nld	wraak
eng	wrack	Noun	tr	the remains, a wreck	deu	Wrack	n
eng	wrack	Noun	tr	the remains, a wreck	hun	roncs
eng	wrack	Noun	tr	the remains, a wreck	spa	restos
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	deu	Gespenst
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fao	dreygur	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fao	hamur	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fin	haamu
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fin	henki
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fra	fantôme	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	fra	spectre	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	gla	sgàile	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	gla	taibhse	m	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	gla	tannasg	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	gle	taibhse
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	prikaza	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	sablast
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	utvara	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	приказа	f	sc=Cyrl
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	сабласт
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hbs	утвара	f	sc=Cyrl
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	hun	lidérc
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	mzn	ورول	tr=vorul
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	nld	geestverschijning	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	nld	spook	n
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	oci	esglasi	m
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	oci	trèva	f
eng	wraith	Noun	tr	A ghost or specter, especially seen just after a person's death	pol	widmo
