	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	wyde	Noun	tr	two-byte unsigned data	fra	seizet
eng	wye	Noun	tr	name of the letter Y, y	ara	إِي غْرِيكَا	f
eng	wye	Noun	tr	name of the letter Y, y	ara	وَايْ	m
eng	wye	Noun	tr	name of the letter Y, y	bul	и́грек	m
eng	wye	Noun	tr	name of the letter Y, y	cat	i grega	f
eng	wye	Noun	tr	name of the letter Y, y	ces	ypsilon	n
eng	wye	Noun	tr	name of the letter Y, y	cym	y	f
eng	wye	Noun	tr	name of the letter Y, y	deu	Y grec	n
eng	wye	Noun	tr	name of the letter Y, y	deu	Ypsilon	n
eng	wye	Noun	tr	name of the letter Y, y	ell	γουάι	n
eng	wye	Noun	tr	name of the letter Y, y	epo	ipsilono
eng	wye	Noun	tr	name of the letter Y, y	eus	larriz
eng	wye	Noun	tr	name of the letter Y, y	fao	seinna i	n
eng	wye	Noun	tr	name of the letter Y, y	fas	ایگرک	tr=igrek	sc=fa-Arab
eng	wye	Noun	tr	name of the letter Y, y	fin	yy
eng	wye	Noun	tr	name of the letter Y, y	fra	i grec	m
eng	wye	Noun	tr	name of the letter Y, y	gle	yé
eng	wye	Noun	tr	name of the letter Y, y	glg	i grego	m
eng	wye	Noun	tr	name of the letter Y, y	haw	ieta
eng	wye	Noun	tr	name of the letter Y, y	hbs	ipsilon	m
eng	wye	Noun	tr	name of the letter Y, y	hbs	ипсилон	m
eng	wye	Noun	tr	name of the letter Y, y	hin	वाई
eng	wye	Noun	tr	name of the letter Y, y	hun	ipszilon
eng	wye	Noun	tr	name of the letter Y, y	ido	ye
eng	wye	Noun	tr	name of the letter Y, y	isl	ypsilon	n
eng	wye	Noun	tr	name of the letter Y, y	ita	i greca	f
eng	wye	Noun	tr	name of the letter Y, y	ita	ipsilon	f
eng	wye	Noun	tr	name of the letter Y, y	jpn	ワイ	tr=wai
eng	wye	Noun	tr	name of the letter Y, y	kor	와이
eng	wye	Noun	tr	name of the letter Y, y	lat	i graeca
eng	wye	Noun	tr	name of the letter Y, y	lat	ȳ
eng	wye	Noun	tr	name of the letter Y, y	mar	वाय
eng	wye	Noun	tr	name of the letter Y, y	msa	wai
eng	wye	Noun	tr	name of the letter Y, y	nld	Griekse ij
eng	wye	Noun	tr	name of the letter Y, y	nld	i-grec
eng	wye	Noun	tr	name of the letter Y, y	oci	i grèga	f
eng	wye	Noun	tr	name of the letter Y, y	pol	igrek	m
eng	wye	Noun	tr	name of the letter Y, y	por	i grego	m
eng	wye	Noun	tr	name of the letter Y, y	por	ípsilon	m
eng	wye	Noun	tr	name of the letter Y, y	rus	и́грек	m
eng	wye	Noun	tr	name of the letter Y, y	rus	ипсило́н	m
eng	wye	Noun	tr	name of the letter Y, y	rus	уа́й	n
eng	wye	Noun	tr	name of the letter Y, y	rus	уа́й	n
eng	wye	Noun	tr	name of the letter Y, y	slk	ypsilon	m
eng	wye	Noun	tr	name of the letter Y, y	spa	i griega	f
eng	wye	Noun	tr	name of the letter Y, y	spa	ye	f
eng	wye	Noun	tr	name of the letter Y, y	tha	วาย
eng	wye	Noun	tr	name of the letter Y, y	tur	ye
eng	wye	Noun	tr	name of the letter Y, y	vie	i-cờ-rét
eng	wye	Noun	tr	name of the letter Y, y	vie	i dài
eng	wyvern	Noun	tr	mythical dragon-like creature	bul	виверн	sc=Cyrl
eng	wyvern	Noun	tr	mythical dragon-like creature	cat	vibra	f
eng	wyvern	Noun	tr	mythical dragon-like creature	cat	víbria	f
eng	wyvern	Noun	tr	mythical dragon-like creature	cmn	双足飞龙	tr=shuāngzúfēilóng	sc=Hani
eng	wyvern	Noun	tr	mythical dragon-like creature	cmn	雙足飛龍	sc=Hani
eng	wyvern	Noun	tr	mythical dragon-like creature	deu	Lindwurm	m
eng	wyvern	Noun	tr	mythical dragon-like creature	epo	(dukrura) drako
eng	wyvern	Noun	tr	mythical dragon-like creature	epo	viverno
eng	wyvern	Noun	tr	mythical dragon-like creature	fin	traakki
eng	wyvern	Noun	tr	mythical dragon-like creature	fra	guivre
eng	wyvern	Noun	tr	mythical dragon-like creature	fra	vouivre
eng	wyvern	Noun	tr	mythical dragon-like creature	gle	vuibhearn	m
eng	wyvern	Noun	tr	mythical dragon-like creature	glg	coca	f
eng	wyvern	Noun	tr	mythical dragon-like creature	ita	viverna	f
eng	wyvern	Noun	tr	mythical dragon-like creature	jpn	ワイバン	tr=waiban
eng	wyvern	Noun	tr	mythical dragon-like creature	jpn	飛竜	tr=ひりゅう, hiryū
eng	wyvern	Noun	tr	mythical dragon-like creature	mar	वाय्व्हर्न	m
eng	wyvern	Noun	tr	mythical dragon-like creature	nld	wyvern
eng	wyvern	Noun	tr	mythical dragon-like creature	pol	wywerna	f
eng	wyvern	Noun	tr	mythical dragon-like creature	por	serpe
eng	wyvern	Noun	tr	mythical dragon-like creature	rus	виверн	m
eng	wyvern	Noun	tr	mythical dragon-like creature	rus	виверна	f
eng	wyvern	Noun	tr	mythical dragon-like creature	spa	dragón alado	m
eng	wyvern	Noun	tr	mythical dragon-like creature	spa	guiverno	m
eng	wyvern	Noun	tr	mythical dragon-like creature	swe	lindorm	c
