	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	y'all	Pronoun	tr	plural of you	ara	أَنْتُم	m
eng	y'all	Pronoun	tr	plural of you	bul	вие
eng	y'all	Pronoun	tr	plural of you	cat	vosaltres	m-p	f-p
eng	y'all	Pronoun	tr	plural of you	cmn	你们	tr=nǐmen
eng	y'all	Pronoun	tr	plural of you	cym	chi
eng	y'all	Pronoun	tr	plural of you	dan	I
eng	y'all	Pronoun	tr	plural of you	deu	Ihr
eng	y'all	Pronoun	tr	plural of you	ell	εσείς
eng	y'all	Pronoun	tr	plural of you	epo	vi
eng	y'all	Pronoun	tr	plural of you	fas	شما	tr=šomâ
eng	y'all	Pronoun	tr	plural of you	fas	شماها	tr=šomâ-hâ
eng	y'all	Pronoun	tr	plural of you	fin	te
eng	y'all	Pronoun	tr	plural of you	fra	vous
eng	y'all	Pronoun	tr	plural of you	fra	vous autres
eng	y'all	Pronoun	tr	plural of you	gle	sibh
eng	y'all	Pronoun	tr	plural of you	heb	אתם	tr=atem	sc=Hebr
eng	y'all	Pronoun	tr	plural of you	heb	אתן	tr=aten	sc=Hebr
eng	y'all	Pronoun	tr	plural of you	hin	तुम सब
eng	y'all	Pronoun	tr	plural of you	hun	maguk
eng	y'all	Pronoun	tr	plural of you	hun	önök
eng	y'all	Pronoun	tr	plural of you	hun	ti
eng	y'all	Pronoun	tr	plural of you	ita	voi
eng	y'all	Pronoun	tr	plural of you	jpn	みんな	tr=minna
eng	y'all	Pronoun	tr	plural of you	jpn	貴方等	tr=あなたら, anatara
eng	y'all	Pronoun	tr	plural of you	jpn	貴方達	tr=あなたたち, anatatachi
eng	y'all	Pronoun	tr	plural of you	kat	თქვენ
eng	y'all	Pronoun	tr	plural of you	lat	vos
eng	y'all	Pronoun	tr	plural of you	msa	kalian
eng	y'all	Pronoun	tr	plural of you	msa	kau orang
eng	y'all	Pronoun	tr	plural of you	msa	korang
eng	y'all	Pronoun	tr	plural of you	nav	tʼáá ánółtso
eng	y'all	Pronoun	tr	plural of you	nep	तिमीहरू
eng	y'all	Pronoun	tr	plural of you	nld	jullie
eng	y'all	Pronoun	tr	plural of you	nno	de
eng	y'all	Pronoun	tr	plural of you	nno	dokker
eng	y'all	Pronoun	tr	plural of you	nob	dere
eng	y'all	Pronoun	tr	plural of you	pol	panie
eng	y'all	Pronoun	tr	plural of you	pol	państwo
eng	y'all	Pronoun	tr	plural of you	pol	wy
eng	y'all	Pronoun	tr	plural of you	por	as senhoras
eng	y'all	Pronoun	tr	plural of you	por	os senhores
eng	y'all	Pronoun	tr	plural of you	por	vocês
eng	y'all	Pronoun	tr	plural of you	rus	вы
eng	y'all	Pronoun	tr	plural of you	spa	os
eng	y'all	Pronoun	tr	plural of you	spa	ustedes
eng	y'all	Pronoun	tr	plural of you	spa	vosotros
eng	y'all	Pronoun	tr	plural of you	swe	ni
eng	y'all	Pronoun	tr	plural of you	tur	sizler	p
eng	y'all	Pronoun	tr	plural of you	tur	siz	p
eng	y'know	Contraction	tr	short for you know	cym	'sti
eng	y'know	Contraction	tr	short for you know	cym	timod
eng	y'know	Contraction	tr	short for you know	cym	t'mod
eng	y'know	Contraction	tr	short for you know	deu	weißte
eng	y'know	Contraction	tr	short for you know	ell	ξες
eng	y'know	Contraction	tr	short for you know	fin	tiiäthän
eng	y'know	Contraction	tr	short for you know	fra	t'sais
eng	y'know	Contraction	tr	short for you know	fra	t'vois
eng	y'know	Contraction	tr	short for you know	isl	þúst
eng	y'know	Contraction	tr	short for you know	spa	sabes
eng	y'know	Contraction	tr	short for you know	swe	vettu
eng	y'know	Contraction	tr	short for you know	ukr	’наєш
eng	y'	Pronoun	tr	informal second-person pronoun	fra	t'
