	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	deu	Y-Achse
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	fin	y-akseli
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	fra	axe des ordonnées	f
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	fra	axe des y	m
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	ita	asse delle y	m
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	ita	asse y	m
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	jpn	Y軸	tr=ワイじく, wai-jiku
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	nor	y-akse	m
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	pol	oś rzędnych	f
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	pol	oś y	f
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	rus	ось y	f
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	rus	ось ордина́т	f
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	swe	y-axel	c
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	tgl	taluhog-y
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	tur	y ekseni
eng	y-axis	Noun	tr	axis on a graph that is usually drawn from bottom to top	tur	y-ekseni
