	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zhanmadao	Noun	tr		cmn	zhǎnmǎdāo
eng	zhanmadao	Noun	tr		cmn	ㄓㄢˇ ㄇㄚˇ ㄉㄠ
eng	zhanmadao	Noun	tr		fra	zhanmadao
eng	zhanmadao	Noun	tr		hun	dzsanmadao
eng	zhanmadao	Noun	tr		ita	zhǎnmǎ dāo
eng	zhanmadao	Noun	tr		jpn	斬馬刀
eng	zhanmadao	Noun	tr		kor	참마도
eng	zhanmadao	Noun	tr		mnc	ᠰᠠᠴᡳᠮᡵᡳ ᠯᠣᡥᠣ
eng	zhanmadao	Noun	tr		yue	zaam2 maa5 dou1
eng	zhanmadao	Noun	tr		zho	斩马刀
eng	zhanmadao	Noun	tr		zho	斩马剑
eng	zhanmadao	Noun	tr		zho	斬馬刀
eng	zhanmadao	Noun	tr		zho	斬馬劍
eng	zhe	Noun	tr	Ж	rus	же	n
eng	zhiqing	Noun	tr	member of the educated youth	cmn	知青	tr=zhīqīng
eng	zhonghuacerite	Noun	tr	mineral	cmn	中华铈矿	tr=zhōnghuáshìkuàng
eng	zhonghuacerite	Noun	tr	mineral	cmn	中華鈰礦
